windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
видео карта,"512 mb geforce 220, radeon 4550, intel hd 3000 graphics",видео карта,"512 mb geforce 650, radeon 7000",видео карта,ati hd 2600 / nvidia 8800gt / intel hd3000 card with at least 512 mb vram,видео карта,ati hd 4670 / nvidia 285 with at least 512 mb vram,видео карта,"256 mb geforce 220, radeon hd 4550, or intel hd 4000 graphics",видео карта,Ч
directx,9.0c,directx,9.0c,диск,9 gb hd space,диск,9 gb hd space,open gl,2.1,open gl,Ч
диск,8 gb hd space,диск,8 gb hd space,дополнительно,leopard is not supported,дополнительно,leopard is not supported,диск,9 gb hd space,диск,Ч
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card,,,,,,,,
,,,,,,,,,,,
windows_min_Aliens vs. PredatorЩ,windows_min_Aliens vs. PredatorЩ
операционна€ система,windows xp/vista
процессор,3.4 ghz intel pentium 4
оперативна€ пам€ть,1 gb system (xp)/ 2 gb system (vista)
видео карта,"directx 9.0c compliant video card with 128 mb (nvidia 7900, ati x1800 )"
диск,16 gb free hard drive space
,
windows_min_Rabi-Ribi,windows_min_Rabi-Ribi,windows_req_Rabi-Ribi,windows_req_Rabi-Ribi
операционна€ система,windows xp or above,операционна€ система,windows xp or above
процессор,1.0 ghz or above,процессор,2.0 ghz or above
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,any directx 9.0 supported card,видео карта,any non-integrated card with directx 9.0 support w/ 1280 x 720 or above
directx,version 9.0,directx,version 9.0
,,,
windows_min_Life is Feudal: Your Own,windows_min_Life is Feudal: Your Own,windows_req_Life is Feudal: Your Own,windows_req_Life is Feudal: Your Own
операционна€ система,windows 7 () (sp1),операционна€ система,"windows 7 () (sp1), windows 10 ()"
процессор,"intel coreЩ i5 or amd phenom ii x4 with at least 2,5 ghz",процессор,"intel coreЩ i7 or amd phenom ii x6 with at least 3,5 ghz"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce 460 / radeon hd 5850/intel hd 4600 with at least 1024 mb video,видео карта,geforce 660 / radeon hd 6970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,windows_min_DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,windows_req_DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,windows_req_DYNASTY WARRIORS 8: Xtreme Legends Complete Edition
операционна€ система,"windows vista, windows 7, windows 8",операционна€ система,"windows vista, windows 7, windows 8"
процессор,dual core cpu 2.4 ghz,процессор,quad core cpu 2.8 ghz
оперативна€ пам€ть,256 mb,оперативна€ пам€ть,512 mb
видео карта,nvidia geforce 8600,видео карта,nvidia geforce gtx 460
directx,version 9.0c,directx,version 9.0c
диск,18 gb,диск,18 gb
,,,
windows_min_FAR: Lone Sails,windows_min_FAR: Lone Sails,windows_req_FAR: Lone Sails,windows_req_FAR: Lone Sails
операционна€ система,mac osx 10.12.6+ ( os required),операционна€ система,Ч
процессор,2012 intel core i7,процессор,Ч
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,Ч
видео карта,nvidia gt 650m or amd equivalent,видео карта,Ч
directx,version 11,directx,version 11
диск,3 gb,диск,Ч
,,,
