windows_min_Dark and Light,windows_min_Dark and Light,windows_req_Dark and Light,windows_req_Dark and Light
диск,2gb,диск,2gb,диск,3 gb,диск,Ч,диск,6 gb,диск,Ч
видео карта,"graphics card with shader model 3 support, 256 mb video memory",видео карта,"graphics card with shader model 3 support, 512 mb video memory",видео карта,open gl 2.1 / shader model 3 capable graphics card with 256 mb video,видео карта,Ч,видео карта,"ati radeon hd 2400 or nvidia geforce 7600,",видео карта,Ч
directx,9.0c,directx,9.0c,,,,,opengl,2.1,opengl,Ч
звукова€ карта,directsound-compatible sound device,звукова€ карта,directsound-compatible sound device,,,,,,,,
,,,,,,,,,,,
windows_min_Call of DutyЃ: Black Ops,windows_min_Call of DutyЃ: Black Ops
операционна€ система,windows vista / xp / 7
процессор,intel coreЩ2 duo e6600 or amd phenomЩ x3 8750
оперативна€ пам€ть,2gb
видео карта,shader 3.0 256mb nvidia geforce 8600gt / ati radeon x1950pro
directx,directx 9.0c
диск,12gb*
,
windows_min_Murdered: Soul Suspect,windows_min_Murdered: Soul Suspect,windows_req_Murdered: Soul Suspect,windows_req_Murdered: Soul Suspect
операционна€ система,windows vista 64bit with platform update for windows vista,операционна€ система,windows 7 64bit / windows 8 64bit
процессор,high-performance dual core cpu or quad core cpu,процессор,amd fx-8000 series / intel quad i7 core cpu
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,amd radeonЩ hd 3870 512mb / nvidia geforce 8800gt,видео карта,amd radeonЩ tm r9 270 / nvidia gtx 660 series
directx,version 10,directx,version 11
,,,
windows_min_HomefrontЃ: The Revolution,windows_min_HomefrontЃ: The Revolution,windows_req_HomefrontЃ: The Revolution,windows_req_HomefrontЃ: The Revolution
операционна€ система,windows 7/8/10 all x64,операционна€ система,windows 7/8/10 all x64
процессор,intel core i5-4570t (2.9 ghz) or amd fx-6100 (3.3 ghz),процессор,intel core i5-2500k (3.3 ghz) or amd fx-8320 (3.5 ghz)
оперативна€ пам€ть,6144 mb,оперативна€ пам€ть,8192 mb
видео карта,geforce gtx 560 ti (1024 mb) or radeon r7 260x (2048 mb),видео карта,geforce gtx 760 (2048 mb) or radeon hd 7870 (2048 mb)
,,,
windows_min_Gunpoint,windows_min_Gunpoint
операционна€ система,os x 10.7
процессор,2ghz
оперативна€ пам€ть,1gb
video card,512mb
directx,9.0
,
windows_min_BioShockЃ 2,windows_min_BioShockЃ 2,windows_req_BioShockЃ 2,windows_req_BioShockЃ 2
операционна€ система,10.9.5,операционна€ система,10.10.5
процессор,2 ghz,процессор,2.4 ghz
оперативна€ пам€ть,4gb,оперативна€ пам€ть,4gb
видео карта,"256 mb the following graphics cards are not supported: ati x1xxx series, ati hd2xxx series, intel gma series, nvidia 7xxx series and nvidia 9400.",видео карта,"512 mb the following graphics cards are not supported: ati x1xxx series, ati hd2xxx series, intel gma series, nvidia 7xxx series and nvidia 9400."
directx,directx 9.0c,directx,Ч
диск,18gb,диск,18gb
звукова€ карта,100% directx 9.0c compliant sound card or onboard sound,звукова€ карта,Ч
,,,
windows_min_Naval Action,windows_min_Naval Action,windows_req_Naval Action,windows_req_Naval Action
операционна€ система,windows 7 and above,операционна€ система,windows 7 and above
процессор,intel core i5-4570 3.2 ghz or amd phenom(tm) ii x4 b60 3.3 ghz,процессор,intel core i7-3770 3.4 ghz or amd fx-9370 4.4 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,geforce gtx 460 1gb or amd radeon hd 6850 1gb (must support shader 5 model),видео карта,geforce gtx 660 2gb or amd radeon hd 7850 2gb (must support shader 5 model)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_STAR WARSЩ Jedi Knight - Jedi AcademyЩ,windows_min_STAR WARSЩ Jedi Knight - Jedi AcademyЩ
операционна€ система,10.12 (sierra)
процессор,"intel core 2 duo (dual-core), 2.2 ghz"
оперативна€ пам€ть,4 gb
видео карта,"256 mb, (nvidia): geforce 8800, (ati): radeon hd 2600, (intel): hd 3000"
directx,9.0a
диск,2 gb
звукова€ карта,16 bit direct x 9.0a
multiplayer requirements,pentium ii or athlon 450mhz
,
