диск,56 gb,диск,56 gb
,,,
windows_min_The Signal From Tlva,windows_min_The Signal From Tlva,windows_req_The Signal From Tlva,windows_req_The Signal From Tlva
операционная система,os x 10.10 yosemite,операционная система,10.12 sierra
процессор,i5,процессор,i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,2 gb+ graphics,видео карта,2 gb+ graphics
,,,
windows_min_Final Exam,windows_min_Final Exam
операционная система,windows xp sp3/windows vista sp2/windows 7/windows 8
процессор,amd/intel dual-core 2.3 ghz compatible sse2
оперативная память,2048 mb
видео карта,256 mb 100% directx 9 and shaders 3.0 compatible ati radeon 2600xt/nvidia geforce 8600 gt/intel hd 3000 or higher
directx,version 9.0c
сеть,широкополосное подключение
диск,2 gb
,
windows_min_Star Trek Online,windows_min_Star Trek Online,windows_req_Star Trek Online,windows_req_Star Trek Online
операционная система,windows 7,операционная система,—
процессор,modern intel/amd cpu 2.0ghz+,процессор,modern intel/amd cpu 2.0ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card supporting directx 11+,видео карта,graphics card supporting directx 11+
directx,version 11,directx,—
,,,
windows_min_10 Miles To Safety,windows_min_10 Miles To Safety
операционная система,"windows 7, windows 8.1, windows 10 ( versions only)"
процессор,intel core i5 / amd phenom ii x3
оперативная память,8 gb
видео карта,nvidia geforce gtx 1050 / amd radeon rx 560
directx,version 10
сеть,широкополосное подключение
,
windows_min_Synth Riders,windows_min_Synth Riders,windows_req_Synth Riders,windows_req_Synth Riders
операционная система,windows 7/8.1/10 (64bit),операционная система,windows 7/8.1/10 (64bit)
процессор,intel core i5 sandy bridge,процессор,intel core i7 skylake
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1060
directx,version 11,directx,version 12
,,,
windows_min_Stars End,windows_min_Stars End,windows_req_Stars End,windows_req_Stars End
операционная система,windows 7+,операционная система,windows 10
процессор,"x64 quad core cpu, 2.4+ ghz",процессор,"x64 quad core cpu, 3+ ghz"
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 660 ti / amd radeon r9 270x,видео карта,nvidia geforce gtx 770 / amd radeon rx 470
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,5 gb,диск,6 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Kung Fu Strike - The Warrior's Rise,windows_min_Kung Fu Strike - The Warrior's Rise,windows_req_Kung Fu Strike - The Warrior's Rise,windows_req_Kung Fu Strike - The Warrior's Rise
операционная система,"win vista (32/), win xp",операционная система,"win vista (32/), win 7 (32/), win xp"
процессор,2.0+ ghz single core,процессор,3.0 ghz dual core
оперативная память,1gb gb,оперативная память,1gb gb
видео карта,"nvidia 6200+ or ati radeon 9600+, shader model 3.0 compatible",видео карта,nvidia 7900 gs
directx,9.0c,directx,9.0c
диск,3 gb hd space,диск,3 gb hd space
звуковая карта,directx: 9.0c compatible,звуковая карта,directx: 9.0c compatible
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_Carrier Command: Gaea Mission,windows_min_Carrier Command: Gaea Mission,windows_req_Carrier Command: Gaea Mission,windows_req_Carrier Command: Gaea Mission
операционная система,"windows xp, windows vista, windows 7",операционная система,windows 7
процессор,intel core2duo 2.2 ghz or amd dual-core athlon 2.5 ghz or faster,процессор,intel core i5 or amd athlon phenom x4 or faster
оперативная память,2 gb,оперативная память,4 gb
диск,4 gb hd space,диск,—
видео карта,nvidia geforce 8800gt with shader model 3 and 512 mb vram or faster,видео карта,nvidia geforce gtx460 with shader model 3 and 1 gb vram or faster
directx,9.0c,directx,—
,,,
windows_min_Boneraiser Minions,windows_min_Boneraiser Minions
операционная система,microsoft windows 10
