видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
диск,16 gb,диск,16 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Noah's Ark,windows_min_Noah's Ark
операционная система,"windows 7, windows 8, windows 10"
процессор,intel celeron
оперативная память,256 mb
видео карта,256 mb or more
,
windows_min_DotStrike,windows_min_DotStrike
операционная система,windows 7 ()
процессор,intel core 2 duo
оперативная память,4 gb
видео карта,"dedicated graphics card, gtx 770 2gb"
сеть,широкополосное подключение
диск,1500 mb
,
windows_min_Life is Strange Remastered,windows_min_Life is Strange Remastered,windows_req_Life is Strange Remastered,windows_req_Life is Strange Remastered
операционная система,windows 10,операционная система,windows 10
процессор,"amd phenom ii x4 965, 3.2 ghz / intel core i3-2100, 3.1 ghz",процессор,"amd fx-8350, 4.2 ghz / intel core i5-2400, 3.1 ghz"
оперативная память,4 gb,оперативная память,4 gb
видео карта,"radeon r7 360, 2 gb / geforce gtx 660, 2 gb",видео карта,"radeon rx 590, 8 gb / geforce gtx 1060, 6 gb"
directx,version 11,directx,version 11
диск,42 gb,диск,42 gb
,,,
windows_min_Life is Strange: Before the Storm Remastered,windows_min_Life is Strange: Before the Storm Remastered,windows_req_Life is Strange: Before the Storm Remastered,windows_req_Life is Strange: Before the Storm Remastered
операционная система,windows 10,операционная система,windows 10
процессор,"amd phenom ii x4 965, 3.2 ghz / intel core i3-2100, 3.1 ghz",процессор,"amd fx-4350, 4.2 ghz / intel core i3-4130, 3.4 ghz"
оперативная память,4 gb,оперативная память,4 gb
видео карта,"radeon r7 250, 1 gb / geforce gtx 650, 1 gb",видео карта,"radeon rx 560, 4 gb / geforce gtx 1050, 2 gb"
directx,version 11,directx,version 11
диск,23 gb,диск,23 gb
,,,
windows_min_Dialogue Box: The Road Less Traveled,windows_min_Dialogue Box: The Road Less Traveled,windows_req_Dialogue Box: The Road Less Traveled,windows_req_Dialogue Box: The Road Less Traveled
операционная система,windows 7 (sp1+) and windows 10,операционная система,windows 10
процессор,intel core™ i5-4690,процессор,intel core™ i5-4690
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 960
directx,version 12,directx,version 12
,,,
windows_min_PRISONER 17,windows_min_PRISONER 17,windows_req_PRISONER 17,windows_req_PRISONER 17
операционная система,windows 7 or 10,операционная система,windows 7 or 10
процессор,quad core or similar,процессор,intel core i5-7400 / amd ryzen 5 1400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 950,видео карта,nvidia geforce gtx 1050
directx,version 11,directx,version 11
,,,
windows_min_Political Fight Club,windows_min_Political Fight Club,macos_min_Political Fight Club,macos_min_Political Fight Club,linux_min_Political Fight Club,linux_min_Political Fight Club
операционная система,—,операционная система,—,операционная система,—
процессор,—,процессор,—,процессор,—
,,,,,
windows_min_Insiders,windows_min_Insiders,windows_req_Insiders,windows_req_Insiders
операционная система,windows 7,операционная система,windows 7
процессор,2.7 ghz single core,процессор,3.5 ghz quad-core (i5)
оперативная память,8 gb,оперативная память,8 gb
видео карта,3gb gddr3 (1600mhz),видео карта,4gb gddr5 (7010 mhz)
directx,version 11,directx,—
,,,
windows_min_Steel Salvo,windows_min_Steel Salvo,windows_req_Steel Salvo,windows_req_Steel Salvo
операционная система,win 7/8/8.1/10 64bit,операционная система,win 7/8/8.1/10 64bit
процессор,intel i3 3470 - amd fx 8150,процессор,intel i5 4460 - amd ryzen r3 1200
оперативная память,8 gb,оперативная память,8 gb
