windows_min_Tiger Striker,windows_min_Tiger Striker
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Saints Row IV: Season Pass,windows_min_Saints Row IV: Season Pass,windows_req_Saints Row IV: Season Pass,windows_req_Saints Row IV: Season Pass
операционна€ система,ubuntu 14.04.3 lts or steamos brewmaster,операционна€ система,ubuntu 14.04.3 lts or steamos brewmaster
процессор,intel core i3-2100 (3.1 ghz) or amd athlon ii x4 645 am3 (3.1 ghz),процессор,intel core i5-2500k (3.3 ghz) or amd fx-4300 (3.8 ghz)
оперативна€ пам€ть,4096 mb,оперативна€ пам€ть,8192 mb
видео карта,geforce gt 440 (1024 mb) or radeon hd 6670 (1024 mb),видео карта,geforce gtx 660 (2048 mb) or radeon hd 6970 (2048 mb)
directx,version 10,directx,version 11
,,,
windows_min_Disney's Chicken Little: Ace in Action,windows_min_Disney's Chicken Little: Ace in Action
операционна€ система,microsoft windows xp sp2
процессор,"processeur pentiumЩ 4 or athlon xp, 1.4 ghz"
оперативна€ пам€ть,256 mb
видео карта,any 3d 32mb directx 9 compatible graphics card (nvidia geforce 2 or ati radeon 7500 or higher)
диск,2560 mb
,
windows_min_Island 1979,windows_min_Island 1979
операционна€ система,windows 7 and up
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz"
оперативна€ пам€ть,2 gb
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb"
диск,2 gb
,
windows_min_Shantae: Pirate Queen's Quest,windows_min_Shantae: Pirate Queen's Quest,windows_req_Shantae: Pirate Queen's Quest,windows_req_Shantae: Pirate Queen's Quest
операционна€ система,windows 7 service pack 1,операционна€ система,windows8 or windows10
процессор,2.2 ghz dual-core cpu with hyper threading,процессор,amd phenom(tm) ii x6 1035t @ 2.6ghz / intel(r) core(tm)2 quad cpu q6600 @ 2.4ghz or higher
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce 310 (it must be able to manage pixel shader 3.0) with at least 1gb of display memory,видео карта,amd radeon hd 7800 series / nvidia geforce gtx 460 or higher
directx,version 9.0,directx,version 11
,,,
windows_min_VR SUPER SPORTS - Table Tennis,windows_min_VR SUPER SPORTS - Table Tennis
операционна€ система,"windows 7 sp1, windows 8.1 or windows 10"
процессор,"intel i5-4590, amd fx 8350 equivalent"
оперативна€ пам€ть,4 gb
видео карта,"nvidia geforce gtx 970, amd radeonЩ r9 290 equivalent, video output: hdmi 1.4, displayport 1.2"
диск,700 mb
,
windows_min_Call of DutyЃ: Advanced Warfare - Extra Armory Slots 1,windows_min_Call of DutyЃ: Advanced Warfare - Extra Armory Slots 1
операционна€ система,windows 7 / windows 8 / windows 8.1
процессор,intel coreЩ i3-530 @ 2.93 ghz / amd phenomЩ ii x4 810 @ 2.60 ghz
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,6 gb
звукова€ карта,directx compatible
,
windows_min_Secret World Legends: Supernatural Bundle,windows_min_Secret World Legends: Supernatural Bundle,windows_req_Secret World Legends: Supernatural Bundle,windows_req_Secret World Legends: Supernatural Bundle
