windows_min_The Elder ScrollsЃ Online,windows_min_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online
windows_min_Rise of the Tomb RaiderЩ,windows_min_Rise of the Tomb RaiderЩ,windows_req_Rise of the Tomb RaiderЩ,windows_req_Rise of the Tomb RaiderЩ,macos_min_Rise of the Tomb RaiderЩ,macos_min_Rise of the Tomb RaiderЩ,macos_req_Rise of the Tomb RaiderЩ,macos_req_Rise of the Tomb RaiderЩ,linux_min_Rise of the Tomb RaiderЩ,linux_min_Rise of the Tomb RaiderЩ,linux_req_Rise of the Tomb RaiderЩ,linux_req_Rise of the Tomb RaiderЩ
операционна€ система,windows 7 64bit,операционна€ система,windows 10,операционна€ система,mac os x 10.13.4,операционна€ система,Ч,операционна€ система,ubuntu 17.10,операционна€ система,ubuntu 17.10
процессор,intel core i3-2100 or amd equivalent,процессор,intel core i7-3770k,процессор,2.3ghz intel core i5,процессор,Ч,процессор,intel core i3-4130t or amd equivalent,процессор,intel core i7-3770k
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,12 gb
видео карта,nvidia gtx 650 2gb or amd hd7770 2gb,видео карта,nvidia gtx 980ti 2560x1440 or nvidia gtx 970 1920x1080,видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris graphics 540 (see notes for more details)",видео карта,Ч,видео карта,"2gb amd r9 285 (gcn 3rd gen and above), 2gb nvidia gtx 680",видео карта,nvidia gtx 980ti
directx,version 11,directx,version 11,диск,27 gb,диск,Ч,диск,28 gb,диск,28 gb
,,,,,,,,,,,
windows_min_Assassin's CreedЃ Origins,windows_min_Assassin's CreedЃ Origins,windows_req_Assassin's CreedЃ Origins,windows_req_Assassin's CreedЃ Origins
операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)",операционна€ система,"windows 7 sp1, windows 8.1, windows 10 ( versions only)"
процессор,intel core i5-2400s @ 2.5 ghz or amd fx-6350 @ 3.9 ghz,процессор,intel core i7- 3770 @ 3.5 ghz or amd fx-8350 @ 4.0 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 or amd r9 270 (2048 mb vram with shader model 5.0 ),видео карта,nvidia geforce gtx 760 or amd r9 280x (3gb vram with shader model 5.0 )
directx,version 11,directx,Ч
диск,42 gb,диск,42 gb
,,,
windows_min_MORDHAU,windows_min_MORDHAU,windows_req_MORDHAU,windows_req_MORDHAU
операционна€ система,"windows 7, windows 8, windows 10",операционна€ система,"windows 7, windows 8, windows 10"
процессор,intel core i5 - 4670 or amd equivalent,процессор,intel core i5 - 6600k or amd equivalent
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia gtx 680 or amd equivalent,видео карта,nvidia gtx 1060 or amd equivalent
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Deep Rock Galactic,windows_min_Deep Rock Galactic,windows_req_Deep Rock Galactic,windows_req_Deep Rock Galactic
операционна€ система,windows 7,операционна€ система,windows 10
процессор,2.4 ghz dual core,процессор,2.4 ghz quad core
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 1gb vram,видео карта,nvidia 970 / amd radeon 290
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Just CauseЩ 3,windows_min_Just CauseЩ 3,windows_req_Just CauseЩ 3,windows_req_Just CauseЩ 3
операционна€ система,vista sp2 / windows 7.1 sp1 / windows 8.1 ( operating system required),операционна€ система,vista sp2 / windows 7.1 sp1 / windows 8.1 ( operating system required)
процессор,"intel core i5-2500k, 3.3ghz / amd phenom ii x6 1075t 3ghz",процессор,"intel core i7-3770, 3.4 ghz / amd fx-8350, 4.0 ghz"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 670 (2gb) / amd radeon hd 7870 (2gb),видео карта,nvidia geforce gtx 780 (3gb) / amd r9 290 (4gb)
,,,
windows_min_Dead Cells,windows_min_Dead Cells,windows_req_Dead Cells,windows_req_Dead Cells
операционна€ система,mavericks 10.9,операционна€ система,mavericks 10.9
процессор,intel i5+,процессор,intel i5+
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800
диск,500 mb,диск,500 mb
,,,
windows_min_SCUM,windows_min_SCUM,windows_req_SCUM,windows_req_SCUM
операционна€ система,windows 10,операционна€ система,windows 10
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативна€ пам€ть,16 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 480 4gb,видео карта,nvidia geforce gtx 1070 / amd radeon rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
