windows_min_The Elder ScrollsЃ Online,windows_min_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online
диск,10 gb,диск,10 gb,дополнительно,notice for os x yosemite 10.10.5 users with an nvidia graphics card at or above the minimum specification listed: currently separate drivers are available to fix performance issues specifically affecting nvidia users who are using ...  os x yosemite. these drivers are currently only compatible with os x yosemite 10.10.5 and can be found here http://www.nvidia.com/download/driverresults.aspx/89538/en-us.  еще,дополнительно,notice for os x yosemite 10.10.5 users with an nvidia graphics card at or above the minimum specification listed: currently separate drivers are available to fix performance issues specifically affecting nvidia users who are using ...  os x yosemite. these drivers are currently only compatible with os x yosemite 10.10.5 and can be found here http://www.nvidia.com/download/driverresults.aspx/89538/en-us.  еще,дополнительно,"due to opengl 4, intel video cards no longer supported",дополнительно,"due to opengl 4, intel video cards no longer supported"
,,,,,,,,,,,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM 4
операционна€ система,windows (64bit) 7 or higher up to date
процессор,"intel core2 duo, 3.0ghz - amd athlon 64 x2 dual core 6400+ 3.2ghz"
оперативна€ пам€ть,2 gb
видео карта,1024 mb video card
directx,version 11
,
windows_min_FOR HONORЩ,windows_min_FOR HONORЩ,windows_req_FOR HONORЩ,windows_req_FOR HONORЩ
операционна€ система,"windows 7, windows 8.1, windows 10 ( versions only)",операционна€ система,"windows 7, windows 8.1, windows 10 ( versions only)"
процессор,intel core i3-550 |; amd phenom ii x4 955,процессор,intel core i5-2500k |; amd fx-6350
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx660 / gtx750ti/gtx950/gtx1050 with 2 gb vram or more | amd radeon hd6970/hd7870/r9 270/r9 370/rx460 with 2 gb vram or more,видео карта,nvidia geforce gtx770 / gtx970/gtx1060 with 3 gb vram or more | amd radeon r9 280x/r9 380/rx470 with 3 gb vram or more
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx-compatible using the latest drivers,звукова€ карта,directx-compatible using the latest drivers
,,,
windows_min_Elite Dangerous,windows_min_Elite Dangerous,windows_req_Elite Dangerous,windows_req_Elite Dangerous
операционна€ система,os x yosemite (version 10.10.3),операционна€ система,os x yosemite (version 10.10.3)
процессор,2.3ghz quad-core intel core i5 cpu,процессор,3.4ghz quad-core intel core i7 cpu
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gt 650m 1gb (),видео карта,nvidia geforce gtx 775m (2gb video memory) / amd radeon r9 m290x (2gb video memory)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Warhammer: Vermintide 2,windows_min_Warhammer: Vermintide 2,windows_req_Warhammer: Vermintide 2,windows_req_Warhammer: Vermintide 2
операционна€ система,windows 7 windows 8 (8.1) or windows 10,операционна€ система,windows 10
процессор,intel core i5-2300 @ 2.80 ghz / amd fx-4350 @ 4.2 ghz,процессор,intel core i7- 3770 @ 3.5 ghz or amd fx-8350 @ 4 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870,видео карта,nvidia geforce gtx 970 / 1060 or ati radeon r9 series
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Total War: THREE KINGDOMS,windows_min_Total War: THREE KINGDOMS,windows_req_Total War: THREE KINGDOMS,windows_req_Total War: THREE KINGDOMS,macos_min_Total War: THREE KINGDOMS,macos_min_Total War: THREE KINGDOMS,macos_req_Total War: THREE KINGDOMS,macos_req_Total War: THREE KINGDOMS,linux_min_Total War: THREE KINGDOMS,linux_min_Total War: THREE KINGDOMS,linux_req_Total War: THREE KINGDOMS,linux_req_Total War: THREE KINGDOMS
операционна€ система,windows 7,операционна€ система,windows 10,операционна€ система,macos 10.14.4,операционна€ система,Ч,операционна€ система,ubuntu 18.04,операционна€ система,ubuntu 18.04
процессор,intel core 2 duo 3.00ghz,процессор,intel i5-6600 |; ryzen 5 2600x,процессор,2ghz intel core i5,процессор,Ч,процессор,3.4ghz intel core i3-4130,процессор,3.4ghz intel core i7-4770
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,gtx 650 ti 1gb|hd 7850 1gb|intel uhd graphics 620,видео карта,gtx 970 |; r9 fury x 4gb vram,видео карта,"2gb nvidia 680mx, 2gb amd r9 m290, 1.5gb intel iris graphics 540 (see notes for more details)",видео карта,Ч,видео карта,"2gb amd r9 285 (gcn 3rd generation), 2gb nvidia gtx 680",видео карта,"4gb amd rx 480, 4gb nvidia gtx 970"
directx,version 11,directx,version 11,диск,52 gb,диск,Ч,диск,60 gb,диск,60 gb
диск,60 gb,диск,60 gb,дополнительно,"the game is officially supported on the following macs. to check your mac model and when it was released, select about this mac from the apple menu on your menu bar. * all 13"" macbook ...  pros released since 2016 * all 15"" macbook pros released since late 2013 with a 2gb graphics card * all 21.5"" imacs released since 2017 * all 27"" imacs released since late 2012 with a 2gb graphics card * all 27"" imac pros released since 2017 * all mac pros released since late 2013 please note for your computer to meet the minimum requirements it must match all elements of the listed spec. for more detailed specifications check the feral website.  еще",дополнительно,Ч,дополнительно,"* requires vulkan * nvidia requires 418.56 drivers. * amd requires mesa 19.0.1.  * amd gcn 3rd gen gpu's include the r9 285, 380, 380x, fury, nano, fury x. * intel gpus are not ...  supported at time of release. * other modern drivers and distributions are expected to work but are not officially supported.  еще",дополнительно,"* requires vulkan * nvidia requires 418.56 drivers. * amd requires mesa 19.0.1.  * amd gcn 3rd gen gpu's include the r9 285, 380, 380x, fury, nano, fury x. * intel gpus are not ...  supported at time of release. * other modern drivers and distributions are expected to work but are not officially supported.  еще"
,,,,,,,,,,,
windows_min_Wolcen: Lords of Mayhem,windows_min_Wolcen: Lords of Mayhem,windows_req_Wolcen: Lords of Mayhem,windows_req_Wolcen: Lords of Mayhem
операционна€ система,"windows 7 sp1, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i5-4570t 2.9 ghz / amd fx-6100 3.3 ghz,процессор,intel core i7-4770s 3.1 ghz / amd fx-8320 3.5 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 560 ti / amd radeon hd 6850,видео карта,nvidia geforce gtx 1060 / amd radeon rx 570
directx,version 11,directx,version 11
,,,
windows_min_Watch_DogsЃ 2,windows_min_Watch_DogsЃ 2,windows_req_Watch_DogsЃ 2,windows_req_Watch_DogsЃ 2
операционна€ система,"windows 7 sp1, windows 8.1, windows 10 (64bit versions only)",операционна€ система,"windows 7 sp1, windows 8.1, windows 10 (64bit versions only)"
процессор,"intel core i5 2400s @ 2.5 ghz, amd fx 6120 @ 3.5 ghz",процессор,"intel core i5 3470 @ 3.2 ghz, amd fx 8120 @ 3.9 ghz"
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 660 with 2 gb vram or amd radeon hd 7870, with 2 gb vram - see supported list*",видео карта,"nvidia geforce gtx 780 |; amd radeon r9 290, with 3gb vram - see supported list*"
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,27 gb,диск,27 gb
звукова€ карта,directx compatible using the latest drivers,звукова€ карта,directx-compatible using the latest drivers
,,,
windows_min_Grand Theft Auto: San Andreas,windows_min_Grand Theft Auto: San Andreas,windows_req_Grand Theft Auto: San Andreas,windows_req_Grand Theft Auto: San Andreas
операционна€ система,microsoft windows 2000/xp,операционна€ система,Ч
процессор,1ghz pentium iii or amd athlon,процессор,intel pentium 4 or amd athlon xp
оперативна€ пам€ть,256mb of,оперативна€ пам€ть,384mb of (the more the better!)
видео карта,64mb video card (geforce 3 ),видео карта,128mb () video card (geforce 6 series recommended)
диск,3.6gb of free hard disk space (minimal install),диск,4.7gb of free hard disk space (full install)
other requirements,software installations required including directx and sony dadc securom,other requirements,Ч
partner requirements,please check the terms of service of this site before purchasing this software.,partner requirements,Ч
,,,
windows_min_The Witcher: Enhanced Edition Director's Cut,windows_min_The Witcher: Enhanced Edition Director's Cut
операционна€ система,"os x 10.8, 10.9, 10.10, macos 10.15 (catalina) is not supported"
directx,directx 9.0c (included) or higher
процессор,intel core i5 or core i7
видео карта,"nvidia geforce gt 650m (1440x900), amd radeon hd 6970m (1920x1080) or intel iris pro 5200 (1440x900)"
оперативна€ пам€ть,4gb
звукова€ карта,directx version 9.0c-compatible sound card
,
windows_min_The Isle,windows_min_The Isle,windows_req_The Isle,windows_req_The Isle,macos_min_The Isle,macos_min_The Isle,macos_req_The Isle,macos_req_The Isle,linux_min_The Isle,linux_min_The Isle,linux_req_The Isle,linux_req_The Isle
операционна€ система,windows 7 ( only),операционна€ система,windows 10 ( only),операционна€ система,macos 10.13: high sierra ( only),операционна€ система,Ч,операционна€ система,ubuntu 14.04 or similar ( only),операционна€ система,Ч
процессор,"quad-core intel or amd, 3.0 ghz or faster.",процессор,"quad-core intel or amd, 3.4 ghz or faster.",процессор,"quad-core intel or amd, 2.5 ghz or faster.",процессор,Ч,процессор,"quad-core intel or amd, 2.5 ghz or faster.",процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb,оперативна€ пам€ть,6 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,Ч
видео карта,nvidia geforce gtx 960 or amd radeon r9 280x series card or higher.,видео карта,nvidia geforce gtx 1070,видео карта,dedicated metal compatible gpu with at least 2 gb vram,видео карта,Ч,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.,видео карта,Ч
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,Ч,сеть,широкополосное подключение,сеть,Ч
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,100 gb,диск,Ч,диск,10 gb,диск,Ч
диск,25 gb,диск,25 gb,дополнительно,mac must support the metal rendering api and be from 2014 . the game will not run on macbook air / low end macbooks / mac mini. please note that macs do not currently support ...  mods that were only packaged on windows.  еще,дополнительно,Ч,,,,
,,,,,,,,,,,
windows_min_Ravenfield,windows_min_Ravenfield,windows_req_Ravenfield,windows_req_Ravenfield,macos_min_Ravenfield,macos_min_Ravenfield,macos_req_Ravenfield,macos_req_Ravenfield,linux_min_Ravenfield,linux_min_Ravenfield,linux_req_Ravenfield,linux_req_Ravenfield
операционна€ система,windows 7 sp1,операционна€ система,windows 10,операционна€ система,mac os x 10.13,операционна€ система,latest os x,операционна€ система,"ubuntu 18.04, steamos",операционна€ система,"latest ubuntu, steamos"
процессор,"32-bit, 2 ghz or faster",процессор,", 3 ghz or faster",процессор,", 2 ghz or faster",процессор,", 3 ghz or faster",процессор,", 2 ghz or faster",процессор,", 3 ghz or faster"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,intel hd 4000,видео карта,geforce gtx 750,видео карта,intel hd 4000,видео карта,geforce gtx 750,видео карта,intel hd 4000,видео карта,geforce gtx 750
directx,version 10,directx,version 12,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_Hotline Miami,windows_min_Hotline Miami,windows_req_Hotline Miami,windows_req_Hotline Miami
операционна€ система,mac os 10.6+,операционна€ система,mac os 10.6+
процессор,1.8 ghz dual-core,процессор,Ч
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,Ч
видео карта,directx 8-compatible graphics card with at least 32mb of video memory,видео карта,directx 8-compatible graphics card with at least 32mb of video memory
directx,9.0c,directx,9.0c
диск,130 mb hd space,диск,Ч
additional,"microsoft xbox 360 controller or direct input compatible controller, opengl 2.x highly recommended.",additional,microsoft xbox 360 controller or direct input compatible controller
,,,
windows_min_Grim Dawn,windows_min_Grim Dawn,windows_req_Grim Dawn,windows_req_Grim Dawn
операционна€ система,windows xp / windows vista / windows 7 / windows 8 / windows 10,операционна€ система,windows 7 / windows 10
процессор,x86 compatible 2.3ghz or faster (intel 2nd generation core i-series ),процессор,x86 compatible 3.2ghz or faster (intel 4th generation core i-series )
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,6 gb
видео карта,512mb nvidia geforce 6800 series or ati radeon x800 series,видео карта,1.5gb nvidia geforce 500 series or ati radeon 6000 series
directx,version 9.0c,directx,version 11
диск,5 gb,диск,5 gb
звукова€ карта,directx 9.0c compatible 16-bit sound card,звукова€ карта,Ч
дополнительно,4gb of memory is required to host multiplayer games,дополнительно,Ч
,,,
