windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
операционная система,"windows vista 64bit, window 7 64bit, windows 8 64bit, windows 10 64bit (32bit os not supported)",операционная система,"window 7 64bit, windows 8 64bit, windows 10 64bit (32bit os not supported)"
процессор,amd/intel dual-core 2.4 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8350 @ 4.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 650 / amd radeon hd 7800,видео карта,nvidia gtx 670 / amd radeon hd 7870
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Escape Machines,windows_min_Escape Machines
операционная система,windows xp/windows vista/windows 7/8
процессор,2.5 ghz
оперативная память,1 gb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,550 mb
,
windows_min_Guardians of Middle-earth,windows_min_Guardians of Middle-earth,windows_req_Guardians of Middle-earth,windows_req_Guardians of Middle-earth
операционная система,"32-bit: windows vista, windows 7, windows 8",операционная система,"windows vista, windows 7, windows 8"
процессор,"intel core 2 duo, 2.4 ghz | amd athlon x2, 2.8 ghz",процессор,"intel core i5 750, 2.67 ghz | amd phenom ii x4 965, 3.4ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800 gts |; amd radeon 3850,видео карта,nvidia geforce gtx 560 |; amd radeon hd 6950
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Raiden IV: OverKill,windows_min_Raiden IV: OverKill,windows_req_Raiden IV: OverKill,windows_req_Raiden IV: OverKill
операционная система,windows 7 / 8,операционная система,windows 7 / 8
процессор,intel core2 duo,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 6600,видео карта,nvidia geforce gt 640
диск,1 gb,диск,1 gb
,,,
windows_min_Sea Salt,windows_min_Sea Salt,windows_req_Sea Salt,windows_req_Sea Salt
операционная система,windows 7/8/8.1/10 x86/x64,операционная система,windows 7/8/8.1/10 x64
процессор,intel core i5-3210m (2 * 2500),процессор,intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 4000,видео карта,intel hd graphics or amd (formerly ati) radeon hd graphics (discrete): nvidia geforce gtx 760 () or amd radeon hd 7600 ()
directx,version 9.0,directx,version 10
диск,2 gb,диск,2 gb
,,,
windows_min_Blood of the Werewolf,windows_min_Blood of the Werewolf,windows_req_Blood of the Werewolf,windows_req_Blood of the Werewolf
операционная система,"windows xp sp3, windows vista sp1, windows 7, windows 8",операционная система,"windows xp sp3, windows vista sp1, windows 7, windows 8"
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,3.0ghz quad core
оперативная память,2 gb,оперативная память,2 gb
видео карта,"512mb video card using shader model 3 or higher, amd radeon hd 2900 gt or nvidia geforce 9500 gt",видео карта,"1 gb video card using shader model 3 or higher, amd radeon 7670 or nvidia geforce gtx 280"
directx,version 9.0c,directx,version 9.0c
,,,
