windows_min_VALHALL Tests,windows_min_VALHALL Tests,windows_req_VALHALL Tests,windows_req_VALHALL Tests
windows_min_Forest Escape,windows_min_Forest Escape
операционная система,"xp, vista, windows 7"
процессор,1.6 ghz
оперативная память,256 mb
видео карта,256mb
,
windows_min_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_min_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_req_The Bureau: XCOM Declassified - Light Plasma Pistol,windows_req_The Bureau: XCOM Declassified - Light Plasma Pistol
операционная система,mac os x mountain lion 10.7.5 or higher,операционная система,mac os x lion 10.9 or higher
процессор,intel core i series,процессор,intel core i series
оперативная память,4 gb,оперативная память,4 gb
видео карта,amd hd4870 / nvidia 8800gt / intel iris graphics,видео карта,amd hd5870 / nvidia 650m
диск,15 gb,диск,15 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
дополнительно,keyboard and 3 button mouse or logitech dual analog stick gamepad,дополнительно,keyboard and 3 button mouse or logitech dual analog stick gamepad
,,,
windows_min_Venineth,windows_min_Venineth,windows_req_Venineth,windows_req_Venineth
операционная система,windows 7/8/10 ( os required),операционная система,windows 10 ( os required)
процессор,intel core i5-2300 2.8 ghz (or amd equivalent),процессор,intel core i5-4670k 3.40ghz (or amd equivalent)
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx 760 (or amd equivalent),видео карта,nvidia gtx 1060 (or amd equivalent)
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Poppy's Nightmare,windows_min_Poppy's Nightmare,windows_req_Poppy's Nightmare,windows_req_Poppy's Nightmare
операционная система,windows 7/10,операционная система,windows 7/10
процессор,intel core i5-8400,процессор,intel core i7-4790
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 860,видео карта,nvidia gtx 860
,,,
windows_min_Closers: Rogue Agents Pack,windows_min_Closers: Rogue Agents Pack,windows_req_Closers: Rogue Agents Pack,windows_req_Closers: Rogue Agents Pack
операционная система,windows 7,операционная система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Police Helicopter Simulator,windows_min_Police Helicopter Simulator
операционная система,windows 7 / 8 / 10 (64bit)
процессор,quad-core with 2.6 ghz (64bit)
оперативная память,8 gb
видео карта,"gpu with 1 gb vram, for example nvidia geforce gtx 760 or similar (onboard graphics chips are not officially supported)"
directx,version 11
,
windows_min_The Searchers of Legends : Origin,windows_min_The Searchers of Legends : Origin,windows_req_The Searchers of Legends : Origin,windows_req_The Searchers of Legends : Origin
операционная система,windowsxp (service pack 3),операционная система,windows 7 or higher
процессор,quad core,процессор,intel core i3-3110 2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 9800gt,видео карта,gtx 670 2gb / amd r9 280 better
диск,4 gb,диск,6 gb
,,,
windows_min_Castlevania: Lords of Shadow 2 - Revelations DLC,windows_min_Castlevania: Lords of Shadow 2 - Revelations DLC,windows_req_Castlevania: Lords of Shadow 2 - Revelations DLC,windows_req_Castlevania: Lords of Shadow 2 - Revelations DLC
операционная система,windows xp service pack 3,операционная система,windows 7 or higher
процессор,2.4ghz intel core 2 duo processeor or amd equivalent,процессор,quad core cpu
оперативная память,2 gb,оперативная память,2 gb
видео карта,direct x9 compatible video card 512mb,видео карта,direct x11 compatible video card with 1024mb
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directsound supported with direct x9.0c,звуковая карта,directsound supported with direct x9.0c
,,,
windows_min_Eternal Return,windows_min_Eternal Return,macos_min_Eternal Return,macos_min_Eternal Return,linux_min_Eternal Return,linux_min_Eternal Return
операционная система,windows xp / windows vista / windows 7 / windows 8 / windows 10,операционная система,os x 10.6,операционная система,"glibc 2.15+, 32/"
процессор,2 ghz intel core 7,процессор,2 ghz intel core i7,процессор,intel core 2 duo 2.8 ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 530,видео карта,intel iris pro 1536 mb,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable)
,,,,,
windows_min_SoulWorker - Anime Action MMO,windows_min_SoulWorker - Anime Action MMO,windows_req_SoulWorker - Anime Action MMO,windows_req_SoulWorker - Anime Action MMO
операционная система,windows 7 32 bit,операционная система,windows 7
процессор,intel core2 duo e8300,процессор,pentium core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gt440 / radeon hd 4850,видео карта,nvidia geforce gts 250
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Borderlands 2: Commando Domination Pack,windows_min_Borderlands 2: Commando Domination Pack,windows_req_Borderlands 2: Commando Domination Pack,windows_req_Borderlands 2: Commando Domination Pack
операционная система,10.12 (sierra),операционная система,10.12 (sierra)
процессор,2.4 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core
оперативная память,4 gb,оперативная память,4 gb
диск,13 gb,диск,—
video memory,256 mb,video memory,512 mb
видео карта,ati radeon hd 2600 / nvidia geforce 8800,видео карта,ati radeon hd 5750 / nvidia geforce 650m
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще",other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще"
additional,"macintosh mouse and keyboard, borderlands 2 supports the xbox 360 wired gamepad only.",additional,—
supported graphicss,"nvidia geforce 8800, gt 120, 320m, 330m, 640m, 650m, 660m, 675mx, 680mx ati radeon hd 2600, hd 3870, hd 4670, hd 4850, hd 5670, hd 5750, hd 5770, hd 5870, hd 6630, hd 6490, hd ...  6750, hd 6770, hd 6970 intel hd graphics 3000, 4000  еще",supported graphicss,—
,,,
windows_min_MU Legend,windows_min_MU Legend,windows_req_MU Legend,windows_req_MU Legend
операционная система,"winxp sp3, win7(32-bit) sp1 and above",операционная система,"win7() sp1, win8.1(), win10()"
процессор,intel quad core / amd phenom ii x4 and above,процессор,i5 760 / amd athlon x4 740 and above
оперативная память,3 gb,оперативная память,4 gb
видео карта,geforce 8800gt / radeon hd4850 and above,видео карта,geforce gts 450 / radeon hd4890 and above
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Gotham City Impostors Free to Play: Gary,windows_min_Gotham City Impostors Free to Play: Gary,windows_req_Gotham City Impostors Free to Play: Gary,windows_req_Gotham City Impostors Free to Play: Gary
,,,
windows_min_Runes of Magic,windows_min_Runes of Magic,windows_req_Runes of Magic,windows_req_Runes of Magic
операционная система,windows xp sp2 / vista / 7,операционная система,windows xp sp2 / vista / 7 / 8
процессор,intel pentium 4 2.0 ghz or comparable,процессор,intel core 2 duo 2.0 ghz or similar
оперативная память,512 mb,оперативная память,2 gb
видео карта,directx 9.0c compatible with 128 mb and pixel shader 2.0 support (or higher),видео карта,nvidia 6800 / ati x800 min. 256 mb
диск,12 gb,диск,15 gb
,,,
windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Sarah,windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Sarah,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Sarah,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Sarah
операционная система,windows vista/7/8/8.1 (32bit/64bit),операционная система,windows vista/7/8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативная память,2 gb,оперативная память,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Disney Planes,windows_min_Disney Planes
операционная система,microsoft windows xp sp3/windows 7
