windows_min_PixelJunk™ Shooter,windows_min_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,windows_req_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_min_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,macos_req_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_min_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter,linux_req_PixelJunk™ Shooter
операционная система,"windows xp, vista, 7, 8, 10",операционная система,"windows xp, vista, 7, 8, 10"
процессор,"intel coretm2 duo 2.4 ghz, amd athlontm x2 2.8 ghz",процессор,"intel coretm2 quad 2.7 ghz, amd phenomtm ii x4 3 ghz"
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,geforce gtx 460,видео карта,geforce gtx 960
directx,version 9.0c,directx,version 9.0c
диск,3 gb,диск,3 gb
,,,
windows_min_Versus: Battle of the Gladiator,windows_min_Versus: Battle of the Gladiator,windows_req_Versus: Battle of the Gladiator,windows_req_Versus: Battle of the Gladiator
операционная система,windows xp 32bit,операционная система,windows 7 64bit
процессор,intel core 2 duo/amd athlon x2,процессор,intel core i5 / amd a8
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 6 series/radeon r500 series,видео карта,geforce 500 series/radeon hd 6000 series
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_ Fantasy & Blade,windows_min_ Fantasy & Blade,windows_req_ Fantasy & Blade,windows_req_ Fantasy & Blade
операционная система,microsoft windows 7/8/8.1/10 (64bit),операционная система,—
оперативная память,4 gb,оперативная память,8 gb
диск,500 mb,диск,—
,,,
windows_min_Trapper's Delight,windows_min_Trapper's Delight
операционная система,mac os x 10.8+
процессор,"sse2 instruction set support, 1.6 ghz"
оперативная память,2 gb
видео карта,dx9 (shader model 2.0) capabilities
directx,version 9.0c
сеть,широкополосное подключение
,
macos_min_Gish,macos_min_Gish
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, ."
процессор,intel core duo 1.66ghz+
оперативная память,1gb of
видео карта,64mb of video memory
диск,200+mb of free hard drive space
,
windows_min_Eden Rising,windows_min_Eden Rising,windows_req_Eden Rising,windows_req_Eden Rising
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel 2.3 ghz core i5 or amd equivalent,процессор,intel 3.6 ghz core i7 7700 or amd equivalent
оперативная память,6 gb,оперативная память,16 gb
видео карта,geforce gtx 560 or amd equivalent,видео карта,geforce gtx 1060 or amd equivalent
,,,
windows_min_Alekhine's Gun,windows_min_Alekhine's Gun
операционная система,"microsoft windows vista, windows 7 or windows 8"
