windows_min_Hitman: Absolution™,windows_min_Hitman: Absolution™,windows_req_Hitman: Absolution™,windows_req_Hitman: Absolution™
windows_min_Ultimate Chicken Horse,windows_min_Ultimate Chicken Horse,windows_req_Ultimate Chicken Horse,windows_req_Ultimate Chicken Horse,macos_min_Ultimate Chicken Horse,macos_min_Ultimate Chicken Horse,macos_req_Ultimate Chicken Horse,macos_req_Ultimate Chicken Horse,linux_min_Ultimate Chicken Horse,linux_min_Ultimate Chicken Horse,linux_req_Ultimate Chicken Horse,linux_req_Ultimate Chicken Horse
операционная система,windows 7,операционная система,windows 7,операционная система,mac osx 10.8+,операционная система,mac osx 10.8+,операционная система,"steamos, ubuntu 12.04+ or comparable",операционная система,"steamos, ubuntu 12.04+ or comparable"
процессор,1.5ghz +,процессор,dual core 2.3 ghz,процессор,1.5ghz +,процессор,dual core 2.3 ghz,процессор,1.5ghz +,процессор,dual core 2.3 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb vram intel hd 4000 / geforce 200 series / radeon hd 4000 series,видео карта,1024 mb vram,видео карта,512 mb vram,видео карта,1024 mb vram,видео карта,512 mb vram,видео карта,1024 mb vram
directx,version 9.0c,directx,version 9.0,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,дополнительно,broadband internet is required for online play.,дополнительно,broadband internet is required for online play.,дополнительно,broadband internet is required for online play.,дополнительно,broadband internet is required for online play.
,,,,,,,,,,,
windows_min_Dishonored 2,windows_min_Dishonored 2,windows_req_Dishonored 2,windows_req_Dishonored 2
операционная система,windows 7/8/10 ( versions),операционная система,windows 10 ( versions)
процессор,intel core i5-2400 / amd fx-8320,процессор,intel core i7-4770 / amd fx-8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 2gb / amd radeon hd 7970 3gb,видео карта,nvidia gtx 1060 6gb / amd radeon rx 480 8gb
,,,
windows_min_CODE VEIN,windows_min_CODE VEIN,windows_req_CODE VEIN,windows_req_CODE VEIN
операционная система,windows 7 sp1 or windows 10 (),операционная система,windows 7 sp1 or windows 10 ()
процессор,intel core i5-2300,процессор,intel core i5-7400 or amd ryzen 3 2200g
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 760 or radeon hd 7850,видео карта,geforce gtx 960 or radeon r9 380x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,35 gb,диск,35 gb
,,,
windows_min_Deus Ex: Mankind Divided,windows_min_Deus Ex: Mankind Divided,windows_req_Deus Ex: Mankind Divided,windows_req_Deus Ex: Mankind Divided,macos_min_Deus Ex: Mankind Divided,macos_min_Deus Ex: Mankind Divided,macos_req_Deus Ex: Mankind Divided,macos_req_Deus Ex: Mankind Divided,linux_min_Deus Ex: Mankind Divided,linux_min_Deus Ex: Mankind Divided,linux_req_Deus Ex: Mankind Divided,linux_req_Deus Ex: Mankind Divided
операционная система,windows 7.1sp1 or above ( operating system required),операционная система,windows 10,операционная система,macos 10.13.1,операционная система,—,операционная система,"ubuntu 16.10, steamos 2.0",операционная система,"ubuntu 16.10, steamos 2.0"
процессор,intel core i3-2100 or amd equivalent,процессор,intel core i7-3770k or amd fx 8350 wraith,процессор,3.0ghz intel core i5,процессор,—,процессор,"intel core i3-4130, amd fx8350",процессор,intel core i7-3770k
оперативная память,8 gb,оперативная память,16 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon hd 7870 (2gb) or nvidia geforce gtx 660 (2gb),видео карта,amd radeon rx 480 - 1920 x 1080 or nvidia gtx 970 - 1920 x 1080,видео карта,2gb amd r9 m290,видео карта,—,видео карта,2gb nvidia 680 (driver version: 367.57) amd gpus are not supported,видео карта,6gb nvidia 1060 (driver version: 367.57)
диск,45 gb,диск,55 gb,диск,67 gb,диск,—,диск,67 gb,диск,70 gb
,,,,,,,,,,,
windows_min_Outlast 2,windows_min_Outlast 2,windows_req_Outlast 2,windows_req_Outlast 2
операционная система,windows vista / 7 / 8 / 10s,операционная система,windows vista / 7 / 8 / 10s
процессор,intel core i3-530,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,"1gb vram, nvidia geforce gtx 260 / ati radeon hd 4870",видео карта,"1.5gb vram, nvidia geforce gtx 660 / ati radeon hd 7850"
directx,version 10,directx,version 11
диск,30 gb,диск,30 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Bloodstained: Ritual of the Night,windows_min_Bloodstained: Ritual of the Night
процессор,amd fx-6300 / intel core i5-4590
оперативная память,8 gb
видео карта,amd radeon r9 290 / geforce gtx 1050 ti
диск,10 gb
,
windows_min_SOMA,windows_min_SOMA,windows_req_SOMA,windows_req_SOMA,macos_min_SOMA,macos_min_SOMA,macos_req_SOMA,macos_req_SOMA,linux_min_SOMA,linux_min_SOMA,linux_req_SOMA,linux_req_SOMA
операционная система,windows vista,операционная система,windows 7,операционная система,10.9,операционная система,10.10,операционная система,major linux distribution from 2014,операционная система,major linux distribution from 2014
процессор,core i3 / amd a6 2.4ghz,процессор,core i5 / amd fx 2.4ghz,процессор,core i3 2.4ghz,процессор,core i5 2.4ghz,процессор,core i3 / amd a6 2.4ghz,процессор,core i5 / amd fx 2.4ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,nvidia geforce gtx 480 / amd radeon hd 5970. opengl 3.3,видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,nvidia geforce gtx 480 / amd radeon hd 5970. opengl 3.3,видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,nvidia geforce gtx 480 / amd radeon hd 5970. opengl 3.3
диск,25 gb,диск,25 gb,диск,25 gb,диск,25 gb,диск,25 gb,диск,25 gb
,,,,,,,,,,,
windows_min_Hogwarts Legacy,windows_min_Hogwarts Legacy,windows_req_Hogwarts Legacy,windows_req_Hogwarts Legacy
операционная система,windows 10,операционная система,windows 10
