windows_min_Retrowave Drift,windows_min_Retrowave Drift,windows_req_Retrowave Drift,windows_req_Retrowave Drift
процессор,intel core i3-2100 / amd fx-6300,процессор,intel core i7-3770 / amd fx-8350
оперативная память,2 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 ti / ati radeon hd 7950,видео карта,nvidia geforce gtx 970 / ati radeon r9 series
диск,5 gb,диск,5 gb
,,,
windows_min_MONOLISK,windows_min_MONOLISK,windows_req_MONOLISK,windows_req_MONOLISK
операционная система,windows 7 sp1 (64bit),операционная система,windows 8.1/10 (64bit)
процессор,dual core 2.2 ghz,процессор,dual core 2.6 ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,1gb vram / directx 10+ support,видео карта,2gb vram / directx 10+ support
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Sabotaj,windows_min_Sabotaj,windows_req_Sabotaj,windows_req_Sabotaj
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-4150,процессор,intel core i5-4460
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 4000,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_You Arrive in a Town,windows_min_You Arrive in a Town
операционная система,windows 10
процессор,intel core i5 or amd equivalent
оперативная память,8 mb
видео карта,nvidia gtx 660 or amd radeon hd 7950
,
windows_min_Sentience,windows_min_Sentience,windows_req_Sentience,windows_req_Sentience
операционная система,—,операционная система,—
процессор,"2+ cores, intel i3",процессор,"4+ cores, intel i7"
оперативная память,8 gb,оперативная память,16 gb
видео карта,2gb - gtx 1050,видео карта,6 gb - gtx 1050
directx,version 11,directx,version 11
,,,
windows_min_Criminal Dissidia,windows_min_Criminal Dissidia,windows_req_Criminal Dissidia,windows_req_Criminal Dissidia
операционная система,windows 10,операционная система,window 10
процессор,i3,процессор,i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,gtx650,видео карта,gtx1050
directx,version 8.0,directx,version 11
,,,
windows_min_From the Shadows,windows_min_From the Shadows
операционная система,"windows 7, windows 10"
процессор,intel core i3
оперативная память,4 gb
видео карта,nvidia geforce gtx 560 ti
,
windows_min_Space Captain McCallery - Episode 3: The Weaponmaster's Challenge,windows_min_Space Captain McCallery - Episode 3: The Weaponmaster's Challenge
операционная система,windows 8/windows 10
процессор,sse2 instruction set support
оперативная память,4 gb
видео карта,dx9 (shader model 3.0) or dx11 with feature level 9.3 capabilities.
,
windows_min_SodaStar 0,windows_min_SodaStar 0
операционная система,windows 7 or higher
,
