windows_min_Serious Sam VR: The First Encounter,windows_min_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter
диск,2 gb,диск,4 gb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,compatible with directx: 9.0c,звуковая карта,compatible with directx: 9.0c,дополнительно,—,дополнительно,recommended xbox 360 controller with xinput drivers installed,дополнительно,—,дополнительно,recommended xbox 360 controller with xinput drivers installed
дополнительно,"warning: laptop graphics card are not supported, but may be functional",дополнительно,recommended xbox 360 controller for windows,,,,,,,,
,,,,,,,,,,,
windows_min_Front Mission Evolved,windows_min_Front Mission Evolved,windows_req_Front Mission Evolved,windows_req_Front Mission Evolved
операционная система,"windows xp, vista, windows 7",операционная система,"windows xp, vista, windows 7"
процессор,intel pentium d 1.8 ghz or amd athlon 64 x2 1.8 ghz,процессор,intel core 2 duo 2.4 ghz or amd athlon 64 x2 2.4 ghz
оперативная память,"1gb (xp), 2gb (vista/7)",оперативная память,"2gb (xp), 3gb (vista/7)"
видео карта,512mb nvidia geforce 7800 series graphics card,видео карта,512mb nvidia geforce 8800 series graphics card
directx,9.0c,directx,9.0c
диск,11 gb free space,диск,11 gb free space
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Vector Thrust,windows_min_Vector Thrust,windows_req_Vector Thrust,windows_req_Vector Thrust
операционная система,"windows xp sp3, windows vista sp2, windows 7, windows 8",операционная система,"windows xp sp3, windows vista sp2, windows 7, windows 8"
процессор,1 ghz,процессор,3 ghz dual core
оперативная память,1 gb,оперативная память,4 gb
видео карта,"128 mb directx–compliant, shader 2.0–enabled video card",видео карта,"512 mb directx–compliant, shader 3.0–enabled video card"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Cube Runner,windows_min_Cube Runner,windows_req_Cube Runner,windows_req_Cube Runner
операционная система,mac osx 10.8+,операционная система,mac osx 10.8+
процессор,1.5ghz +,процессор,dual core 2.0 ghz
оперативная память,1 gb,оперативная память,1 gb
видео карта,256 mb or higher,видео карта,256 mb or higher
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Battlezone: Combat Commander,windows_min_Battlezone: Combat Commander
операционная система,windows 7 windows 8.1 or windows 10
процессор,3.0 ghz intel core2 duo/amd phenom ii
оперативная память,4 gb
видео карта,directx 11.0 compatible graphics card with 1gb of memory
directx,version 11
,
windows_min_ROD: Revolt Of Defense,windows_min_ROD: Revolt Of Defense
операционная система,windows 7
процессор,pentium (r) dual-core cpu
оперативная память,512 mb
видео карта,nvidia geforce gt 430
диск,75 mb
,
windows_min_Sun Blast: Star Fighter,windows_min_Sun Blast: Star Fighter,macos_min_Sun Blast: Star Fighter,macos_min_Sun Blast: Star Fighter,linux_min_Sun Blast: Star Fighter,linux_min_Sun Blast: Star Fighter
операционная система,windows xp,операционная система,os x 10.6,операционная система,"ubuntu 14.04, steamos"
процессор,1.8 ghz or faster,процессор,1.8 ghz or faster,процессор,1.8 ghz or faster
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,"128 mb, opengl compatible video card with latest drivers installed",видео карта,"128 mb, opengl compatible video card with latest drivers installed",видео карта,"128 mb, opengl compatible video card with latest drivers installed"
диск,200 mb,диск,200 mb,диск,200 mb
,,,,,
windows_min_Hentai 3018,windows_min_Hentai 3018,windows_req_Hentai 3018,windows_req_Hentai 3018
операционная система,windows xp sp3,операционная система,windows 7
процессор,pentium 4 1.5 ghz / athlon xp,процессор,pentium 4 1.5 ghz / athlon xp
оперативная память,512 mb,оперативная память,512 mb
видео карта,geforce 210 590mhz,видео карта,geforce 210 590mhz
,,,
windows_min_New Retro Arcade: Neon,windows_min_New Retro Arcade: Neon,windows_req_New Retro Arcade: Neon,windows_req_New Retro Arcade: Neon
операционная система,windows 7,операционная система,windows 7
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 980
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Neptunia Shooter,windows_min_Neptunia Shooter
операционная система,windows 8
процессор,intel core 2 duo 2.4ghz
оперативная память,4 gb
видео карта,windows compatible graphics card
directx,version 10
диск,50 mb
,
windows_min_Guns of Icarus Alliance,windows_min_Guns of Icarus Alliance,macos_min_Guns of Icarus Alliance,macos_min_Guns of Icarus Alliance,linux_min_Guns of Icarus Alliance,linux_min_Guns of Icarus Alliance
операционная система,windows 7 or higher,операционная система,mac os x 10.7 or higher,операционная система,ubuntu 12.04 lts (linux machine configuration not supported)
процессор,dual-core 2.4ghz (intel core 2 duo e6600 ),процессор,dual-core 2.4ghz (intel core 2 duo e6600 ),процессор,dual-core 2.4ghz (intel core 2 duo e6600 )
оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb
видео карта,dedicated graphics card with at least 512mb vram (geforce 240 gt ),видео карта,dedicated graphics card with at least 512mb vram (radeon hd 6750m ),видео карта,directx9c-compatible dedicated graphics card with at least 512mb vram (geforce 240 gt )
directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,10 gb,диск,10 gb
,,,,,
windows_min_Headlander,windows_min_Headlander,windows_req_Headlander,windows_req_Headlander
операционная система,macos sierra (version 10.12),операционная система,macos sierra (version 10.12)
процессор,dual core intel i5,процессор,quad core intel i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,"nvidia geforce gt 650 ti, amd radeon hd 7800 series,",видео карта,"nvidia geforce gtx 770, amd radeon r9 290,"
,,,
windows_min_Immortal: Unchained,windows_min_Immortal: Unchained,windows_req_Immortal: Unchained,windows_req_Immortal: Unchained
операционная система,"windows 7, windows 8/8.1, windows 10 *",операционная система,"windows 7, windows 8/8.1, windows 10 *"
процессор,intel core2 quad q9500 @ 2.83ghz or amd phenom ii x4 940,процессор,intel core i7-4790k @ 4.00 ghz or amd fx-9590 @ 4.7 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5770 / w 2gb vram,видео карта,nvidia geforce gtx 780 or amd gpu radeon r9 290
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
,,,
windows_min_Legend of Mana,windows_min_Legend of Mana
операционная система,windows 10 (ver.2004 and above)
процессор,amd a8-7600 intel core™ i3-3240 / intel core™ i3-3240
оперативная память,4 gb
видео карта,amd radeon™ r7 240 / nvidia geforce gt 730
directx,version 11
диск,13 gb
,
windows_min_Blades of Time,windows_min_Blades of Time,windows_req_Blades of Time,windows_req_Blades of Time
операционная система,osx mavericks 10.9,операционная система,macos sierra
процессор,core i5 - 2.5,процессор,core i5 - 2.7
оперативная память,2 gb,оперативная память,2 gb
видео карта,amd 6750m or geforce 9600,видео карта,amd 6770m
directx,9.0c,directx,9.0c
диск,3 gb hd space,диск,3 gb hd space
звуковая карта,direct x-compatible sound card,звуковая карта,direct x-compatible sound card
,,,
windows_min_Sacred Citadel,windows_min_Sacred Citadel
операционная система,vista/win7
процессор,2ghz dual core
оперативная память,2 gb
видео карта,"nvidia geforce 8600, ati radeon hd 2600"
directx,9.0c
,
windows_min_Manhunter,windows_min_Manhunter
операционная система,windows xp/vista/7
процессор,pentium dual core or similar
оперативная память,1 gb
,
windows_min_Our Darker Purpose,windows_min_Our Darker Purpose
операционная система,windows vista/7
процессор,1.6 ghz
оперативная память,2 gb
видео карта,"x1950 pro, 7900 gt"
directx,version 10
,
windows_min_World of Warships,windows_min_World of Warships,windows_req_World of Warships,windows_req_World of Warships
операционная система,macos 10.7.5,операционная система,macos 10.10
