windows_min_The Godfather 2,windows_min_The Godfather 2
операционна€ система,windows xp or higher
процессор,intel core i5-2400s @ 2.5 ghz or amd fx-4320 @ 4 ghz,процессор,intel core i7- 3770@ 3.5 ghz or amd fx-8350 @ 4 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx660 / amd r9 270x (2gb vram with shader model 5.0 ),видео карта,nvidia geforce gtx970 / gtx 1060 or amd r9 390/rx480 (4gb vram with shader model 5.0 )
диск,50 gb,диск,50 gb
,,,
windows_min_AZURE PHOSPHORESCENCE,windows_min_AZURE PHOSPHORESCENCE
операционна€ система,"windows xp, 7 or 8.1"
процессор,2ghz or faster processer
,
windows_min_Tiny Troopers 2,windows_min_Tiny Troopers 2
операционна€ система,windows 8
процессор,1.4ghz dual-core intel core i5
оперативна€ пам€ть,4 gb
видео карта,intel hd graphics 5000
,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC5 Jinchuriki Costume Pack 2,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC5 Jinchuriki Costume Pack 2,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC5 Jinchuriki Costume Pack 2,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC5 Jinchuriki Costume Pack 2
операционна€ система,windows xp or higher with latest service pack,операционна€ система,windows 7 or higher with latest service pack
процессор,2.3 ghz dual core or amd,процессор,"intel i3-530, 2.93ghz / amd phenom ii x4 940, 3.0ghz"
оперативна€ пам€ть,1 mb,оперативна€ пам€ть,4 mb
видео карта,512 mb video cards pixel shader 4.0 (geforce 8xxx-ati hd2xxx),видео карта,"1024 mb video card, pixel shader 4.0, directx10 gpu"
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Resident Evil: Revelations Lady HUNK DLC,windows_min_Resident Evil: Revelations Lady HUNK DLC,windows_req_Resident Evil: Revelations Lady HUNK DLC,windows_req_Resident Evil: Revelations Lady HUNK DLC
операционна€ система,windows xp,операционна€ система,windows vista
процессор,"intel coreЩ 2 duo 2.4ghz, amd athlonЩ x2 2.8 ghz",процессор,"intel coreЩ 2 quad 2.7 ghz, amd phenomЩ ii x4 3 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia geforce 8800gts, ati radeonЩ hd3850",видео карта,"nvidia geforce gtx 560, ati radeonЩ hd6950"
directxЃ,9.0c,directxЃ,9.0c
диск,8.4 gb hd space,диск,8.4 gb hd space
звукова€ карта,directsound supported with directx9.0c,звукова€ карта,directsound supported with directx9.0c
,,,
"windows_min_Warhammer 40,000: Inquisitor - Martyr - Maelstrom of Carnage","windows_min_Warhammer 40,000: Inquisitor - Martyr - Maelstrom of Carnage","windows_req_Warhammer 40,000: Inquisitor - Martyr - Maelstrom of Carnage","windows_req_Warhammer 40,000: Inquisitor - Martyr - Maelstrom of Carnage"
операционна€ система,windows 7+ (8 / 8.1 / 10),операционна€ система,windows 7+ (8 / 8.1 / 10)
процессор,intel cpu core i3-2120 (3.3 ghz) / amd cpu fx-6300 (3.5 ghz),процессор,intel cpu core i7-2600 (3.4 ghz) / amd cpu fx-8320 (3.5 ghz)
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 (2 gb) / amd radeon hd 7850 (2 gb),видео карта,nvidia geforce gtx 1060 (3 gb) / amd radeon rx 480 (4 gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Redneck Rampage Rides Again,windows_min_Redneck Rampage Rides Again,windows_req_Redneck Rampage Rides Again,windows_req_Redneck Rampage Rides Again
операционна€ система,os x 10.6.8,операционна€ система,Ч
процессор,intel core duo 2ghz+,процессор,Ч
оперативна€ пам€ть,1 mb,оперативна€ пам€ть,Ч
видео карта,64mb of video memory,видео карта,Ч
directx,version 7.0,directx,version 9.0
диск,430.4 mb,диск,450 gb
,,,
windows_min_DmC Devil May Cry: Weapon Bundle,windows_min_DmC Devil May Cry: Weapon Bundle,windows_req_DmC Devil May Cry: Weapon Bundle,windows_req_DmC Devil May Cry: Weapon Bundle
операционна€ система,"windows vista(r)/xp, windows 7, windows 8",операционна€ система,"windows vista(r)/xp, windows 7, windows 8"
процессор,"intel(r) core(tm)2 duo 2.4 ghz, amd athlon(tm) x2 2.8 ghz",процессор,"intel(r) core(tm)2 quad 2.7 ghz, amd phenom(tm)ii x4 3 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia(r) geforce(r) 8800gts, ati radeon(tm) hd 3850",видео карта,ati radeon(tm) hd 6950
directxЃ,9.0c,directxЃ,9.0c
диск,9 gb hd space,диск,9 gb hd space
,,,
windows_min_Modern Tanks,windows_min_Modern Tanks
операционна€ система,mac os x 10.8
процессор,2 ghz intel core i5
оперативна€ пам€ть,1 gb
,
windows_min_Bullet Girls Phantasia - Costume Set: Bunny Girl Suits,windows_min_Bullet Girls Phantasia - Costume Set: Bunny Girl Suits,windows_req_Bullet Girls Phantasia - Costume Set: Bunny Girl Suits,windows_req_Bullet Girls Phantasia - Costume Set: Bunny Girl Suits
,,,
