windows_min_Bout,windows_min_Bout
,
windows_min_Bloodied Fear,windows_min_Bloodied Fear,windows_req_Bloodied Fear,windows_req_Bloodied Fear
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,4 gb,оперативная память,16 gb
видео карта,geforce gtx 670 |; radeon hd 7950,видео карта,geforce gtx 970 or geforce gtx 1060 |; radeon r9 290x or radeon rx 480
,,,
windows_min_Last Day: Zombie Survival VR,windows_min_Last Day: Zombie Survival VR,windows_req_Last Day: Zombie Survival VR,windows_req_Last Day: Zombie Survival VR
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7,процессор,intel core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1050 / amd,видео карта,nvidia gtx 1070 / amd
directx,version 11,directx,version 11
диск,1024 mb,диск,1024 mb
,,,
windows_min_Bash The Party,windows_min_Bash The Party,macos_min_Bash The Party,macos_min_Bash The Party,linux_min_Bash The Party,linux_min_Bash The Party
операционная система,windows 7+,операционная система,os x,операционная система,linux
процессор,intel i3-10100f+,диск,2 mb,оперативная память,8 mb
оперативная память,8 gb,,,диск,2 mb
видео карта,ati radeon graphics / nvidia 10 series,,,,
directx,version 12,,,,
,,,,,
windows_min_ShadowBringer,windows_min_ShadowBringer,windows_req_ShadowBringer,windows_req_ShadowBringer
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7-4770,процессор,intel core i5-8700
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 760,видео карта,nvidia gtx 1060
,,,
windows_min_Lone Bastion,windows_min_Lone Bastion
операционная система,windows 7 or higher
процессор,2 ghz cpu
оперативная память,4 gb
видео карта,"intel hd graphics 4000, integrated cards also work"
,
windows_min_BURNER,windows_min_BURNER,windows_req_BURNER,windows_req_BURNER
операционная система,windows 7 32bit,операционная система,windows 10
процессор,intel core 2 duo e8400,процессор,i series
оперативная память,4 gb,оперативная память,8 gb
видео карта,video card that supports opengl 3.3,видео карта,geforce gtx 1050
,,,
windows_min_10 Minutes Till Dawn,windows_min_10 Minutes Till Dawn
операционная система,windows 7
процессор,dual core+
оперативная память,2 gb
видео карта,1 gb
,
windows_min_Alchemist,windows_min_Alchemist
операционная система,windows 10
оперативная память,50 mb
,
windows_min_Forlorn,windows_min_Forlorn,windows_req_Forlorn,windows_req_Forlorn
операционная система,windows 7 sp1+,операционная система,windows 7 sp1+
процессор,intel i5-2500k,процессор,intel i5-7600k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 560,видео карта,nvidia geforce gtx 1060
directx,version 10,directx,version 10
,,,
windows_min_Taiga,windows_min_Taiga,windows_req_Taiga,windows_req_Taiga
операционная система,windows 7,операционная система,windows 7
процессор,2.6 ghz quad core or similar,процессор,i5 3ghz or ryzen 5 3ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 950 or radeon hd 7970,видео карта,geforce gtx 1060 or radeon rx 580
directx,version 11,directx,version 11
,,,
windows_min_Zom Tom,windows_min_Zom Tom
операционная система,windows 7/8/10/11
процессор,2.2 ghz
оперативная память,512 mb
видео карта,256 mb
диск,150 mb
,
windows_min_Endless Bullet Heaven,windows_min_Endless Bullet Heaven,windows_req_Endless Bullet Heaven,windows_req_Endless Bullet Heaven
операционная система,windows 8 up to windows 10,операционная система,windows 10
процессор,any,процессор,any
оперативная память,40 mb,оперативная память,50 mb
видео карта,any,видео карта,any
диск,10 mb,диск,20 mb
звуковая карта,any,звуковая карта,any
,,,
windows_min_Epic Battle Fantasy Collection,windows_min_Epic Battle Fantasy Collection
операционная система,windows 7+
процессор,2.0 ghz dual core
оперативная память,2 gb
диск,450 mb
,
windows_min_Slimesventure: Your Destination,windows_min_Slimesventure: Your Destination,windows_req_Slimesventure: Your Destination,windows_req_Slimesventure: Your Destination
операционная система,windows 10,операционная система,windows 10
процессор,ryzen 3 1200g,процессор,ryzen 5 1600
видео карта,nvidia gtx 650,видео карта,nvidia gtx 1050
directx,version 10,directx,version 11
,,,
windows_min_Light Bringer,windows_min_Light Bringer,windows_req_Light Bringer,windows_req_Light Bringer
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3-540 or amd phenom ii x4 965,процессор,i3-6100
оперативная память,2 gb,оперативная память,4 gb
,,,
windows_min_Dash Shooters,windows_min_Dash Shooters,windows_req_Dash Shooters,windows_req_Dash Shooters
операционная система,"windows 7,",операционная система,"windows 7,"
процессор,2ghz,процессор,2ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"dx10, dx11, dx12 capable",видео карта,"dx10, dx11, dx12 capable"
directx,version 10,directx,version 10
,,,
windows_min_Red Valley,windows_min_Red Valley
операционная система,windows 7 / 8 / 9 / 10 - s *
процессор,2.2 ghz dual core cpu
оперативная память,3 gb
видео карта,2gb nvidia gforce 750 ti
directx,version 10
,
windows_min_Uligo: A Slime's Hike,windows_min_Uligo: A Slime's Hike
операционная система,windows 10
процессор,intel core i7-479
оперативная память,8 gb
видео карта,nvidia gtx 650
directx,version 12
,
windows_min_Cartographer,windows_min_Cartographer
операционная система,windows 7
процессор,2.0 ghz
оперативная память,4 gb
,
windows_min_Impossible Challenge,windows_min_Impossible Challenge,windows_req_Impossible Challenge,windows_req_Impossible Challenge
операционная система,windows 7,операционная система,windows 7 / windows 8 / windows 8.1 / windows 10
,,,
windows_min_PISTOLA,windows_min_PISTOLA
