дополнительно,developed and ran it on a hp laptop 14 with respectable frame rate,дополнительно,"don't worry about your computer's power, this game runs well on almost all computers",дополнительно,you can very likely run on lower specifications.,дополнительно,it can definitely run on your mac even if it has below to minimum required hardware i have listed.,дополнительно,very basic tech you need to run on linux,дополнительно,"if it launches on your linux computer, it can run well on it."
directx,—,directx,version 11,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_Shogunaria,windows_min_Shogunaria
операционная система,"xp, vista, windows 7, windows 8.1, windows 10"
процессор,pentium 4
видео карта,1 gb di
directx,version 9.0a
,
windows_min_DO NOT OPEN,windows_min_DO NOT OPEN,windows_req_DO NOT OPEN,windows_req_DO NOT OPEN
операционная система,windows 10,операционная система,windows 10
процессор,intel i5,процессор,intel i7
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Daybreaker VR,windows_min_Daybreaker VR
операционная система,windows 10
процессор,intel core i7 4790k
оперативная память,8 gb
видео карта,nvidia gtx970
directx,version 11
,
windows_min_Sidestep Legends,windows_min_Sidestep Legends,windows_req_Sidestep Legends,windows_req_Sidestep Legends
операционная система,windows 10 only,операционная система,windows 10 only
процессор,intel core i3 or amd equivalent,процессор,intel core i5 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel uhd graphics 630,видео карта,nvidia geforce gtx 1650
,,,
windows_min_Pentacore,windows_min_Pentacore,windows_req_Pentacore,windows_req_Pentacore
операционная система,windows 7 (64bit),операционная система,windows 7 (64bit)
процессор,intel core2 duo 2.0ghz .,процессор,intel core2 duo 2.0ghz .
оперативная память,4 gb,оперативная память,8 gb
видео карта,opengl 4.1 capable gp,видео карта,opengl 4.1 capable gp
directx,version 9.0,directx,version 9.0
диск,255 mb,диск,255 mb
,,,
windows_min_Dragon Mine,windows_min_Dragon Mine,windows_req_Dragon Mine,windows_req_Dragon Mine
операционная система,windows 7 (sp1+),операционная система,windows 10
процессор,intel core i3-4130 / amd fx-6300,процессор,intel core i3-4130 / amd fx-6300
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia 9***,видео карта,nvidia gtx 460 1gb
directx,version 10,directx,version 10
диск,550 mb,диск,550 mb
,,,
windows_min_MetlBrn,windows_min_MetlBrn,windows_req_MetlBrn,windows_req_MetlBrn
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-6400 2.70ghz,процессор,intel core i7-6700 3.40ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 1050,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_Steel Defier,windows_min_Steel Defier
операционная система,ubuntu
процессор,core2duo
оперативная память,1024 mb
видео карта,any
звуковая карта,any
,
"windows_min_Jacktus Green: The Fluffy, the Spiky and the Spicy","windows_min_Jacktus Green: The Fluffy, the Spiky and the Spicy","windows_req_Jacktus Green: The Fluffy, the Spiky and the Spicy","windows_req_Jacktus Green: The Fluffy, the Spiky and the Spicy"
операционная система,windows 10 / 11 x64,операционная система,windows 10 / 11 x64
процессор,intel(r) core(tm) i5-6400 cpu @ 2.70ghz 2.7 ghz,процессор,intel(r) core(tm) i7-7700k cpu @ 4.2ghz 4.2 ghz
оперативная память,16 gb,оперативная память,24 gb
видео карта,nvidia geforce gtx 1060 6gb,видео карта,nvidia geforce rtx 2060 8gb
directx,version 12,directx,version 12
,,,
windows_min_The Wire Man,windows_min_The Wire Man
операционная система,windows7
процессор,dual core 2.4 ghz
оперативная память,2 gb
,
windows_min_PARTHIAN STRIKE,windows_min_PARTHIAN STRIKE,windows_req_PARTHIAN STRIKE,windows_req_PARTHIAN STRIKE
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 2.6ghz or similar,процессор,intel core i5 2.6ghz or similar
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 700 series or similar,видео карта,geforce gtx 1050 series or similar
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Legendary Heroes,windows_min_Legendary Heroes,windows_req_Legendary Heroes,windows_req_Legendary Heroes
операционная система,windows 10,операционная система,windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzen™ 3 1200, 3.1 ghz",процессор,"intel core i5-2300, 2.8 ghz / amd fx-6300, 3.5ghz or amd ryzen™ 5 1400, 3.2 ghz"
видео карта,any board dx10 capable,видео карта,nvidia geforce gtx 750 / amd rx 550
directx,version 10,directx,version 12
диск,200 mb,диск,200 mb
,,,
windows_min_MOAR - Appeteaser,windows_min_MOAR - Appeteaser
операционная система,windows 10
процессор,intel i5-4590 / amd ryzen 5 1500x
видео карта,nvidia geforce gtx 970
directx,version 11
диск,6 gb
,
windows_min_Invadead,windows_min_Invadead,windows_req_Invadead,windows_req_Invadead
операционная система,windows 7,операционная система,windows 10
процессор,"intel core i3 2,00 ghz",процессор,"intel core i5-4440 3,10 ghz"
оперативная память,2 gb,оперативная память,—
видео карта,intel hd 520,видео карта,nvidia geforce gtx650
,,,
windows_min_Bulletkour,windows_min_Bulletkour
операционная система,windows 7+
процессор,2.2 ghz dual core or similar
оперативная память,4 gb
видео карта,512 mb dedicated vram
directx,version 11
,
windows_min_GogMagog,windows_min_GogMagog,windows_req_GogMagog,windows_req_GogMagog
операционная система,windows 7,операционная система,—
,,,
windows_min_Idol Hell,windows_min_Idol Hell,windows_req_Idol Hell,windows_req_Idol Hell,macos_min_Idol Hell,macos_min_Idol Hell,macos_req_Idol Hell,macos_req_Idol Hell,linux_min_Idol Hell,linux_min_Idol Hell,linux_req_Idol Hell,linux_req_Idol Hell
операционная система,windows 10,операционная система,windows 10,операционная система,monterey v12.1,операционная система,—,операционная система,ubuntu 22.04 lts,операционная система,—
процессор,intel core i7-10510u or similar,процессор,intel core i7-10870h,процессор,intel xeon w-21.45,процессор,—,процессор,intel xeon w-2145,процессор,—
видео карта,intel iris plus integrated graphics,видео карта,nvidia geforce rtx 3070 laptop,оперативная память,32 gb,оперативная память,—,оперативная память,64 gb,оперативная память,—
directx,version 11,directx,version 11,видео карта,radeon pro vega 56,видео карта,—,видео карта,nvidia geforce gtx 1080,видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,—
диск,2 gb,диск,2 gb,диск,2 gb,диск,—,диск,2 gb,диск,—
,,,,,,,,,,,
windows_min_Deneb: Across the Stars,windows_min_Deneb: Across the Stars
операционная система,windows 7
процессор,dual core 2.4 ghz
оперативная память,2 gb
,
windows_min_Islet Hell,windows_min_Islet Hell,macos_min_Islet Hell,macos_min_Islet Hell,linux_min_Islet Hell,linux_min_Islet Hell
операционная система,windows 10,операционная система,mojave,операционная система,ubuntu 20.4.3
процессор,pentium,процессор,pentium,оперативная память,4 mb
оперативная память,4 gb,оперативная память,4 gb,видео карта,opengl support
видео карта,opengl support,видео карта,opengl support,диск,20 mb
,,,,,
windows_min_SCP: Daybreak,windows_min_SCP: Daybreak
операционная система,microsoft windows 10 x64
процессор,intel core i5 (sixth generation )
оперативная память,512 mb
видео карта,nvidia geforce gt 240 / amd radeon hd 4670 / intel hd graphics 4000
directx,version 10
сеть,широкополосное подключение
диск,10 gb
,
windows_min_Moonrakers: Luminor,windows_min_Moonrakers: Luminor,windows_req_Moonrakers: Luminor,windows_req_Moonrakers: Luminor
операционная система,osx 10.10,операционная система,osx 12.3
процессор,intel i5,процессор,apple m1
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 630,видео карта,apple m1
,,,
windows_min_Seeking Light,windows_min_Seeking Light,windows_req_Seeking Light,windows_req_Seeking Light
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
,,,
windows_min_A Frog's Job,windows_min_A Frog's Job
операционная система,windows 7
процессор,core2duo
оперативная память,2014 mb
видео карта,any
звуковая карта,any
,
windows_min_Virus Protocol,windows_min_Virus Protocol,windows_req_Virus Protocol,windows_req_Virus Protocol
операционная система,high sierra 10.13+ (intel editor) big sur 11.0 (apple silicon editor),операционная система,high sierra 10.13+ (intel editor) big sur 11.0 (apple silicon editor)
процессор,x64 architecture with sse2 instruction set support (intel s) apple m1 or above (apple silicon-based s),процессор,x64 architecture with sse2 instruction set support (intel s) apple m1 or above (apple silicon-based s)
оперативная память,8 gb,оперативная память,8 gb
видео карта,metal-capable intel and amd gpus,видео карта,metal-capable intel and amd gpus
,,,
windows_min_OVERTOP,windows_min_OVERTOP,windows_req_OVERTOP,windows_req_OVERTOP
операционная система,windows 7 / 8 / 10 / 11,операционная система,windows 7 / 8 / 10 / 11
процессор,amd athlon x4 | intel core i5 4460,процессор,amd ryzen 5 | intel i5 10400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 950 |; amd r7 370,видео карта,nvidia gtx 1050 |; amd rx 6400
,,,
windows_min_TVs: The Awakening,windows_min_TVs: The Awakening,windows_req_TVs: The Awakening,windows_req_TVs: The Awakening
операционная система,os x mavericks 10.9,операционная система,—
процессор,dual core from intel,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,"nvidia 320m or higher, or radeon hd 2400 or higher, or intel hd 3000 or higher",видео карта,—
directx,version 11,directx,version 11
,,,
windows_min_Witch girl got killed.,windows_min_Witch girl got killed.,windows_req_Witch girl got killed.,windows_req_Witch girl got killed.
операционная система,windows 10,операционная система,windows 10/11
процессор,intel(r) core(tm) i5,процессор,intel(r) core(tm) i7-4790 cpu
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx,видео карта,nvidia geforce gtx 1660 ti
directx,version 11,directx,version 12
,,,
windows_min_Bolt Bot Screwy Viruses,windows_min_Bolt Bot Screwy Viruses
операционная система,windows 10
процессор,intel core i3-2100
оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti
,
