windows_min_The Unliving,windows_min_The Unliving,windows_req_The Unliving,windows_req_The Unliving
операционная система,mavericks 10.9,операционная система,—
процессор,intel core i3-2100 or amd fx-4350,процессор,intel core i5-6600 or amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,16 gb
видео карта,opengl 3.2+,видео карта,—
directx,version 11,directx,version 11
диск,2 gb,диск,—
,,,
windows_min_Catmaze,windows_min_Catmaze,macos_min_Catmaze,macos_min_Catmaze,linux_min_Catmaze,linux_min_Catmaze
операционная система,windows 7,операционная система,mac os 10.7+,операционная система,steam os 2.0 / ubuntu 14.04 lts ()
процессор,dual core 2.4 ghz,процессор,2 ghz dual core,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,hardware accelerated graphics with dedicated memory,видео карта,hardware accelerated graphics with dedicated memory,видео карта,"opengl 2.1-compatible, 512 mb video memory, framebuffer object support. e.g. intel hd 4600 ."
,,,,,
windows_min_Shadow Complex Remastered,windows_min_Shadow Complex Remastered,windows_req_Shadow Complex Remastered,windows_req_Shadow Complex Remastered
операционная система,osx 10.10.5 (yosemite),операционная система,osx 10.11 (el capitan)
процессор,"dual-core, min 2.5 ghz",процессор,"quad-core, ~2 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 670m,видео карта,gtx 750m
directx,version 9.0c,directx,version 11
,,,
windows_min_Tiny Brains,windows_min_Tiny Brains
операционная система,"vista, 7, 8"
процессор,p4 3 ghz or athlon 3400
оперативная память,2 gb
видео карта,256 mb video memory with shader model 3.0 support; ati radeon x1600xt / nvidea geforce 7800gs
directx,version 9.0c
,
windows_min_Insecticide Part 1,windows_min_Insecticide Part 1
операционная система,windows xp/vista
процессор,1.5ghz
оперативная память,256 mb
видео карта,"16-bit graphics, directx 9 (shader 2.0) compatible video card, 64 mb minimum video memory"
directx,9.0c
звуковая карта,directx compatible sound card
,
windows_min_Men of War: Condemned Heroes,windows_min_Men of War: Condemned Heroes,windows_req_Men of War: Condemned Heroes,windows_req_Men of War: Condemned Heroes
операционная система,windows xp/vista/7,операционная система,windows xp/vista/7
процессор,p4 2.6ghz (athlon 3000+),процессор,core 2 duo 2.33ghz (athlon x2 5000+)
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce fx 8800 (radeon hd3850) 256mb,видео карта,geforce fx 8800 (radeon hd3850) 256mb
directx,9.0c,directx,9.0c
диск,3 gb hd space,диск,3 gb hd space
,,,
windows_min_Time Rifters,windows_min_Time Rifters,macos_min_Time Rifters,macos_min_Time Rifters,linux_min_Time Rifters,linux_min_Time Rifters
операционная система,windows xp / vista / windows 7 / windows 8,операционная система,osx 10.6 +,операционная система,ububtu 12.04 lts
процессор,2.0 ghz or higher,процессор,2.0 ghz,процессор,2.0 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 9 or opengl 3 compatible video card,видео карта,opengl 3 compatible video card,видео карта,directx d10 or opengl 3 compatible video card
directx,version 9.0,диск,1 gb,диск,1 gb
,,,,,
windows_min_BMX The Game,windows_min_BMX The Game,windows_req_BMX The Game,windows_req_BMX The Game
операционная система,windows 10,операционная система,windows 10
процессор,2.6ghz dual core i5 or higher,процессор,3.0ghz quad core i5 or higher
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 960 or higher,видео карта,gtx 1060 or higher
directx,version 11,directx,version 11
диск,16 gb,диск,16 gb
,,,
windows_min_Iron Snout,windows_min_Iron Snout,macos_min_Iron Snout,macos_min_Iron Snout,linux_min_Iron Snout,linux_min_Iron Snout
операционная система,"windows xp, vista, 7 or 8",операционная система,mac os x,операционная система,linux/steamos
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,128mb,видео карта,128mb,видео карта,128mb
,,,,,
windows_min_Windforge,windows_min_Windforge
операционная система,windows 7
процессор,core 2 duo
оперативная память,2 gb
видео карта,512 mb graphics memory and open gl 3 compatible gpu
,
windows_min_A.I.M.2 Clan Wars,windows_min_A.I.M.2 Clan Wars,windows_req_A.I.M.2 Clan Wars,windows_req_A.I.M.2 Clan Wars
операционная система,"xp, vista, 7, 8, 10",операционная система,"xp, vista, 7, 8, 10"
процессор,"1,5 ghz",процессор,"2,5 ghz"
оперативная память,256 mb,оперативная память,768 mb
видео карта,nvidia geforce3 or ati radeon 7500,видео карта,nvidia geforce fx5900 or ati radeon 9800
directx,version 9.0c,directx,version 9.0c
диск,3 gb,диск,4 gb
,,,
windows_min_Strife: Veteran Edition,windows_min_Strife: Veteran Edition,windows_req_Strife: Veteran Edition,windows_req_Strife: Veteran Edition,macos_min_Strife: Veteran Edition,macos_min_Strife: Veteran Edition,macos_req_Strife: Veteran Edition,macos_req_Strife: Veteran Edition,linux_min_Strife: Veteran Edition,linux_min_Strife: Veteran Edition,linux_req_Strife: Veteran Edition,linux_req_Strife: Veteran Edition
операционная система,windows xp / vista / 7,операционная система,windows 7 and later,операционная система,os x 10.9,операционная система,os x leopard 10.9,операционная система,ubuntu 14.04 lts,операционная система,ubuntu 14.04 lts
