windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack
процессор,intel core i5 - 4590 equivalent,процессор,intel core i7-6800 equivalent
оперативна€ пам€ть,6 mb,оперативна€ пам€ть,8 gb
видео карта,amd r9 290 or nvidia gtx 970,видео карта,amd fury or nvidia gtx 1070
directx,version 11,directx,version 11
диск,4 gb,диск,Ч
,,,
windows_min_Call of DutyЃ: Advanced Warfare - Backdraft Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Backdraft Personalization Pack
операционна€ система,windows 7 / windows 8 / windows 8.1
процессор,intel coreЩ i3-530 @ 2.93 ghz / amd phenomЩ ii x4 810 @ 2.60 ghz
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звукова€ карта,directx compatible
,
windows_min_Sacred Four,windows_min_Sacred Four
операционна€ система,7/8/10
процессор,intel i5-4590
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290
,
windows_min_Call of DutyЃ: Ghosts - Legend Pack - Makarov,windows_min_Call of DutyЃ: Ghosts - Legend Pack - Makarov,windows_req_Call of DutyЃ: Ghosts - Legend Pack - Makarov,windows_req_Call of DutyЃ: Ghosts - Legend Pack - Makarov
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Light Bearers,windows_min_Light Bearers,windows_req_Light Bearers,windows_req_Light Bearers
операционна€ система,windows 7 (),операционна€ система,windows 10 ()
процессор,intel(r) core(tm) i7-2670qm cpu @ 2.20ghz,процессор,intel(r) core(tm) i7-875k cpu @ 2.93ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 560m,видео карта,nvidia geforce 970
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,7 gb
,,,
windows_min_Castlevania: Lords of Shadow Ц Ultimate Edition Demo,windows_min_Castlevania: Lords of Shadow Ц Ultimate Edition Demo,windows_req_Castlevania: Lords of Shadow Ц Ultimate Edition Demo,windows_req_Castlevania: Lords of Shadow Ц Ultimate Edition Demo
операционна€ система,windows xp Ц service pack 3,операционна€ система,windows 7 or higher
процессор,2.4ghz intel core 2 duo,процессор,quad core cpu
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,direct x9 compatible video card 512mb,видео карта,direct x11 compatible video card with 1024mb
directx,9.0,directx,11
диск,20 gb hd space,диск,20 gb hd space
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_Line of Sight - Premium Pack I,windows_min_Line of Sight - Premium Pack I,windows_req_Line of Sight - Premium Pack I,windows_req_Line of Sight - Premium Pack I
операционна€ система,windows 7,операционна€ система,windows 7 64bit
процессор,dual core 2.0ghz from intel or amd 2.0ghz,процессор,dual core 2.6 from intel or amd 2.6ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
