видео карта,nvidia gtx 1060 / amd rx 480,видео карта,nvidia gtx 1080 / amd rx 6600
диск,3 gb,диск,3 gb
,,,
windows_min_COTTOn 2 - Saturn Tribute,windows_min_COTTOn 2 - Saturn Tribute
операционная система,windows 10
процессор,core i5-8500 3.0ghz
оперативная память,8 gb
видео карта,intel uhd graphics 630
directx,version 11
,
windows_min_Laboratory,windows_min_Laboratory
процессор,intel core 2 duo e5200
оперативная память,2 gb
,
windows_min_Sharp Wands,windows_min_Sharp Wands,windows_req_Sharp Wands,windows_req_Sharp Wands
операционная система,ubuntu 18.04,операционная система,ubuntu 20.04
процессор,i3-560 / a4-3300,процессор,i3-560 / a4-3300
оперативная память,1 gb,оперативная память,1 gb
видео карта,hd graphics,видео карта,hd graphics
directx,version 11,directx,—
,,,
windows_min_DESTROY Simulator,windows_min_DESTROY Simulator,windows_req_DESTROY Simulator,windows_req_DESTROY Simulator
операционная система,"windows 7, 8, 10",операционная система,—
процессор,intel core 3,процессор,intel core 5
оперативная память,8 gb,оперативная память,—
,,,
windows_min_CYBER TENNIS,windows_min_CYBER TENNIS,windows_req_CYBER TENNIS,windows_req_CYBER TENNIS
операционная система,windows10,операционная система,windows10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i5-9500 / amd ryzen 5 3600
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 1660,видео карта,geforce 2070super
directx,version 11,directx,version 11
,,,
windows_min_GunsBox VR,windows_min_GunsBox VR,windows_req_GunsBox VR,windows_req_GunsBox VR
операционная система,windows 10,операционная система,windows 10
процессор,"cpu: intel i5-4590, amd fx 8350",процессор,"cpu: intel i7, amd ryzen 5 2600"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 960, radeon r9 290 4gb",видео карта,"nvidia geforce gtx 1080, radeon rx 570 4gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
звуковая карта,any,звуковая карта,any
,,,
windows_min_warDrive: Prologue,windows_min_warDrive: Prologue,windows_req_warDrive: Prologue,windows_req_warDrive: Prologue
операционная система,"windows 7 (sp1+), windows 10 and windows 11",операционная система,windows 10 or windows 11
процессор,core i5 or similar,процессор,core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960 or amd radeon r9 290x,видео карта,nvidia geforce gtx 1070 or amd rx 580
directx,version 10,directx,—
диск,500 mb,диск,500 mb
,,,
windows_min_Cursed Quest,windows_min_Cursed Quest
операционная система,windows 7 / windows 8 / windows 10
процессор,intel pentium d / amd athlon™ 64 x2
оперативная память,3 gb
видео карта,nvidia geforce 8600 gt / ati™ radeon™ hd 2600xt +
directx,version 9.0
,
windows_min_The Hike,windows_min_The Hike,windows_req_The Hike,windows_req_The Hike
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd ryzen 5 2600,процессор,intel core i5-10600 / amd ryzen 5 3600
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 390,видео карта,nvidia gtx 1660 / amd radeon pro 5600m
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Age of Valakas: Vietnam,windows_min_Age of Valakas: Vietnam,windows_req_Age of Valakas: Vietnam,windows_req_Age of Valakas: Vietnam
операционная система,windows 7,операционная система,"windows 7,8,10"
процессор,intel core i3-3240 @ 3.40 ghz,процессор,intel core i5-7400
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,1 gb,видео карта,2 gb
directx,version 9.0,directx,version 9.0
,,,
windows_min_Normal SHMUP,windows_min_Normal SHMUP
операционная система,windows 7 (sp1+)
процессор,x64 architecture with sse2 instruction set support
оперативная память,1024 mb
видео карта,opengl-capable gpu
,
windows_min_Nyaaaanvy,windows_min_Nyaaaanvy,windows_req_Nyaaaanvy,windows_req_Nyaaaanvy
операционная система,windows10,операционная система,windows10
процессор,intel(r) core(tm) i5-7500 cpu @ 3.40ghz 3.40 ghz,процессор,intel(r) core(tm) i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 960,видео карта,geforce gtx 1060
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_Operation8 Project,windows_min_Operation8 Project
операционная система,windows 7 / 8 / 10 / 11
процессор,cpu pentium 4 2.4 ghz / athlon xp 2500+
оперативная память,2 gb
видео карта,graphics intel hd - gtx 970
directx,version 10
сеть,широкополосное подключение
,
windows_min_HardWorker Simulator,windows_min_HardWorker Simulator
операционная система,microsoft windows xp / vista / 7 or higher
процессор,dual core 2.0 ghz or higher
оперативная память,1024 mb
видео карта,500mb
directx,version 10
,
windows_min_Kilroy Was Here,windows_min_Kilroy Was Here,windows_req_Kilroy Was Here,windows_req_Kilroy Was Here
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7-4790 or amd ryzen 3 3200g,процессор,intel core i7-9750
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx 1080,видео карта,rtx 2060
диск,1 gb,диск,1 gb
,,,
windows_min_Circo:Dark Story,windows_min_Circo:Dark Story,windows_req_Circo:Dark Story,windows_req_Circo:Dark Story
операционная система,windows 7,операционная система,windows 10
,,,
windows_min_3D PUZZLE - Old House,windows_min_3D PUZZLE - Old House,macos_min_3D PUZZLE - Old House,macos_min_3D PUZZLE - Old House,linux_min_3D PUZZLE - Old House,linux_min_3D PUZZLE - Old House
операционная система,windows 7/8/10,операционная система,mac os x 10.12+,операционная система,ubuntu 16.04+
процессор,3ghz duo core,процессор,intel core i5,процессор,intel core 2 duo / amd phenom ii
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 450 or higher with 1gb memory,видео карта,nvidia geforce 450 or higher with 1gb,видео карта,nvidia geforce 450 or higher with 1gb
directx,version 9.0,диск,4 gb,диск,4 gb
,,,,,
windows_min_Monsters Loot Swag,windows_min_Monsters Loot Swag,windows_req_Monsters Loot Swag,windows_req_Monsters Loot Swag
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-6100 / amd fx-8350,процессор,intel core i5-4670k / amd ryzen 5 1500x
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 580 / amd hd 7870,видео карта,gtx 680 / amd hd 7970
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_DEAD GUN,windows_min_DEAD GUN
операционная система,windows 7/8/10
процессор,intel core 2 duo e6320 (2*1866)
оперативная память,1 gb
видео карта,geforce 7600 gs (512 mb)
,
windows_min_When I Die,windows_min_When I Die,windows_req_When I Die,windows_req_When I Die
операционная система,high sierra 10.13+,операционная система,—
процессор,intel core i3,процессор,intel core i5 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 or ati™ radeon™ r7 260x equivalent,видео карта,nvidia geforce gtx 1050 or ati™ radeon™ rx 560 equivalent or higher
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,win7-10,операционная система,win7-10
процессор,1ghz,процессор,1ghz
оперативная память,1 gb,оперативная память,1 gb
видео карта,integrated,видео карта,integrated
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
