windows_min_Riptide GP2,windows_min_Riptide GP2,windows_req_Riptide GP2,windows_req_Riptide GP2
операционная система,windows 7,операционная система,windows 8
процессор,pentium 2.4 ghz or athlon 64 3200+,процессор,intel p4 3.0 ghz or athlon x2 64 3800+
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 6800 / radeon x1800 shader model 3,видео карта,geforce 8800 gt 512mb / radeon hd 3870 512mb
directx,version 10,directx,version 11
диск,250 mb,диск,250 mb
,,,
windows_min_Voidigo,windows_min_Voidigo,windows_req_Voidigo,windows_req_Voidigo
операционная система,windows 7 (32-bit) or above,операционная система,windows 10
процессор,i3-530,процессор,i7-4770
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gt 425m,видео карта,geforce gtx 870m
directx,version 11,directx,version 11
,,,
windows_min_Void Scrappers,windows_min_Void Scrappers
операционная система,mac os x 10.8+
процессор,2.3 ghz
оперативная память,2 gb
видео карта,directx 9 compatible graphics card
,
windows_min_ONINAKI,windows_min_ONINAKI,windows_req_ONINAKI,windows_req_ONINAKI
операционная система,windows 7 sp1 / 8.1 / 10,операционная система,windows 7 sp1 / 8.1 / 10
процессор,amd ryzen™ 3 1200 / intel core™ i3-3210,процессор,amd ryzen™ 3 1200 / intel core™ i5-6400
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon™ r7 260x / nvidia geforce gtx 750,видео карта,amd radeon™ rx460 / nvidia geforce gtx950
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Anarcute,windows_min_Anarcute
операционная система,windows vista or higher
процессор,dual core cpu
оперативная память,2 gb
видео карта,direct x9.0c compatible card
directx,version 9.0c
,
windows_min_Kingdom of Loot,windows_min_Kingdom of Loot,windows_req_Kingdom of Loot,windows_req_Kingdom of Loot
операционная система,"windows 7, 8 or 10",операционная система,"windows 7, 8 or 10"
процессор,1.5 ghz or faster dual-core,процессор,2.0 ghz or faster quad-core
оперативная память,4 gb,оперативная память,4 gb
видео карта,onboard graphicscard,видео карта,accelerated graphics card
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,250 mb,диск,500 mb
,,,
windows_min_Corporate Lifestyle Simulator,windows_min_Corporate Lifestyle Simulator,windows_req_Corporate Lifestyle Simulator,windows_req_Corporate Lifestyle Simulator
операционная система,7,операционная система,7
процессор,2.4ghz,процессор,2.8ghz
оперативная память,1 gb,оперативная память,1 gb
,,,
windows_min_Stranger Things 3: The Game,windows_min_Stranger Things 3: The Game
операционная система,os x 10.5 - leopard
процессор,intel core 2 duo 2ghz+
оперативная память,2 gb
видео карта,256 mb video card
directx,version 9.0c
сеть,широкополосное подключение
диск,2 gb
звуковая карта,mac compatible sound card
,
windows_min_Invisigun Reloaded,windows_min_Invisigun Reloaded,windows_req_Invisigun Reloaded,windows_req_Invisigun Reloaded
операционная система,mac os x 10.8+,операционная система,—
процессор,intel core™ duo+,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"opengl, 512 mb+ vram",видео карта,2.5 gb vram
directx,version 11,directx,—
диск,475 mb,диск,—
сеть,—,сеть,широкополосное подключение
,,,
windows_min_Mini Ghost,windows_min_Mini Ghost
операционная система,windows xp
процессор,intel celeron
оперативная память,128 mb
видео карта,256mb vram (nvidia geforce) there can be problems with intel graphic cards
directx,version 9.0
,
windows_min_Act of War: High Treason,windows_min_Act of War: High Treason
операционная система,windows 2000/xp
процессор,1.5 ghz cpu
оперативная память,256 mb
видео карта,64 mb video with full hardware t&l support
directx,directx 9.0c (included) or higher
,
windows_min_Wooden Battles,windows_min_Wooden Battles
операционная система,windows 7
процессор,quad core 2.6 ghz
оперативная память,4 gb
видео карта,1 gb of video
,
windows_min_Hyperspace Invaders II: Pixel Edition,windows_min_Hyperspace Invaders II: Pixel Edition,windows_req_Hyperspace Invaders II: Pixel Edition,windows_req_Hyperspace Invaders II: Pixel Edition
операционная система,7,операционная система,7
процессор,dual core 2ghz,процессор,quad core 2.4ghz
оперативная память,1000 mb,оперативная память,2000 mb
видео карта,1gb,видео карта,2gb
directx,version 8.0,directx,version 8.0
,,,
windows_min_The Outer Worlds: Spacer's Choice Edition,windows_min_The Outer Worlds: Spacer's Choice Edition,windows_req_The Outer Worlds: Spacer's Choice Edition,windows_req_The Outer Worlds: Spacer's Choice Edition
операционная система,windows 10,операционная система,windows 10
процессор,intel core i7-6700 or amd ryzen 5 1600,процессор,intel core i7-8700 or amd ryzen 5 3600
оперативная память,12 gb,оперативная память,16 gb
видео карта,geforce gtx 1060 6 gb or radeon rx 590,видео карта,geforce gtx 1080 ti or geforce rtx 2070 or radeon rx 6700 xt
,,,
windows_min_Boiling Steel,windows_min_Boiling Steel,windows_req_Boiling Steel,windows_req_Boiling Steel
операционная система,windows 10,операционная система,—
процессор,intel i5-4590,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,nvidia gtx 970 / amd,видео карта,—
directx,version 11,directx,—
диск,20 gb,диск,—
vr support,"htc vive, oculus rift",vr support,"htc vive, oculus rift"
,,,
windows_min_Morbid: The Seven Acolytes,windows_min_Morbid: The Seven Acolytes
операционная система,"windows 7, windows 8 or windows 10 only"
процессор,1.2ghz
оперативная память,2 gb
видео карта,dedicated graphics card with 512 mb memory
directx,version 9.0
,
windows_min_WWE 2K BATTLEGROUNDS,windows_min_WWE 2K BATTLEGROUNDS,windows_req_WWE 2K BATTLEGROUNDS,windows_req_WWE 2K BATTLEGROUNDS
операционная система,windows 7,операционная система,windows 7//8.1/10 (latest service pack)
процессор,intel core i3-540 3.06ghz,процессор,intel core i5- 3.50 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 710,видео карта,"nvidia geforce gtx 670, similar"
directx,version 11,directx,version 11
диск,9 gb,диск,9 gb
,,,
windows_min_The Walking Zombie: Dead City,windows_min_The Walking Zombie: Dead City,windows_req_The Walking Zombie: Dead City,windows_req_The Walking Zombie: Dead City
операционная система,windows 7 or higher,операционная система,windows 7 or higher
процессор,recent dual-core cpu,процессор,recent dual-core cpu
оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 9 compatible,видео карта,directx 9 compatible
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Marvel: Ultimate Alliance 2,windows_min_Marvel: Ultimate Alliance 2
операционная система,windows 7 sp2
процессор,intel / amd hyper-threaded dual core cpu
оперативная память,4 gb
видео карта,nvidia geforce gts 450 / amd radeon hd 5670
directx,version 11
диск,8 gb
,
windows_min_Summoner,windows_min_Summoner,windows_req_Summoner,windows_req_Summoner
операционная система,windows xp / vista / 7 / 8,операционная система,windows xp / vista / 7 / 8
процессор,1.8 ghz,процессор,1.8 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,3d graphics card compatible with directx 9.0c,видео карта,3d graphics card compatible with directx 9.0c
directx,version 9.0,directx,version 9.0
диск,800 mb,диск,1 gb
,,,
windows_min_Samurai Gunn,windows_min_Samurai Gunn
операционная система,windows 7
оперативная память,2 gb
,
windows_min_Cue Club 2: Pool & Snooker,windows_min_Cue Club 2: Pool & Snooker,windows_req_Cue Club 2: Pool & Snooker,windows_req_Cue Club 2: Pool & Snooker
операционная система,windows xp,операционная система,windows 10
процессор,intel / amd 1.7 ghz,процессор,intel / amd dual core 3.4 ghz
оперативная память,512 mb,оперативная память,4 gb
видео карта,integrated or dedicated graphics card,видео карта,nvidia gtx 700
directx,version 9.0c,directx,version 9.0c
диск,200 mb,диск,400 mb
звуковая карта,100% compatible with directx 9,звуковая карта,100% compatible with directx 9
,,,
windows_min_Neon Space,windows_min_Neon Space,windows_req_Neon Space,windows_req_Neon Space,macos_min_Neon Space,macos_min_Neon Space,macos_req_Neon Space,macos_req_Neon Space,linux_min_Neon Space,linux_min_Neon Space,linux_req_Neon Space,linux_req_Neon Space
операционная система,windows 7,операционная система,windows 7 or 8,операционная система,mac os x 10.10.3,операционная система,mac os x 10.10.4,операционная система,ubuntu 12.04.05 lts (precise pangolin),операционная система,ubuntu 14.04.03 (trusty tahr)
процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz,процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz,процессор,intel dual core 2.0 ghz,процессор,intel dual core 2.4 ghz
оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb
видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher
directx,version 9.0c,directx,version 9.0c,диск,200 mb,диск,200 mb,диск,200 mb,диск,200 mb
,,,,,,,,,,,
windows_min_Horror Squad,windows_min_Horror Squad,windows_req_Horror Squad,windows_req_Horror Squad
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 / amd equivalent,процессор,intel i5 / amd equivalent
оперативная память,4 gb,оперативная память,6 gb
видео карта,1 gb video,видео карта,gtx 970 / rx470
,,,
windows_min_Divine Knockout (DKO),windows_min_Divine Knockout (DKO),windows_req_Divine Knockout (DKO),windows_req_Divine Knockout (DKO)
операционная система,windows 7,операционная система,windows 10
процессор,intel(r) core i5-2320,процессор,intel core i7-8700
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 555,видео карта,gtx 960
,,,
windows_min_The Waylanders,windows_min_The Waylanders
операционная система,windows 7 windows 8 (8.1) or windows 10
процессор,intel cpu core i5-7600k 3.8ghz / ryzen 7 1700
оперативная память,8 gb
видео карта,nvidia gtx 1060
,
windows_min_A Walk in the Dark,windows_min_A Walk in the Dark
операционная система,"windows xp, vista, 7, 8"
процессор,1.7 ghz dual core
оперативная память,2 gb
видео карта,256 mb directx 9.0c compatible graphics card (shader model 3)
directx,version 9.0c
диск,200 mb
звуковая карта,directx 9.0c-compliant
,
windows_min_DERE EVIL EXE,windows_min_DERE EVIL EXE
операционная система,"windows xp, vista, 7, 8, 10"
процессор,1.5ghz intel/amd cpu
оперативная память,1 gb
видео карта,512mb graphics card
диск,100 mb
,
windows_min_Cally's Caves 3,windows_min_Cally's Caves 3,windows_req_Cally's Caves 3,windows_req_Cally's Caves 3
операционная система,windows xp,операционная система,windows 8/windows 10
процессор,intel core2duo,процессор,core i7
оперативная память,1 gb,оперативная память,2 gb
видео карта,integrated,видео карта,nvidia gtx 560 (1gb)
directx,version 9.0,directx,version 9.0
диск,250 mb,диск,250 mb
,,,
windows_min_Rollers of the Realm,windows_min_Rollers of the Realm,windows_req_Rollers of the Realm,windows_req_Rollers of the Realm
операционная система,windows vista,операционная система,windows 7
процессор,intel core 2 duo @ 1.8ghz (),процессор,intel core 2 quad @ 2.3ghz ()
оперативная память,2 gb,оперативная память,3 gb
видео карта,nvidia geforce 7600 gt (),видео карта,nvidia geforce gtx 260 ()
directx,version 9.0c,directx,version 10
диск,2 gb,диск,2 gb
,,,
windows_min_Mighty Goose,windows_min_Mighty Goose,macos_min_Mighty Goose,macos_min_Mighty Goose,linux_min_Mighty Goose,linux_min_Mighty Goose
операционная система,windows 7,операционная система,lion 10.7,операционная система,ubuntu 16.04
процессор,2 ghz dual-core,процессор,2 ghz dual-core,процессор,2 ghz dual-core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"a nvidia or amd graphics card with latest drivers, at least 512 mb of dedicated video memory",видео карта,"a nvidia or amd graphics card with latest drivers, at least 512 mb of dedicated video memory and support for opengl 2.0+",видео карта,"a nvidia or amd graphics card with latest drivers, at least 512 mb of dedicated video memory and support for opengl 2.0+"
directx,version 9.0c,диск,500 mb,диск,500 mb
,,,,,
windows_min_Unreal 2: The Awakening,windows_min_Unreal 2: The Awakening
операционная система,microsoft windows® 2000/xp
процессор,intel pentium® iii 1.0 ghz or amd athlon 1.0 ghz or higher
system memory,128 mb of or above
видео карта,32 mb windows®-compatible video card/
звуковая карта,windows-compatible sound card
directx,directx® version 9.0b or higher
,
windows_min_Music Killer,windows_min_Music Killer,windows_req_Music Killer,windows_req_Music Killer
операционная система,windows 7,операционная система,windows 10
процессор,1.6 ghz,процессор,2.0 ghz
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 610m (amd radeon hd 6480g),видео карта,nvidia geforce gtx 970 (amd radeon r9 290)
directx,version 9.0c,directx,version 10
диск,650 mb,диск,1 gb
звуковая карта,any,звуковая карта,any
,,,
windows_min_Transmissions: Element 120,windows_min_Transmissions: Element 120,windows_req_Transmissions: Element 120,windows_req_Transmissions: Element 120
операционная система,ubuntu 12.04,операционная система,—
процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
directx,version 8.1,directx,version 9.0c
диск,4 gb,диск,—
,,,
windows_min_World of Guns: Gun Disassembly,windows_min_World of Guns: Gun Disassembly,windows_req_World of Guns: Gun Disassembly,windows_req_World of Guns: Gun Disassembly,macos_min_World of Guns: Gun Disassembly,macos_min_World of Guns: Gun Disassembly,macos_req_World of Guns: Gun Disassembly,macos_req_World of Guns: Gun Disassembly,linux_min_World of Guns: Gun Disassembly,linux_min_World of Guns: Gun Disassembly,linux_req_World of Guns: Gun Disassembly,linux_req_World of Guns: Gun Disassembly
операционная система,vista and higher,операционная система,vista and higher,операционная система,10.5 and higher,операционная система,10.5 and higher,операционная система,10.10,операционная система,10.10
оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,400 mb,диск,400 mb,диск,400 mb,диск,400 mb
диск,400 mb,диск,400 mb,звуковая карта,any,звуковая карта,any,звуковая карта,any,звуковая карта,any
,,,,,,,,,,,
windows_min_Swords and Soldiers HD,windows_min_Swords and Soldiers HD
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, ."
процессор,intel core duo
оперативная память,512 mb
видео карта,64 mb
,
windows_min_Dead6hot,windows_min_Dead6hot
операционная система,windows 7
процессор,1 ghz
оперативная память,1 gb
видео карта,1gb graphics
диск,100 mb
,
windows_min_OMG Zombies!,windows_min_OMG Zombies!
операционная система,windows xp
процессор,1ghz
оперативная память,1 gb
видео карта,directx 9.0c compatible graphics card with 64mb and support for v3 shaders
directx,version 9.0c
диск,135 mb
,
