windows_min_SOS Survival,windows_min_SOS Survival,windows_req_SOS Survival,windows_req_SOS Survival
windows_min_Viking Vengeance,windows_min_Viking Vengeance,windows_req_Viking Vengeance,windows_req_Viking Vengeance,macos_min_Viking Vengeance,macos_min_Viking Vengeance,macos_req_Viking Vengeance,macos_req_Viking Vengeance,linux_min_Viking Vengeance,linux_min_Viking Vengeance,linux_req_Viking Vengeance,linux_req_Viking Vengeance
операционная система,windows 7,операционная система,windows 10,операционная система,os x 10.9.5,операционная система,—,операционная система,ubuntu 16.04 lts (64bit),операционная система,—
процессор,intel core i5-2400 @ 3.1 ghz or amd fx-6300 @ 3.5 ghz,процессор,intel core i7 @ 2.50 ghz,процессор,"intel core i7, 2.5 ghz",процессор,—,процессор,2.6 ghz dual core,процессор,—
оперативная память,8 gb,оперативная память,16 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce gtx 670 or amd r9 270 (2gb vram with shader model 5.0 ),видео карта,intel core i7-4770 @ 3.4 ghz or amd ryzen 5 1600 @ 3.2 ghz,видео карта,nvidia geforce 750m,видео карта,—,видео карта,nvidia geforce gtx 670 or amd radeon hd 7970,видео карта,—
directx,version 11,directx,version 11,диск,5 gb,диск,—,диск,5 gb,диск,—
,,,,,,,,,,,
windows_min_MythBusters: The Game - Crazy Experiments Simulator,windows_min_MythBusters: The Game - Crazy Experiments Simulator
операционная система,windows 7 / 8 / 10 x64
процессор,"intel core i5-8400, amd ryzen 5 1600"
оперативная память,16 gb
видео карта,radeon rx 580 or nvidia geforce gtx 1060 6gb
диск,8 gb
звуковая карта,directx compatible
,
windows_min_Tamarin,windows_min_Tamarin,windows_req_Tamarin,windows_req_Tamarin
операционная система,windows 7,операционная система,windows 10
процессор,intel i5,процессор,intel i5
оперативная память,8000 mb,оперативная память,8000 mb
видео карта,nvidia geforce gtx 460 / amd radeon 6850hd,видео карта,nvidia gtx 660 / amd radeon 7950hd
directx,version 11,directx,version 11
диск,10000 mb,диск,10000 mb
,,,
windows_min_Cyber Ops,windows_min_Cyber Ops,windows_req_Cyber Ops,windows_req_Cyber Ops
операционная система,catalina 10.15.4,операционная система,catalina 10.15.4
процессор,"2,5 ghz intel core i5",процессор,"2,5 ghz intel core i5"
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 4000,видео карта,intel hd graphics 4000
