windows_min_Disinfection,windows_min_Disinfection,windows_req_Disinfection,windows_req_Disinfection
операционная система,"uhhh, something relatively modern?",операционная система,"uhhh, something relatively modern?"
процессор,"uhhh, something relatively modern?",процессор,"uhhh, something relatively modern?"
видео карта,"uhhh, something relatively modern?",видео карта,"uhhh, something relatively modern?"
,,,
windows_min_The Backrooms: Found Footage,windows_min_The Backrooms: Found Footage
операционная система,windows xp / vista / 7 / 8 / 10 - (64/32) bits
процессор,2 core intel core i3-550 / phenom ii x4 955 1.4 ghz
оперативная память,4 gb
видео карта,nvidia geforce gtx 780 |; amd radeon r9 280x
directx,version 11
диск,2 gb
,
windows_min_Old Future: Post-Apocalyptic Times,windows_min_Old Future: Post-Apocalyptic Times,windows_req_Old Future: Post-Apocalyptic Times,windows_req_Old Future: Post-Apocalyptic Times
операционная система,windows 7,операционная система,windows 10
процессор,i3,процессор,i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,intel 4xxx series w/ 2048 mb vram,видео карта,geforce gtx 1050 ti - 4gb
диск,14 gb,диск,14 gb
,,,
windows_min_REPULSOR,windows_min_REPULSOR,windows_req_REPULSOR,windows_req_REPULSOR
операционная система,windows 7 64bit,операционная система,windows 10 64bit
процессор,i3 530,процессор,i3 2100
оперативная память,2 gb,оперативная память,4 gb
видео карта,gtx 550 ti,видео карта,gtx 750 ti
directx,version 11,directx,version 11
диск,132 mb,диск,132 mb
,,,
windows_min_Ai-(Onic),windows_min_Ai-(Onic),windows_req_Ai-(Onic),windows_req_Ai-(Onic)
операционная система,windows 10,операционная система,windows 11
процессор,intel i5-6400,процессор,intel i7-7700k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1080ti
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Glorious Day to Die,windows_min_Glorious Day to Die,windows_req_Glorious Day to Die,windows_req_Glorious Day to Die
операционная система,windows 10 version 1909 or higher,операционная система,windows 10 version 1909 or higher
процессор,core i7 4770k @ 3.5ghz or amd ryzen 5 2600,процессор,core i7 6700 @ 3.4ghz or amd ryzen 5 2600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060 or amd rx 5500 xt (vram 6 gb or higher),видео карта,nvidia gtx 1080 or amd rx 5600 xt (vram 6 gb or higher)
directx,version 12,directx,version 12
,,,
windows_min_PongBreak,windows_min_PongBreak
операционная система,"windows 7 (sp1+), windows 10 and windows 11"
процессор,"x86, x64 architecture with sse2 instruction set support"
оперативная память,2 gb
видео карта,"dx10, dx11, dx12 capable."
,
windows_min_Zion Survivors,windows_min_Zion Survivors,windows_req_Zion Survivors,windows_req_Zion Survivors
операционная система,win7,операционная система,win10
процессор,intel i3+,процессор,intel i3+
оперативная память,512 gb,оперативная память,1 gb
видео карта,integrated gpu,видео карта,integrated gpu
directx,version 8.0,directx,version 8.0
,,,
windows_min_Sway,windows_min_Sway
операционная система,windows 10 or 11
оперативная память,2 gb
,
windows_min_Disharmonia,windows_min_Disharmonia,windows_req_Disharmonia,windows_req_Disharmonia
