windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
оперативная память,512 mb,оперативная память,2 gb
видео карта,256mb,видео карта,512mb
directx,version 11,directx,version 11
диск,256 mb,диск,256 mb
,,,
windows_min_Minoria,windows_min_Minoria,windows_req_Minoria,windows_req_Minoria
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 660,видео карта,geforce gtx 770
directx,version 10,directx,version 11
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,mac os 8,операционная система,mac os 10
процессор,,процессор,cpu i5
оперативная память,512 mb,оперативная память,1 gb
видео карта,,видео карта,
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,4 gb
,,,
windows_min_STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,windows_min_STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,windows_req_STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,windows_req_STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster
операционная система,windows 7 -,операционная система,"windows 7, 8.1, 10 (all 64bit)"
процессор,intel core i3 2100 / amd a8-6500,процессор,intel core i5 4670 / amd a10-7850k
оперативная память,2 gb,оперативная память,6 gb
видео карта,nvidia geforce gt630 vram 512mb / amd radeon r7 250 vram 512mb,видео карта,nvidia geforce gtx960 vram 2gb / amd radeon r9 380 vram 2gb and over
directx,version 11,directx,version 11
,,,
windows_min_Metal Unit,windows_min_Metal Unit,windows_req_Metal Unit,windows_req_Metal Unit
операционная система,windows 7+,операционная система,windows 7+
процессор,intel i5+,процессор,intel i5+
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800
directx,version 10,directx,version 11
,,,
windows_min_Daylight,windows_min_Daylight,windows_req_Daylight,windows_req_Daylight
операционная система,windows 7 sp1 (must have kb 2670838 installed) / windows 8 / windows 8.1,операционная система,windows 7 sp1
процессор,2.3+ ghz,процессор,3.40 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,dx11 with feature level 11,видео карта,dx11 with feature level 11
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_The Chosen RPG,windows_min_The Chosen RPG
операционная система,"windows 98, xp, vista, 7, 8, 10"
процессор,intel pentium iii 800 mhz
оперативная память,512 mb
,
windows_min_Toukiden 2,windows_min_Toukiden 2,windows_req_Toukiden 2,windows_req_Toukiden 2
операционная система,"windows 7, windows 8.1, windows 10 (64bit required)",операционная система,"windows 7, windows 8.1, windows 10 (64bit required)"
процессор,core i7 870 over,процессор,core i7 2600 over
оперативная память,3 gb,оперативная память,5 gb
видео карта,nvidia geforce gts 450,видео карта,nvidia geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,17 gb,диск,17 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Conqueror's Blade,windows_min_Conqueror's Blade,windows_req_Conqueror's Blade,windows_req_Conqueror's Blade
операционная система,windows 7/10 - 64bit only,операционная система,windows 7/10 - 64bit only
процессор,intel core i5 4-core and above,процессор,intel i7 4-core 3.0ghz
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 / amd radeon r9 270 +,видео карта,nvidia geforce gtx 1060 or amd radeon rx 480
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Andarilho,windows_min_Andarilho
операционная система,windows 7 sp1+
процессор,2ghz+
оперативная память,4 gb
directx,version 11
,
windows_min_Nosferatu: The Wrath of Malachi,windows_min_Nosferatu: The Wrath of Malachi
операционная система,windows 98/2000/xp/7/8
процессор,pentium iii 733 mhz
,
