windows_min_The Culling Of The Cows,windows_min_The Culling Of The Cows,windows_req_The Culling Of The Cows,windows_req_The Culling Of The Cows
операционная система,"windows 10, 8.1, 8, 7, vista, xp",операционная система,"windows 10, 8.1, 8, 7, vista, xp"
процессор,core 2 duo,процессор,quad core
оперативная память,1 gb,оперативная память,2 gb
видео карта,directx 9.0 compatible,видео карта,directx 9.0 compatible
диск,100 mb,диск,100 mb
,,,
windows_min_Psychocat: The Answer,windows_min_Psychocat: The Answer
операционная система,windows xp / vista / 7
процессор,intel pentium 4 2.0 ghz equivalent or faster
оперативная память,2 gb
видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600"
,
windows_min_Landless,windows_min_Landless
операционная система,windows 10 with latest service pack
процессор,"intel core i5-3330, amd fx-6300,"
оперативная память,6 gb
видео карта,nvidia geforce gtx 750 ti or amd radeon r7 260x
directx,version 11
,
windows_min_Million Arthur: Arcana Blood,windows_min_Million Arthur: Arcana Blood
операционная система,windows 7 sp1 / 8.1 / 10
процессор,amd ryzen™ 3 1200 / intel core™ i5-3330
оперативная память,4 gb
видео карта,amd radeon™ r7 260x / nvidia geforce gt 1030
directx,version 9.0c
диск,16 gb
,
windows_min_Resilience Wave Survival,windows_min_Resilience Wave Survival,windows_req_Resilience Wave Survival,windows_req_Resilience Wave Survival
операционная система,windows 7 sp1+,операционная система,windows 10 64bit
процессор,cpu: sse2 instruction set support.,процессор,cpu: sse2 instruction set support.
оперативная память,4 gb,оперативная память,16 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities.,видео карта,graphics card with dx10 (shader model 4.0) capabilities.
directx,version 11,directx,version 11
,,,
windows_min_Bug Academy,windows_min_Bug Academy,windows_req_Bug Academy,windows_req_Bug Academy
операционная система,windows xp sp3 / vista / 7 / 8 / 10,операционная система,windows xp sp3 / vista / 7 / 8 / 10
процессор,core i3 3.1 ghz or amd phenom ii x3 2.8 ghz,процессор,core i3 3.1 ghz lub amd phenom ii x3 2.8 ghz
оперативная память,4 gb,оперативная память,4 gb
,,,
windows_min_Titanic VR,windows_min_Titanic VR,windows_req_Titanic VR,windows_req_Titanic VR
операционная система,windows 10,операционная система,windows 10
процессор,i5,процессор,i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970 or above,видео карта,gtx 1080ti
directx,version 12,directx,version 12
,,,
windows_min_Burstfire,windows_min_Burstfire,windows_req_Burstfire,windows_req_Burstfire
операционная система,windows 7,операционная система,"windows 7, windows 8.1"
процессор,i5 2.7ghz,процессор,i7 2.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 240,видео карта,nvidia geforce 780
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_iZBOT,windows_min_iZBOT
операционная система,windows vista
процессор,intel core™ duo or faster
оперативная память,2 gb
диск,100 mb
,
windows_min_The Last Hope: Trump vs Mafia - North Korea,windows_min_The Last Hope: Trump vs Mafia - North Korea,windows_req_The Last Hope: Trump vs Mafia - North Korea,windows_req_The Last Hope: Trump vs Mafia - North Korea
операционная система,windows 7 x64,операционная система,windows 10 x64
