процессор,core 2 duo
оперативная память,4 gb
видео карта,"dx10, dx11, and dx12-capable gpus"
диск,300 mb
,
windows_min_The Last Hair,windows_min_The Last Hair
операционная система,windows 10
процессор,"intel i5-2550k, 3.4 ghz"
оперативная память,16 gb
видео карта,geforce gtx 1060
,
windows_min_ShipSwing,windows_min_ShipSwing,windows_req_ShipSwing,windows_req_ShipSwing
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3(4),процессор,intel core i7(8)
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce rtx 2060
,,,
windows_min_Escape Dream,windows_min_Escape Dream,windows_req_Escape Dream,windows_req_Escape Dream
операционная система,"win 7, 8, 10, 64bit",операционная система,"win 7, 8, 10, 64bit"
процессор,3 ghz dual core cpu,процессор,3 ghz quad core cpu
оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce gtx 760ti, amd hd 7800 series",видео карта,"geforce gtx 960, amd hd 7870 series"
directx,version 11,directx,version 11
,,,
windows_min_Crypt Architect,windows_min_Crypt Architect,windows_req_Crypt Architect,windows_req_Crypt Architect
операционная система,"steamos, ubuntu 12.04+ or comparable",операционная система,"steamos, ubuntu 12.04+ or comparable"
процессор,1.5ghz,процессор,dual core 2.3 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,512 mb vram,видео карта,1024 mb vram
,,,
windows_min_Cursed,windows_min_Cursed,windows_req_Cursed,windows_req_Cursed
операционная система,windows 7,операционная система,windows 10
процессор,dual core,процессор,i7 6700k
оперативная память,2 gb,оперативная память,8 gb
видео карта,integrated graphics,видео карта,gtx 960
диск,2 gb,диск,2 gb
,,,
windows_min_The Militant Mouse,windows_min_The Militant Mouse
операционная система,windows 7/8/8.1/10 (32bit/64bit)
процессор,intel core2 duo 2.0ghz
оперативная память,4 gb
видео карта,directx 9 / opengl 4.1 capable gpu
,
windows_min_Seeking Asylum: The Game (DEMO),windows_min_Seeking Asylum: The Game (DEMO),windows_req_Seeking Asylum: The Game (DEMO),windows_req_Seeking Asylum: The Game (DEMO)
операционная система,windows 7/8/10/11,операционная система,windows 7/8/10/11
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,17 mb,оперативная память,8 mb
видео карта,directx 11 or 12 compatible graphics card,видео карта,directx 11 or 12 compatible graphics card
,,,
windows_min_COTTOn Rock'n'Roll -SUPERLATIVE NIGHT DREAMS-,windows_min_COTTOn Rock'n'Roll -SUPERLATIVE NIGHT DREAMS-,windows_req_COTTOn Rock'n'Roll -SUPERLATIVE NIGHT DREAMS-,windows_req_COTTOn Rock'n'Roll -SUPERLATIVE NIGHT DREAMS-
операционная система,windows 8.1/10,операционная система,windows 8.1/10
процессор,intel core-i3 4160 or faster,процессор,intel core i3-6300 or faster
оперативная память,8 gb,оперативная память,8 gb
