windows_min_Buccaneers!,windows_min_Buccaneers!,windows_req_Buccaneers!,windows_req_Buccaneers!
windows_min_Toukiden 2 - Armor: Hayatori Outfit / Horo Outfit,windows_min_Toukiden 2 - Armor: Hayatori Outfit / Horo Outfit,windows_req_Toukiden 2 - Armor: Hayatori Outfit / Horo Outfit,windows_req_Toukiden 2 - Armor: Hayatori Outfit / Horo Outfit
операционная система,"windows 7, windows 8.1, windows 10 (64bit required)",операционная система,"windows 7, windows 8.1, windows 10 (64bit required)"
процессор,core i7 870 over,процессор,core i7 2600 over
оперативная память,3 gb,оперативная память,5 gb
видео карта,nvidia geforce gts 450,видео карта,nvidia geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,17 gb,диск,17 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Cube Creator X,windows_min_Cube Creator X
операционная система,windows 7 / 8 / 8.1 / 10 (64bit)
процессор,intel core™ i5 3xxx (desktop)
оперативная память,8 gb
видео карта,nvidia geforcegtx660 / radeonhd7850
directx,version 11
сеть,широкополосное подключение
,
windows_min_Super Steampunk Pinball 2D,windows_min_Super Steampunk Pinball 2D,windows_req_Super Steampunk Pinball 2D,windows_req_Super Steampunk Pinball 2D,macos_min_Super Steampunk Pinball 2D,macos_min_Super Steampunk Pinball 2D,macos_req_Super Steampunk Pinball 2D,macos_req_Super Steampunk Pinball 2D,linux_min_Super Steampunk Pinball 2D,linux_min_Super Steampunk Pinball 2D,linux_req_Super Steampunk Pinball 2D,linux_req_Super Steampunk Pinball 2D
операционная система,windows xp sp2+,операционная система,windows 8.1,операционная система,mac os x 10.9+,операционная система,—,операционная система,ubuntu 12.04+,операционная система,—
процессор,sse2 instruction set support,процессор,intel core i5 3320m @ 2.60 ghz,процессор,cpu: sse2 instruction set support.,процессор,—,процессор,cpu: sse2 instruction set support.,процессор,—
оперативная память,120 mb,оперативная память,120 mb,оперативная память,120 mb,оперативная память,—,оперативная память,120 mb,оперативная память,—
