windows_min_Amaya's Lost Soul,windows_min_Amaya's Lost Soul,windows_req_Amaya's Lost Soul,windows_req_Amaya's Lost Soul
операционная система,windows 8/8.1/10 (64bit),операционная система,windows 8/8.1/10 (64bit)
процессор,intel core2 duo and 2.0ghz,процессор,intel core2 duo and 3.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu / nvidia geforce gtx750
directx,version 9.0,directx,—
,,,
windows_min_Go To Heck,windows_min_Go To Heck,windows_req_Go To Heck,windows_req_Go To Heck
операционная система,windows 7,операционная система,windows 10
процессор,intel i5 3317u,процессор,anything from the last 5 years
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel integrated graphics,видео карта,radeon r9 570
directx,version 11,directx,version 11
диск,150 mb,диск,150 mb
,,,
windows_min_Race Day Rampage,windows_min_Race Day Rampage
операционная система,windows 7 (sp1+) and windows 10 versions only.
процессор,x64 architecture with sse2 instruction set support.
оперативная память,8 gb
видео карта,"dx10, dx11, and dx12-capable gpus."
directx,version 10
,
windows_min_Catlike Magic,windows_min_Catlike Magic
операционная система,windows 10 or more
оперативная память,4 gb
видео карта,graphics card compatible with gles 3
диск,500 mb
,
windows_min_Saga of Sins,windows_min_Saga of Sins,windows_req_Saga of Sins,windows_req_Saga of Sins,macos_min_Saga of Sins,macos_min_Saga of Sins,macos_req_Saga of Sins,macos_req_Saga of Sins,linux_min_Saga of Sins,linux_min_Saga of Sins,linux_req_Saga of Sins,linux_req_Saga of Sins
операционная система,windows 10,операционная система,windows 10,операционная система,mac os 10.15.6,операционная система,mac os 10.15.7,операционная система,ubuntu 20.04 -64bit,операционная система,ubuntu 20.04 -64bit
процессор,i5-7500,процессор,i7-4790,процессор,2.6ghz quad-core intel core i7,процессор,2.3ghz 8-core intel core i9,процессор,intel i5-7500,процессор,i7-4790
оперативная память,4 gb,оперативная память,8 gb,оперативная память,10 gb,оперативная память,16 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 1650,видео карта,rtx 2080,видео карта,amd radeon460 4gb,видео карта,amd radeon pro 5500m 8gb,видео карта,gtx1650,видео карта,rtx 2080
directx,version 11,directx,version 11,диск,10 gb,диск,10 mb,диск,10 gb,диск,10 gb
,,,,,,,,,,,
windows_min_Pens: Ballad of the Erasers,windows_min_Pens: Ballad of the Erasers
операционная система,"windows xp, vista, 7, 8, or 10"
оперативная память,2 gb
видео карта,512 mb
directx,version 8.0
,
windows_min_Asterix & Obelix XXXL : The Ram From Hibernia,windows_min_Asterix & Obelix XXXL : The Ram From Hibernia,windows_req_Asterix & Obelix XXXL : The Ram From Hibernia,windows_req_Asterix & Obelix XXXL : The Ram From Hibernia
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 2310 @3ghz,процессор,intel core i7 5th gen
оперативная память,8 gb,оперативная память,16 gb
видео карта,2 gb (geforce gtx 660/ radeon r7 370),видео карта,geforce rtx 1060
directx,version 10,directx,version 10
,,,
windows_min_TEND,windows_min_TEND,windows_req_TEND,windows_req_TEND
операционная система,windows7/8/10,операционная система,windows7/8/10
процессор,i3,процессор,i3
оперативная память,100 mb,оперативная память,100 mb
видео карта,nvidia gt1030,видео карта,nvidia gt1030
диск,200 mb,диск,200 mb
,,,
windows_min_Spacetime Dimension,windows_min_Spacetime Dimension,windows_req_Spacetime Dimension,windows_req_Spacetime Dimension
операционная система,windows 7 (64bit),операционная система,windows 10-11 (64bit)
процессор,amd64 family 23 model 96 stepping 1 authenticamd ~1800 mhz,процессор,amd64 family 23 model 96 stepping 1 authenticamd ~1800 mhz
оперативная память,750 mb,оперативная память,2000 mb
видео карта,1 gb video memory,видео карта,2 gb video memory
directx,version 11,directx,version 12
,,,
windows_min_ball-e,windows_min_ball-e,windows_req_ball-e,windows_req_ball-e
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,1.5 ghz dual-core,процессор,2 ghz quad-core
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce 500 series,видео карта,geforce 600 series
directx,version 11,directx,version 11
,,,
windows_min_Pest Control,windows_min_Pest Control
,
windows_min_Warlocks Quarry,windows_min_Warlocks Quarry
операционная система,windows 10
процессор,3.0ghz or faster multi core.
оперативная память,4 mb
видео карта,"at least 4 gig, opengl 3.3, geforce 8800, radeon hd 4200. intel cards are not recomended but if you do use them then please reduce your draw distance to 15 chunks."
диск,2 mb
,
windows_min_Soldier,windows_min_Soldier,windows_req_Soldier,windows_req_Soldier
операционная система,windows 10,операционная система,windows 10
процессор,i5 serie 6000,процессор,i7 8700k
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 1050 ti,видео карта,rtx 2070 super
directx,version 11,directx,version 12
,,,
windows_min_Autocrusher: Bumper Cars,windows_min_Autocrusher: Bumper Cars
операционная система,windows 7
процессор,intel core i3
оперативная память,2 gb
видео карта,"512 mb memory, ati hd5650"
сеть,широкополосное подключение
,
windows_min_The Anointed: David Saves Keilah,windows_min_The Anointed: David Saves Keilah,windows_req_The Anointed: David Saves Keilah,windows_req_The Anointed: David Saves Keilah
операционная система,windows 10,операционная система,windows 10
процессор,intel i5 or amd ryzen 5,процессор,intel i7
оперативная память,16 gb,оперативная память,32 gb
видео карта,nvidia geforce gtx 1070,видео карта,nvidia geforce gtx 2060 rtx
directx,version 10,directx,version 11
,,,
windows_min_Don't Touch Lava,windows_min_Don't Touch Lava,windows_req_Don't Touch Lava,windows_req_Don't Touch Lava,macos_min_Don't Touch Lava,macos_min_Don't Touch Lava,macos_req_Don't Touch Lava,macos_req_Don't Touch Lava,linux_min_Don't Touch Lava,linux_min_Don't Touch Lava,linux_req_Don't Touch Lava,linux_req_Don't Touch Lava
операционная система,windows 10,операционная система,windows 10,операционная система,macos 12.0,операционная система,—,операционная система,ubuntu 22.04,операционная система,—
процессор,intel core i3-2310m,процессор,intel core i5-3210m,процессор,intel core i5,процессор,—,процессор,quad-core 1.8ghz,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,3 gb,оперативная память,—
видео карта,intel hd graphics 3000*,видео карта,intel hd graphics 4000,видео карта,intel hd graphics 4000,видео карта,—,видео карта,amd radeon 5000,видео карта,—
directx,version 12,directx,version 12,диск,225 mb,диск,—,диск,205 mb,диск,—
диск,204 mb,диск,203 mb,,,,,звуковая карта,hda-intel ati sb,звуковая карта,—
звуковая карта,intel display audio,звуковая карта,realtek audio,,,,,дополнительно,please choose hardware that has drivers supported by linux,дополнительно,—
,,,,,,,,,,,
windows_min_Save and Conquer : 8 Years,windows_min_Save and Conquer : 8 Years,windows_req_Save and Conquer : 8 Years,windows_req_Save and Conquer : 8 Years
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,i3,процессор,i3
оперативная память,100 mb,оперативная память,100 mb
видео карта,nvidia gt1030,видео карта,nvidia gt1030
диск,200 mb,диск,200 mb
,,,
windows_min_Hook & Go,windows_min_Hook & Go,windows_req_Hook & Go,windows_req_Hook & Go,macos_min_Hook & Go,macos_min_Hook & Go,macos_req_Hook & Go,macos_req_Hook & Go,linux_min_Hook & Go,linux_min_Hook & Go,linux_req_Hook & Go,linux_req_Hook & Go
операционная система,windows 10 and up,операционная система,windows 10 and up,операционная система,macos 10.15 and up,операционная система,macos 10.15 and up,операционная система,ubuntu 12.04 lts and up,операционная система,ubuntu 12.04 lts and up
процессор,1ghz and up,процессор,1ghz and up,процессор,1ghz and up,процессор,1ghz and up,процессор,1ghz and up,процессор,1ghz and up
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,dedicated video card recommanded,видео карта,dedicated video card recommanded,видео карта,dedicated video card recommanded,видео карта,dedicated video card recommanded,видео карта,dedicated video card recommanded,видео карта,dedicated video card recommanded
,,,,,,,,,,,
windows_min_Vilomah,windows_min_Vilomah
операционная система,windows 7+
процессор,intel i3 +
видео карта,nvidia geforce gtx 700 series+
directx,version 11
диск,200 mb
,
windows_min_Vengeful Guardian: Moonrider,windows_min_Vengeful Guardian: Moonrider
операционная система,windows 7
процессор,intel core i5-650 or amd phenom ii x4 965
оперативная память,4 gb
,
windows_min_Warna,windows_min_Warna,windows_req_Warna,windows_req_Warna
операционная система,windows 10,операционная система,windows 10
процессор,"core i3-3225 3,3 ghz",процессор,"intel core i7-8700, amd ryzen 7 3700x"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia gtx 960, amd r9 280",видео карта,"nvidia gtx 1080, amd radeon rx 5700 xt"
directx,version 9.0,directx,version 10
,,,
windows_min_Built Different,windows_min_Built Different,windows_req_Built Different,windows_req_Built Different
операционная система,windows 7 sp1 with platform update for windows 7,операционная система,windows 10 version 14393.102 or higher
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,4 gb,оперативная память,16 gb
видео карта,geforce gtx 670 |; radeon hd 7950,видео карта,geforce gtx 970 or geforce gtx 1060 |; radeon r9 290x or radeon rx 480
directx,version 11,directx,—
,,,
windows_min_Farm Wars: The Farmers Wrath,windows_min_Farm Wars: The Farmers Wrath,windows_req_Farm Wars: The Farmers Wrath,windows_req_Farm Wars: The Farmers Wrath
операционная система,requer um processador e sistema operacional de s,операционная система,requer um processador e sistema operacional de s
процессор,intel(r) celeron(r) n3060,процессор,intel(r) celeron(r) n3060
оперативная память,2 gb,оперативная память,6 gb
,,,
windows_min_Armoured Cavalry: Operation Varkiri,windows_min_Armoured Cavalry: Operation Varkiri
операционная система,windows 7windows10
процессор,"intel core i3 or amd athlon ii x4 with at least 2,7 ghz"
оперативная память,4 gb
видео карта,"geforce gt 750ti, radeon hd 7850 - at least 1gb gpu memory"
directx,version 10
,
windows_min_MEGA,windows_min_MEGA,windows_req_MEGA,windows_req_MEGA
операционная система,windows 10,операционная система,windows 10
процессор,amd ryzen 3 1200,процессор,amd ryzen 5 2600 six-core 3.40 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1060,видео карта,nvidia geforce gtx 1650
диск,2 mb,диск,2 gb
,,,
windows_min_The Backrooms Footage,windows_min_The Backrooms Footage,windows_req_The Backrooms Footage,windows_req_The Backrooms Footage
операционная система,операционная система,операционная система,операционная система
процессор,intel core i3 3 ghz or amd equivalent,процессор,intel core i5-7400 3ghz or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 650,видео карта,nvidia geforce gtx 650
,,,
windows_min_Folktale,windows_min_Folktale,windows_req_Folktale,windows_req_Folktale
операционная система,mac os x,операционная система,mac os x
процессор,intel core 2 duo,процессор,intel quad core
