видео карта,radeon rx550,видео карта,radeon rx560
диск,2 gb,диск,2 gb
,,,
windows_min_B-1LL1,windows_min_B-1LL1,windows_req_B-1LL1,windows_req_B-1LL1
операционная система,windows 7,операционная система,windows 10
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"intel i5-2550k, 3.4 ghz",видео карта,geforce gtx 970 or geforce gtx 1060 |; radeon r9 290x or radeon rx 480
,,,
windows_min_Hell Mission,windows_min_Hell Mission,windows_req_Hell Mission,windows_req_Hell Mission
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-3340 / amd fx-6300 six-core,процессор,intel core i7-6700hq / amd ryzen 5 2500u
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gt 740,видео карта,geforce gtx 1060 / radeon rx 590
directx,version 11,directx,version 11
,,,
windows_min_Gangsta: The Return,windows_min_Gangsta: The Return,windows_req_Gangsta: The Return,windows_req_Gangsta: The Return
операционная система,windows 8,операционная система,windows 8.1
процессор,i5,процессор,i7
оперативная память,6 gb,оперативная память,12 gb
видео карта,nividia 2000,видео карта,nividia 3000
directx,version 9.0,directx,version 9.0
диск,12 gb,диск,12 gb
,,,
windows_min_Fighting Heart,windows_min_Fighting Heart
операционная система,windows 7
процессор,"quad-core intel or amd, 2.5 ghz or faster."
оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 11
,
windows_min_Classified Stories: Color Out of Space,windows_min_Classified Stories: Color Out of Space,windows_req_Classified Stories: Color Out of Space,windows_req_Classified Stories: Color Out of Space
операционная система,microsoft windows 7/8/10 (),операционная система,microsoft windows 7/8/10 ()
процессор,"2,5 ghz intel core i3 or amd athlon",процессор,"intel core i5-3470, 3.20ghz or amd fx-6300, 3.5ghz"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb",видео карта,"nvidia geforce gtx 660, 2 gb or amd radeon hd 7870, 2 gb"
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
,,,
windows_min_Final Space - The Rescue,windows_min_Final Space - The Rescue,windows_req_Final Space - The Rescue,windows_req_Final Space - The Rescue
операционная система,windows 7 sp1,операционная система,windows 7 sp1
процессор,intel i5-4590 or amd fx 8350 .,процессор,intel i5-4590 or amd fx 8350 .
оперативная память,8 mb,оперативная память,8 mb
видео карта,"nvidia geforce gtx970, or amd radeon r9 290 .",видео карта,"nvidia geforce gtx980, or amd radeon r9 290 ."
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Ghost,windows_min_Ghost,windows_req_Ghost,windows_req_Ghost
