видео карта,nvidia or ati gpu recommended,видео карта,nvidia or ati gpu recommended
directx,version 9.0c,directx,version 9.0c
диск,600 mb,диск,600 mb
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Klonoa Phantasy Reverie Series,windows_min_Klonoa Phantasy Reverie Series,windows_req_Klonoa Phantasy Reverie Series,windows_req_Klonoa Phantasy Reverie Series
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-2100 |; amd phenom ii x4 965,процессор,intel core i5-2300  amd fx-8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 650 ti, 2gb  amd radeon hd 7790, 2gb",видео карта,"nvidia geforce gtx 660, 2gb  amd radeon hd 7850, 2 gb"
,,,
windows_min_UNSIGHTED,windows_min_UNSIGHTED
операционная система,windows 7
процессор,intel core 2 duo e6750 |; amd radeon hd 4870
оперативная память,4 gb
видео карта,"nvidia geforce 8800 gt, 512 mb |; amd radeon 4870, 512 mb"
directx,version 10
,
windows_min_LEFT ALIVE™,windows_min_LEFT ALIVE™,windows_req_LEFT ALIVE™,windows_req_LEFT ALIVE™
операционная система,windows 7 sp1 / 8.1 / 10 64bit,операционная система,windows 7 sp1 / 8.1 / 10 64bit
процессор,intel core™ i5-2400s amd a8-7650k,процессор,intel core™ i5-6500 amd ryzen™ 5 1400
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 760, nvidia geforce gtx 1050, amd radeon™ r9 280",видео карта,nvidia geforce gtx 1070 radeon™ rx vega 56
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
звуковая карта,directsound compatible device,звуковая карта,directsound compatible device
,,,
windows_min_Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,windows_min_Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,windows_req_Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,windows_req_Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles
операционная система,windows 8.1,операционная система,windows 10
процессор,intel core i5-2400 |; amd phenom ll x6 1100t,процессор,intel core i5-3470 |; amd fx-8350
оперативная память,6 gb,оперативная память,6 gb
видео карта,"nvidia geforce gtx 660, 2gb | amd radeon hd 7950, 3gb",видео карта,"nvidia geforce gtx 760, 2gb | amd radeon r9 280, 4gb"
диск,25 gb,диск,25 gb
,,,
windows_min_Frozen State,windows_min_Frozen State,windows_req_Frozen State,windows_req_Frozen State,macos_min_Frozen State,macos_min_Frozen State,macos_req_Frozen State,macos_req_Frozen State,linux_min_Frozen State,linux_min_Frozen State,linux_req_Frozen State,linux_req_Frozen State
операционная система,windows vista,операционная система,windows 7 or higher,операционная система,mac os x 10.8,операционная система,mac os x 10.8,операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,2.4 ghz dual core cpu,процессор,3.0 ghz quad core cpu or faster,процессор,2.4 ghz core i5,процессор,3.0 ghz core i7,процессор,2.4 ghz core i5,процессор,3.0 ghz core i7
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
