диск,30 gb,диск,30 gb
,,,
windows_min_Sniper Ghost Warrior 3,windows_min_Sniper Ghost Warrior 3,windows_req_Sniper Ghost Warrior 3,windows_req_Sniper Ghost Warrior 3
операционная система,windows 7/8.1/10,операционная система,windows 10
процессор,i3 3240 3.4 ghz or amd fx-6350 3.9 ghz,процессор,amd fx 8350 wraith or intel core i7 4790
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 2gb or amd radeon hd 7850 2gb,видео карта,amd radeon™ rx 480 4gb or nvidia geforce(r) gtx 1060 3gb
directx,version 11,directx,version 11
диск,50 gb,диск,50 gb
,,,
windows_min_Dust: An Elysian Tail,windows_min_Dust: An Elysian Tail,windows_req_Dust: An Elysian Tail,windows_req_Dust: An Elysian Tail,macos_min_Dust: An Elysian Tail,macos_min_Dust: An Elysian Tail,macos_req_Dust: An Elysian Tail,macos_req_Dust: An Elysian Tail,linux_min_Dust: An Elysian Tail,linux_min_Dust: An Elysian Tail,linux_req_Dust: An Elysian Tail,linux_req_Dust: An Elysian Tail
операционная система,windows vista,операционная система,windows 7,операционная система,"snow leopard 10.6.8, 32/",операционная система,mountain lion 10.8.5,операционная система,"glibc 2.15+, 32/ (s3tc not required)",операционная система,"glibc 2.15+, s3tc texture support"
процессор,intel core 2 duo 2.8ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+,процессор,intel core 2 duo 2.8ghz,процессор,quad core cpu,процессор,intel core 2 duo 2.8ghz,процессор,quad core cpu
оперативная память,1 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,directx 10 compatible video card with shader model 3.0 support,видео карта,nvidia 9600gt or ati radeon™ hd 5000+,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support,видео карта,opengl 3.0+ support (2.1 with arb extensions acceptable),видео карта,opengl 3.2+ support
directx,"10, windows media player",directx,"10, windows media player",диск,1.5 gb hd space,диск,1.5 gb hd space,диск,1.5 gb hd space,диск,1.5 gb hd space
диск,1.5 gb hd space,диск,1.5 gb hd space,устройства ввода,keyboard,устройства ввода,mouse and keyboard or gamepad,устройства ввода,keyboard,устройства ввода,mouse and keyboard or gamepad
звуковая карта,100% directx 9.0c compatible sound card and drivers,звуковая карта,100% directx 9.0c compatible sound card and drivers,,,,,,,,
,,,,,,,,,,,
windows_min_Paint the Town Red,windows_min_Paint the Town Red,windows_req_Paint the Town Red,windows_req_Paint the Town Red,macos_min_Paint the Town Red,macos_min_Paint the Town Red,macos_req_Paint the Town Red,macos_req_Paint the Town Red,linux_min_Paint the Town Red,linux_min_Paint the Town Red,linux_req_Paint the Town Red,linux_req_Paint the Town Red
операционная система,windows 7 sp1,операционная система,"windows 10 ,",операционная система,osx high sierra 10.13 or higher,операционная система,—,операционная система,ubuntu 20.04+/equivalent or steamos,операционная система,—
процессор,intel dual-core 2 ghz (or amd equivalent),процессор,intel quad core i5 @ 2.5 ghz (or amd equivalent),процессор,intel dual-core 2 ghz,процессор,—,процессор,2 ghz cpu,процессор,—
оперативная память,2 gb,оперативная память,3 gb,видео карта,metal capable intel and amd gpus,видео карта,—,видео карта,"opengl 3.2+, vulkan capable.",видео карта,—
видео карта,"directx 10.1, shader model 4 gpu with 1024mb vram",видео карта,"directx 11, shader model 5 gpu with 2048mb vram",диск,2 gb,диск,—,диск,2 gb,диск,—
directx,version 9.0c,directx,version 11,дополнительно,if you are on or around the min spec then you may need to run with low graphics options and at a lower resolution.,дополнительно,—,дополнительно,if you are on or around the min spec then you may need to run with low graphics options and at a lower resolution.,дополнительно,—
диск,2 gb,диск,2 gb,,,,,,,,
,,,,,,,,,,,
windows_min_CARRION,windows_min_CARRION,macos_min_CARRION,macos_min_CARRION,linux_min_CARRION,linux_min_CARRION
операционная система,windows 7 sp1,операционная система,osx 10.12+,операционная система,ubuntu 18.04+
процессор,2 core,процессор,2 core,процессор,2 core
оперативная память,1024 mb,оперативная память,1024 mb,оперативная память,1024 mb
видео карта,compatible with opengl 3.0,видео карта,compatible with opengl 3.0,видео карта,compatible with opengl 3.0
,,,,,
windows_min_Far Cry 3 - Blood Dragon,windows_min_Far Cry 3 - Blood Dragon,windows_req_Far Cry 3 - Blood Dragon,windows_req_Far Cry 3 - Blood Dragon
операционная система,windows xp (sp3) / windows vista (sp2) / windows 7 (sp1) / windows 8,операционная система,windows xp (sp3) / windows vista (sp2) / windows 7 (sp1) / windows 8
процессор,2.66 ghz intel core™2 duo e6700 or 3.00 ghz amd athlon™ 64 x2 6000+,процессор,2.93 ghz intel core™ i3-530 or 3.10 ghz amd phenom™ ii x2 550
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb directx 9.0c–compliant,видео карта,1024 mb directx 11–complaint or higher
directx,directx 9.0c,directx,directx 11
диск,3 gb hd space,диск,3 gb hd space
звуковая карта,directx 9.0c–compliant,звуковая карта,5.1 surround sound
,,,
windows_min_Osiris: New Dawn,windows_min_Osiris: New Dawn,windows_req_Osiris: New Dawn,windows_req_Osiris: New Dawn
операционная система,windows 10 | os,операционная система,windows 10 | os
процессор,intel i5 | 3.2ghz,процессор,intel i7 | 3.8ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1080
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Team Fortress 2,windows_min_Team Fortress 2,windows_req_Team Fortress 2,windows_req_Team Fortress 2,macos_min_Team Fortress 2,macos_min_Team Fortress 2,macos_req_Team Fortress 2,macos_req_Team Fortress 2,linux_min_Team Fortress 2,linux_min_Team Fortress 2,linux_req_Team Fortress 2,linux_req_Team Fortress 2
операционная система,windows 7 (32/)/vista/xp,операционная система,windows 7 (32/),операционная система,os x version leopard 10.5.8 and above,операционная система,—,операционная система,ubuntu 12.04,операционная система,—
процессор,1.7 ghz,процессор,"pentium 4 (3.0ghz, )",процессор,1.7 ghz,процессор,—,процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,512 mb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,—,оперативная память,1 gb,оперативная память,—
directx,version 8.1,directx,version 9.0c,видео карта,"nvidia geforce 8 or higher, ati x1600 or higher, intel hd 3000 or higher",видео карта,—,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,—
диск,15 gb,диск,15 gb,диск,15 gb,диск,—,диск,15 gb,диск,—
,,,,,,,,,,,
windows_min_Cultivation Tales,windows_min_Cultivation Tales,windows_req_Cultivation Tales,windows_req_Cultivation Tales
операционная система,windows 10,операционная система,windows 10
процессор,intel quad core i5-2300 or amd fx-6300,процессор,intel quad core i7 3770k or amd ryzen 5 1600x
