windows_min_Chopper To Hell,windows_min_Chopper To Hell,windows_req_Chopper To Hell,windows_req_Chopper To Hell
процессор,1.0 ghz,процессор,1.5 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,100% directx compatible graphics,видео карта,100% directx compatible graphics
диск,700 mb,диск,700 mb
,,,
windows_min_Sleeping Dogs: The High Roller Pack,windows_min_Sleeping Dogs: The High Roller Pack,windows_req_Sleeping Dogs: The High Roller Pack,windows_req_Sleeping Dogs: The High Roller Pack
операционная система,windows vista or windows 7,операционная система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx,10,directx,11
диск,15 gb hd space,диск,15 gb hd space
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Rugby Union Team Manager 2015,windows_min_Rugby Union Team Manager 2015
операционная система,windows 10 /8 / 7 / vista / xp
процессор,1 ghz
оперативная память,512 mb
видео карта,2d or 3d accelerator
directx,version 9.0
диск,4 gb
звуковая карта,directx 9 compatible sound device
,
