windows_min_RESIDENT EVIL 2 - Claire Costume: '98,windows_min_RESIDENT EVIL 2 - Claire Costume: '98,windows_req_RESIDENT EVIL 2 - Claire Costume: '98,windows_req_RESIDENT EVIL 2 - Claire Costume: '98
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,intel coreЩ i5-4460 or amd fxЩ-6300,процессор,intel coreЩ i7-3770 or amd fxЩ-9590
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeonЩ rx 480 with 3gb vram
directx,version 11,directx,version 11
диск,26 gb,диск,26 gb
,,,
windows_min_Streets of Rage,windows_min_Streets of Rage,windows_req_Streets of Rage,windows_req_Streets of Rage
операционна€ система,windows xp or higher,операционна€ система,windows xp or higher
видео карта,32mb graphics card,видео карта,Ч
directx,directx 9.0,directx,directx 9c
диск,50mb free disc space,диск,50mb free disc space
,,,
windows_min_Tom Clancy's Ghost Recon Future SoldierЃ - Khyber Strike,windows_min_Tom Clancy's Ghost Recon Future SoldierЃ - Khyber Strike,windows_req_Tom Clancy's Ghost Recon Future SoldierЃ - Khyber Strike,windows_req_Tom Clancy's Ghost Recon Future SoldierЃ - Khyber Strike
,,,
windows_min_Street Fighter X Tekken: SF Booster Pack 6,windows_min_Street Fighter X Tekken: SF Booster Pack 6,windows_req_Street Fighter X Tekken: SF Booster Pack 6,windows_req_Street Fighter X Tekken: SF Booster Pack 6
операционна€ система,windows xp,операционна€ система,windows vista
процессор,intel dual core 1.8ghz (or higher) or amd athlon ii x2 (or higher),процессор,intel core2 duo 2.60ghz (or higher) or amd phenom ii x2 (or higher)
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,nvidia gf6600 (or higher) or ati x1600 (or higher) with 256mb of,видео карта,nvidia gf8800 (or higher) or ati x1950 (or higher) with 512mb of
directxЃ,9.0c,directxЃ,9.0c
диск,10 gb hd space,диск,10 gb hd space
,,,
"windows_min_Warhammer 40,000: Space Marine - Dreadnought DLC","windows_min_Warhammer 40,000: Space Marine - Dreadnought DLC","windows_req_Warhammer 40,000: Space Marine - Dreadnought DLC","windows_req_Warhammer 40,000: Space Marine - Dreadnought DLC"
операционна€ система,"windows xp sp3, windows vista sp1, windows 7",операционна€ система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативна€ пам€ть,"1gb (xp), 2gb (vista), 2gb (windows 7)",оперативна€ пам€ть,"1gb (xp), 2gb (vista), 2gb (windows 7)"
видео карта,"256mb video card using shader model 3 (nvidia geforce 8800gt, amd radeon 3850 and above)",видео карта,512mb video card using shader model 3 (performance equivalent to an amd radeon 5750 )
directx,9.0c,directx,9.0c
диск,20 gb space free (10 gb free after install),диск,20 gb space free (10 gb free after install)
,,,
windows_min_Dark Raid,windows_min_Dark Raid,windows_req_Dark Raid,windows_req_Dark Raid
операционна€ система,"windows xp sp2, windows vista, windows 7, windows 8",операционна€ система,"windows xp sp2, windows vista, windows 7, windows 8"
процессор,2.0+ ghz,процессор,3.0+ ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,sm3-compatible video card,видео карта,geforce 500 series or higher video card
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_LEGOЃ DC Super-Villains Young Justice Level Pack,windows_min_LEGOЃ DC Super-Villains Young Justice Level Pack,windows_req_LEGOЃ DC Super-Villains Young Justice Level Pack,windows_req_LEGOЃ DC Super-Villains Young Justice Level Pack
операционна€ система,macos 10.14.4,операционна€ система,Ч
процессор,1.6ghz intel core i5,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,"1gb nvidia 650m, 2gb amd r9 m290, intel iris pro 5200 (see notes for more details)",видео карта,Ч
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,Ч
диск,21 gb,диск,Ч
,,,
windows_min_Creepy Road,windows_min_Creepy Road,windows_req_Creepy Road,windows_req_Creepy Road
операционна€ система,"os x version leopard 10.5.8, snow leopard 10.6.3 .",операционна€ система,os x version lion 10.7 .
процессор,intel core duo,процессор,any with 2 cores
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,ati or nvidia videocard with at least 256mb or higher.,видео карта,ati or nvidia videocard with at least 512mb or higher.
directx,version 9.0,directx,version 11
,,,
windows_min_Resident Evil 7 biohazard Original Soundtrack,windows_min_Resident Evil 7 biohazard Original Soundtrack
операционна€ система,not applicable
диск,1030 mb
storage (high-quality audio),additional 2010 mb
,
windows_min_RaymanЃ 2 The Great EscapeЩ,windows_min_RaymanЃ 2 The Great EscapeЩ
операционна€ система,microsoft windowsЃ 2000/xp
процессор,"pentiumЃ iii 600 mhz, celeron or amd athlon"
system memory,128 mb of (256 mb recommended for xp)
видео карта,32 mb directxЃ 9.0c compatible video card
,
windows_min_BattleRush - USSR Army DLC,windows_min_BattleRush - USSR Army DLC,windows_req_BattleRush - USSR Army DLC,windows_req_BattleRush - USSR Army DLC
операционна€ система,windows 7/8/10 32-bit,операционна€ система,windows 7/8/10 32/
процессор,"intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативна€ пам€ть,2048 mb,оперативна€ пам€ть,4096 mb
видео карта,nvidia geforce 9600 gt or amd radeon 4850 hd series card or higher,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 9.0,directx,version 11
,,,
windows_min_Electro Ride: The Neon Racing,windows_min_Electro Ride: The Neon Racing,windows_req_Electro Ride: The Neon Racing,windows_req_Electro Ride: The Neon Racing,macos_min_Electro Ride: The Neon Racing,macos_min_Electro Ride: The Neon Racing,macos_req_Electro Ride: The Neon Racing,macos_req_Electro Ride: The Neon Racing,linux_min_Electro Ride: The Neon Racing,linux_min_Electro Ride: The Neon Racing,linux_req_Electro Ride: The Neon Racing,linux_req_Electro Ride: The Neon Racing
операционна€ система,microsoft windows 7/8/10,операционна€ система,microsoft windows 7/8/10,операционна€ система,10.13 high sierra,операционна€ система,10.13 high sierra,операционна€ система,linux ubuntu 16.04,операционна€ система,linux ubuntu 16.04
процессор,intel core i3 or amd equivalent,процессор,intel core i5 or amd equivalent,процессор,intel core i3,процессор,intel core i5,процессор,intel core i3 or amd equivalent,процессор,intel core i5 or amd equivalent
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gt 9500 or amd equivalen,видео карта,nvidia gtx 1060 or amd equivalent,видео карта,intel hd graphics 4000,видео карта,geforce 8000 series,видео карта,nvidia gtx 550 or amd equivalen,видео карта,nvidia gtx 960 or amd equivalent
directx,version 11,directx,version 11,диск,4 gb,диск,8 gb,диск,4 gb,диск,8 gb
диск,3 gb,диск,3 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Call of DutyЃ: Black Ops II - Dead Man's Hand Personalization Pack,windows_min_Call of DutyЃ: Black Ops II - Dead Man's Hand Personalization Pack
операционна€ система,windows vista sp2 or windows 7. windows xp is not supported.
процессор,intel core2 duo e8200 2.66 ghz or amd phenom x3 8750 2.4 ghz
оперативна€ пам€ть,2 gb
видео карта,nvidia geforce 8800gt 512 mb or ati radeon hd 3870 512 mb
directx,version 9.0c
сеть,широкополосное подключение
диск,16 gb
звукова€ карта,directx 9.0c
,
windows_min_One Piece Burning Blood - Platinum Luffy,windows_min_One Piece Burning Blood - Platinum Luffy,windows_req_One Piece Burning Blood - Platinum Luffy,windows_req_One Piece Burning Blood - Platinum Luffy
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i3-4170 @ 3.70ghz,процессор,intel core i5-4690k @3.50ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia@ geforce@ gtx 460,видео карта,nvidia@ geforce@ gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
,,,
windows_min_Heroes of Hammerwatch: Witch Hunter,windows_min_Heroes of Hammerwatch: Witch Hunter
операционна€ система,ubuntu 12.04
процессор,intel coreЩ duo or faster
оперативна€ пам€ть,2 gb
видео карта,opengl 3.2+
,
windows_min_Half-Life 2: Year Long Alarm,windows_min_Half-Life 2: Year Long Alarm,windows_req_Half-Life 2: Year Long Alarm,windows_req_Half-Life 2: Year Long Alarm
операционна€ система,windows 7 (32/)/vista/xp,операционна€ система,windows 7 (32/)/vista/xp
