диск,59 gb,диск,59 gb
,,,
windows_min_DOA6 Happy Wedding Costume Vol.1 - Hitomi,windows_min_DOA6 Happy Wedding Costume Vol.1 - Hitomi,windows_req_DOA6 Happy Wedding Costume Vol.1 - Hitomi,windows_req_DOA6 Happy Wedding Costume Vol.1 - Hitomi
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core i5-4690 or over,процессор,intel core i7 8700 or over
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_Strange Brigade - The Thrice Damned 1: Isle of the Dead,windows_min_Strange Brigade - The Thrice Damned 1: Isle of the Dead,windows_req_Strange Brigade - The Thrice Damned 1: Isle of the Dead,windows_req_Strange Brigade - The Thrice Damned 1: Isle of the Dead
операционная система,windows 7 windows 10,операционная система,windows 7 windows 10
процессор,amd ryzen 3 2200g or intel cpu core i3-2100,процессор,amd ryzen 5 1500x or intel cpu core i7-3770
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_ORION: Prelude (ULTIMATE EDITION),windows_min_ORION: Prelude (ULTIMATE EDITION),windows_req_ORION: Prelude (ULTIMATE EDITION),windows_req_ORION: Prelude (ULTIMATE EDITION)
операционная система,windows vista sp2 32-bit,операционная система,win 7 / win 8 ()
процессор,amd athlon x2 2.8ghz / intel core 2 duo 2.4 ghz,процессор,amd 4-core / intel 4-core
оперативная память,3 gb,оперативная память,4 gb
видео карта,256 mb graphics memory (sm3),видео карта,512 mb graphics memory (sm 3)
directx,9.0c,directx,9.0c
диск,8 gb hd space,диск,8 gb hd space
звуковая карта,directx 9 compatible,звуковая карта,directx 9 compatible
,,,
windows_min_ The Tactics of War ,windows_min_ The Tactics of War ,windows_req_ The Tactics of War ,windows_req_ The Tactics of War ,macos_min_ The Tactics of War ,macos_min_ The Tactics of War ,macos_req_ The Tactics of War ,macos_req_ The Tactics of War ,linux_min_ The Tactics of War ,linux_min_ The Tactics of War ,linux_req_ The Tactics of War ,linux_req_ The Tactics of War 
операционная система,windows 7/8/10,операционная система,windows 7/8/10,операционная система,mac os x 10.12+,операционная система,—,операционная система,ubuntu 16.04+,операционная система,—
процессор,2ghz duo core,процессор,2ghz duo core,процессор,intel core i5,процессор,—,процессор,intel core 2 duo / amd phenom ii,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce 450 or higher with 1gb memory,видео карта,nvidia geforce 950 or higher with 2gb memory,видео карта,nvidia geforce 450 or higher with 1gb,видео карта,—,видео карта,nvidia geforce 450 or higher with 1gb,видео карта,—
directx,version 9.0,directx,version 11,диск,1 gb,диск,—,диск,1 gb,диск,—
диск,1 gb,диск,300 mb,,,,,,,,
,,,,,,,,,,,
