windows_min_Sector's Edge,windows_min_Sector's Edge,windows_req_Sector's Edge,windows_req_Sector's Edge
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 compliant graphics card with 1024mb,видео карта,directx 11 compliant graphics card with 2048mb
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Sky Hawk,windows_min_Sky Hawk
операционная система,10.6
процессор,intel single core
оперативная память,2 gb
видео карта,2010 gpu
directx,version 9.0
,
windows_min_Sniper Strike: Special Ops,windows_min_Sniper Strike: Special Ops,windows_req_Sniper Strike: Special Ops,windows_req_Sniper Strike: Special Ops
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel cpu core 2 duo (2.9 ghz) or amd equivalent,процессор,intel core i5 or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8500 gt,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,3 gb
,,,
windows_min_Battlefield Alliance,windows_min_Battlefield Alliance
операционная система,osx 10.5
процессор,core 2 duo
оперативная память,512 mb
directx,version 9.0
диск,1 gb
,
windows_min_Disney Classic Games: Aladdin and The Lion King,windows_min_Disney Classic Games: Aladdin and The Lion King,windows_req_Disney Classic Games: Aladdin and The Lion King,windows_req_Disney Classic Games: Aladdin and The Lion King
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i3-530 / amd phenom ii x4 940,процессор,intel core i3 @3.0ghz or amd equivalent
оперативная память,2 gb,оперативная память,8 gb
видео карта,geforce gt 630 1gb / amd radeon hd 6570 1gb,видео карта,geforce 8800gt / ati radeon hd 4800 series ()
directx,version 11,directx,version 11
,,,
windows_min_Space Space,windows_min_Space Space,windows_req_Space Space,windows_req_Space Space
операционная система,windows 10,операционная система,windows 10
процессор,intel celeron 2.16ghz,процессор,intel i7
оперативная память,4 gb,оперативная память,2 gb
видео карта,hd intel,видео карта,nvidia geforce mx 130
диск,240 mb,диск,240 mb
,,,
windows_min_PlanetSide Arena,windows_min_PlanetSide Arena,windows_req_PlanetSide Arena,windows_req_PlanetSide Arena
операционная система,"windows 7, 8, 8.1, 10 ( only)",операционная система,"windows 7, 8, 8.1, 10 ( only)"
процессор,intel i5-2500k,процессор,intel core i7-7700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 560 series or higher,видео карта,nvidia geforce gtx 1060 or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Starfighter Origins Remastered,windows_min_Starfighter Origins Remastered,windows_req_Starfighter Origins Remastered,windows_req_Starfighter Origins Remastered
операционная система,windows 7 - 10,операционная система,windows 10
процессор,i5/ i7 6th gen or similar amd,процессор,i7 haswell/skylake
оперативная память,8 gb,оперативная память,16 gb
