windows_min_No Time To Explain Remastered,windows_min_No Time To Explain Remastered,macos_min_No Time To Explain Remastered,macos_min_No Time To Explain Remastered,linux_min_No Time To Explain Remastered,linux_min_No Time To Explain Remastered
операционная система,windows xp,операционная система,osx 10.8,операционная система,ummmmm... steamos?
процессор,1 ghz,процессор,1 ghz,процессор,1 ghz or up
оперативная память,512 mb,оперативная память,512 mb,оперативная память,1 gb
видео карта,128 mb,видео карта,128 mb,дополнительно,"tested on various linux versions, and it launches 70% of the time. works great when it launches. other times we just had to try again :d"
,,диск,1 gb,,
,,,,,
windows_min_Book of Travels,windows_min_Book of Travels,windows_req_Book of Travels,windows_req_Book of Travels,macos_min_Book of Travels,macos_min_Book of Travels,macos_req_Book of Travels,macos_req_Book of Travels,linux_min_Book of Travels,linux_min_Book of Travels,linux_req_Book of Travels,linux_req_Book of Travels
операционная система,windows 7,операционная система,windows 10,операционная система,"mac os x catalina, .",операционная система,"mac os x catalina, .",операционная система,ubuntu 18.04 lts,операционная система,ubuntu 18.04 lts
процессор,"intel core i3, ryzen 3",процессор,"intel core i5, ryzen 5",процессор,intel core i3,процессор,intel core i7,процессор,"intel core i3, ryzen 3",процессор,"intel core i5, ryzen 5"
оперативная память,8 gb,оперативная память,12 gb,оперативная память,8 gb,оперативная память,12 gb,оперативная память,8 gb,оперативная память,12 gb
видео карта,"nvidia gtx 780, radeon rx 550",видео карта,"nvidia 970 gtx, radeon rx 580",видео карта,radeon pro 5500m 8gb,видео карта,radeon pro 5500 xt 8gb,видео карта,"nvidia gtx 780, radeon rx 550",видео карта,"nvidia 970 gtx, radeon rx 580"
directx,version 9.0,directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb
,,,,,,,,,,,
windows_min_IS Defense,windows_min_IS Defense,windows_req_IS Defense,windows_req_IS Defense
операционная система,ubuntu equivalent distro,операционная система,ubuntu equivalent distro
процессор,2.6 ghz intel core™ i5-750 or 3.2 ghz amd phenom™ ii x4 955,процессор,amd octa-core / intel quad-core running at 3.4 ghz (amd fx x8 8350 or intel core i5 3570 architectures are recommended)
оперативная память,4 gb,оперативная память,8 gb
видео карта,opengl 3 compatible gpu with 1gb video,видео карта,opengl 3 compatible gpu with 1gb video
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
звуковая карта,integrated or dedicated directx 11 compatible soundcard,звуковая карта,integrated or dedicated directx 11 compatible soundcard
,,,
windows_min_Industries of Titan,windows_min_Industries of Titan,windows_req_Industries of Titan,windows_req_Industries of Titan
