windows_min_Fimbul Winter,windows_min_Fimbul Winter,windows_req_Fimbul Winter,windows_req_Fimbul Winter
windows_min_Zoelie - SCAD Games Studio,windows_min_Zoelie - SCAD Games Studio,windows_req_Zoelie - SCAD Games Studio,windows_req_Zoelie - SCAD Games Studio
операционная система,windows 10 (),операционная система,—
процессор,intel core™ i7-4790,процессор,—
видео карта,nvidia geforce gtx 1060 or amd radeon r9 fury,видео карта,nvidia geforce gtx 1080 or rtx 2060
,,,
windows_min_The Case of Maneki,windows_min_The Case of Maneki
операционная система,microsoft windows 8.1 (32bit/64bit)
процессор,intel n4100 (or similar)
оперативная память,4 gb
видео карта,directx 9 / opengl 4.1 capable gpu
,
windows_min_Imprisoned Hyperion,windows_min_Imprisoned Hyperion,windows_req_Imprisoned Hyperion,windows_req_Imprisoned Hyperion
операционная система,10,операционная система,10
процессор,intelcore i5-4690k,процессор,intelcore i5-4690k
оперативная память,6 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1050
,,,
windows_min_Failed Ninja Academy,windows_min_Failed Ninja Academy,windows_req_Failed Ninja Academy,windows_req_Failed Ninja Academy
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативная память,1 gb,оперативная память,2 gb
видео карта,graphics card made within the last 4 years,видео карта,graphics card made within the last 4 years
,,,
windows_min_Suicide Guy Deluxe Edition,windows_min_Suicide Guy Deluxe Edition,macos_min_Suicide Guy Deluxe Edition,macos_min_Suicide Guy Deluxe Edition,linux_min_Suicide Guy Deluxe Edition,linux_min_Suicide Guy Deluxe Edition
операционная система,windows xp/vista/7/8,операционная система,mac os x 10.6.7 or higher,операционная система,ubuntu 12.04
процессор,"3.0 ghz p4, dual core 2.0 (or higher) or amd64x2 (or higher)",процессор,intel core duo (2ghz ),процессор,dual core from intel or amd at 2.8 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,ati radeon x800 or higher / nvidia geforce 7600 or higher / intel hd graphics 2000 or higher,видео карта,ati radeon 2400 or higher / nvidia 8600m or higher / intel hd graphics 3000,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600"
directx,version 9.0c,диск,4 gb,диск,4 gb
диск,4 gb,,,звуковая карта,openal compatible sound card
,,,,,
windows_min_Blue Rabbit,windows_min_Blue Rabbit
операционная система,ubuntu 16
процессор,2.50 ghz
оперативная память,2 gb
directx,version 11
,
windows_min_Bloons TD Battles 2,windows_min_Bloons TD Battles 2,windows_req_Bloons TD Battles 2,windows_req_Bloons TD Battles 2
операционная система,osx 10.13,операционная система,osx 10.13
процессор,1.5ghz (),процессор,2ghz ()
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,opengl 2.0 compatible,видео карта,opengl 2.0 compatible
диск,1536 mb,диск,1536 mb
,,,
windows_min_Untitled Marble Game,windows_min_Untitled Marble Game,windows_req_Untitled Marble Game,windows_req_Untitled Marble Game
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,"intel core i3, 2.4ghz",процессор,"intel core i5, 2.8ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 / amd radeon hd 6850,видео карта,nvidia geforce gtx 1060 / amd r9 390
directx,version 11,directx,version 11
,,,
windows_min_Adventures of The Carrot Captain,windows_min_Adventures of The Carrot Captain,macos_min_Adventures of The Carrot Captain,macos_min_Adventures of The Carrot Captain,linux_min_Adventures of The Carrot Captain,linux_min_Adventures of The Carrot Captain
операционная система,"windows xp, vista, 7, 8/8.1, 10",операционная система,macos 10.13 (high sierra),операционная система,"red hat enterprise linux ws 3.0, updates 4-7"
процессор,requires a,процессор,"x86-64, such as intel core 2 duo",процессор,requires a
оперативная память,1 gb,видео карта,graphics card with at least 512 mb of video memory and driver support for opengl 2.0 (minimum requirement).,оперативная память,8 gb
