windows_min_War Solution - Casual Math Game,windows_min_War Solution - Casual Math Game
windows_min_Resident Evil 3: Raccoon City Demo,windows_min_Resident Evil 3: Raccoon City Demo,windows_req_Resident Evil 3: Raccoon City Demo,windows_req_Resident Evil 3: Raccoon City Demo
операционная система,"windows 7, 8.1, 10",операционная система,windows 10
процессор,intel core™ i5-4460 or amd fx™-6300,процессор,intel core™ i7-3770 or amd fx™-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 12
диск,8 gb,диск,8 gb
,,,
windows_min_Blood of Steel,windows_min_Blood of Steel,windows_req_Blood of Steel,windows_req_Blood of Steel
операционная система,windows xp/vista windows 7/8/10,операционная система,windows xp/vista windows 7/8/10
процессор,intel core i5 4-core and above,процессор,intel core i5 4-core and above
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 430 or amd hd5550,видео карта,nvidia geforce gtx 650 ti or amd hd7850
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Skeletal Avenger,windows_min_Skeletal Avenger,windows_req_Skeletal Avenger,windows_req_Skeletal Avenger,macos_min_Skeletal Avenger,macos_min_Skeletal Avenger,macos_req_Skeletal Avenger,macos_req_Skeletal Avenger,linux_min_Skeletal Avenger,linux_min_Skeletal Avenger,linux_req_Skeletal Avenger,linux_req_Skeletal Avenger
операционная система,windows 7 / 10,операционная система,windows 7 / 10,операционная система,os x 10.8+,операционная система,os x 10.8+,операционная система,ubuntu 16.04+ or steamos,операционная система,ubuntu 16.04+ or steamos
процессор,3 ghz,процессор,3 ghz,процессор,2.0 ghz,процессор,2.0 ghz,процессор,2.0 ghz,процессор,2.0 ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+
directx,version 11,directx,version 11,диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb
,,,,,,,,,,,
windows_min_Combat Arms: the Classic,windows_min_Combat Arms: the Classic,windows_req_Combat Arms: the Classic,windows_req_Combat Arms: the Classic
операционная система,windows 2000,операционная система,windows xp
процессор,pentium 3-1ghz+,процессор,pentium 4-2.4ghz+
оперативная память,256 mb,оперативная память,512 mb
видео карта,geforce 2mx,видео карта,geforce fx 5600
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Goosebumps Dead of Night,windows_min_Goosebumps Dead of Night,windows_req_Goosebumps Dead of Night,windows_req_Goosebumps Dead of Night
операционная система,windows 10,операционная система,windows 10
процессор,i5 and up,процессор,i7
оперативная память,6 gb,оперативная память,8 gb
видео карта,gtx 770 and up,видео карта,gtx 1060
directx,version 11,directx,version 12
диск,5 gb,диск,5 gb
,,,
windows_min_Len's Island,windows_min_Len's Island,windows_req_Len's Island,windows_req_Len's Island
операционная система,macos 10.13 or higher (),операционная система,macos 11 ()
процессор,intel core i5,процессор,"intel core i7, 4 cores"
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel iris pro 650,видео карта,amd radeon r9 m395
directx,version 11,directx,version 11
,,,
windows_min_FREAKOUT,windows_min_FREAKOUT,windows_req_FREAKOUT,windows_req_FREAKOUT
операционная система,requires a and operating system,операционная система,requires a and operating system
процессор,windows 7,процессор,windows 10
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel i5 or amd equivalent (amd fx 8500+ series),видео карта,intel i7 or amd equivalent (amd fx 9500+ series)
directx,version 10,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,directx 11.0 compatible,звуковая карта,directx 11.0 compatible
,,,
windows_min_Seven Dunes: Curse on the Golden Sand,windows_min_Seven Dunes: Curse on the Golden Sand,windows_req_Seven Dunes: Curse on the Golden Sand,windows_req_Seven Dunes: Curse on the Golden Sand
операционная система,windows 8 or higher,операционная система,windows 8 or higher
процессор,"dual-core, 2.40 ghz",процессор,—
оперативная память,4 mb,оперативная память,4 mb
видео карта,nvidia gpu geforce gtx 660 - amd gpu radeon hd 7870,видео карта,nvidia gpu geforce gtx 660 - amd gpu radeon hd 7870
,,,
