windows_min_Unusual Ghost,windows_min_Unusual Ghost,windows_req_Unusual Ghost,windows_req_Unusual Ghost
видео карта,rx 550,видео карта,rx 580
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
,,,
windows_min_Deep Assault,windows_min_Deep Assault
операционная система,win 10
процессор,intel i3
оперативная память,1 gb
,
windows_min_Crime Passional,windows_min_Crime Passional
операционная система,ubuntu 18
процессор,dual-core cpu @ 2ghz
оперативная память,4 gb
видео карта,geforce gt 630 / 640m or amd radeon hd 7450
диск,1 gb
,
windows_min_Dummy Pirates: Ocean Tales,windows_min_Dummy Pirates: Ocean Tales
процессор,intel(r) core i5 2320
оперативная память,4 gb mb
видео карта,nvidia geforce gtx 555
сеть,широкополосное подключение
,
windows_min_Last Order,windows_min_Last Order
операционная система,windows 7 (64bit)
процессор,intel(r) core(tm) i7-6700k cpu
оперативная память,4 gb
видео карта,nvidia geforce gtx 970
,
windows_min_Percy the Potty Pigeon (C64/Spectrum),windows_min_Percy the Potty Pigeon (C64/Spectrum)
оперативная память,100 mb
,
windows_min_Axium's Box,windows_min_Axium's Box,windows_req_Axium's Box,windows_req_Axium's Box
операционная система,10,операционная система,10
directx,version 12,directx,—
,,,
windows_min_Orbital Bombardment,windows_min_Orbital Bombardment,windows_req_Orbital Bombardment,windows_req_Orbital Bombardment
операционная система,32/ windows 7 / 8.1 / 10,операционная система,32/ windows 7 / 8.1 / 10
процессор,intel cpu core i3,процессор,intel cpu core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,"intel hd graphics 4000, integrated cards also work",видео карта,nvidia geforce gtx 770 / amd radeon r9 280x
,,,
windows_min_Mullet Hell,windows_min_Mullet Hell
операционная система,windows 7
процессор,intel pentium e2180 2.0 ghz (or amd equivalent)
оперативная память,4 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb"
,
windows_min_Risky Woods,windows_min_Risky Woods
операционная система,windows 7
процессор,intel
,
windows_min_Black cotton: Wuneng,windows_min_Black cotton: Wuneng,windows_req_Black cotton: Wuneng,windows_req_Black cotton: Wuneng
операционная система,windows7/10 64,операционная система,—
процессор,intel core i5 7,процессор,—
оперативная память,16 gb,оперативная память,32 gb
видео карта,nvidia geforce gtx 1060 6g,видео карта,—
directx,version 12,directx,version 12
диск,20 gb,диск,20 gb
,,,
windows_min_CGI™: The Game,windows_min_CGI™: The Game,windows_req_CGI™: The Game,windows_req_CGI™: The Game
операционная система,windows 10,операционная система,windows 10
процессор,i5 - 7th gen,процессор,i7-8th gen
оперативная память,6 gb,оперативная память,8 gb
видео карта,intel in built graphics,видео карта,nvidia gtx 1050
directx,version 11,directx,version 12
,,,
windows_min_Meat Puppet,windows_min_Meat Puppet
операционная система,"windows 7, 8 and 10"
процессор,intel
оперативная память,256 mb
,
windows_min_Eternal Dread 3,windows_min_Eternal Dread 3,windows_req_Eternal Dread 3,windows_req_Eternal Dread 3
операционная система,"windows10, windows11",операционная система,"windows10, windows11"
процессор,intel core i3-8300 (),процессор,intel core i7-8700 ()
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb (),видео карта,nvidia geforce gtx 1060 6gb()
,,,
windows_min_Click Here,windows_min_Click Here,windows_req_Click Here,windows_req_Click Here
операционная система,windows 10,операционная система,—
процессор,1 ghz cpu,процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,1 gb gpu / integrated graphics,видео карта,—
диск,300 mb,диск,—
,,,
windows_min_Plasmarena,windows_min_Plasmarena
операционная система,windows 8
процессор,1.5 ghz
оперативная память,512 mb
directx,version 9.0
,
windows_min_Project Nosferatu,windows_min_Project Nosferatu,windows_req_Project Nosferatu,windows_req_Project Nosferatu
операционная система,windows 8/8.1/10 (64bit),операционная система,windowsr 8/8.1/10 (64bit)
процессор,intel core2 duo and 2.0ghz,процессор,intel core2 duo and 3.0ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu / nvidia geforce gtx750
,,,
windows_min_ParaSHOTical ARKtiviBeatings,windows_min_ParaSHOTical ARKtiviBeatings,macos_min_ParaSHOTical ARKtiviBeatings,macos_min_ParaSHOTical ARKtiviBeatings,linux_min_ParaSHOTical ARKtiviBeatings,linux_min_ParaSHOTical ARKtiviBeatings
операционная система,windows xp,операционная система,mac os 10.5.8,операционная система,any
процессор,intel p4 / netburst architecture or its amd equivalent (amd k7),процессор,intel p4 / netburst architecture or its amd equivalent (amd k7),процессор,intel p4 / netburst architecture or its amd equivalent (amd k7)
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel gma 950 or amd equivalent with opengl 1.2 support,видео карта,intel gma 950 or amd equivalent with opengl 1.2 support,видео карта,intel gma 950 or amd equivalent with opengl 1.2 support
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,
windows_min_Hug Survivor,windows_min_Hug Survivor
операционная система,"windows10,windows11"
оперативная память,2 gb
,
windows_min_Roadkill Raceway,windows_min_Roadkill Raceway,windows_req_Roadkill Raceway,windows_req_Roadkill Raceway
операционная система,win 10 x64,операционная система,win 10 x64
процессор,3.5ghz +,процессор,4.0ghz +
оперативная память,4 gb,оперативная память,8 gb
видео карта,4gb,видео карта,6gb
directx,version 11,directx,version 11
,,,
windows_min_-GM,windows_min_-GM
оперативная память,4 gb
сеть,—
,
windows_min_Cockroach Simulator household survivor,windows_min_Cockroach Simulator household survivor
операционная система,window 7 or above
процессор,core 2 duo 2.5ghz
оперативная память,8 mb
видео карта,6
directx,version 11
,
windows_min_B-Horror: Subway,windows_min_B-Horror: Subway
операционная система,windows 10
процессор,amd 3200g
оперативная память,8 gb
видео карта,integrated
directx,version 10
,
windows_min_Ultimate Flight Simulator Pro,windows_min_Ultimate Flight Simulator Pro,windows_req_Ultimate Flight Simulator Pro,windows_req_Ultimate Flight Simulator Pro
операционная система,windows 8,операционная система,windows 10 x64
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 670 / radeon hd 7950,видео карта,geforce gtx 970 or geforce gtx 1060 / radeon r9 290x or radeon rx 480
,,,
windows_min_Tin Edge,windows_min_Tin Edge
операционная система,windows xp/ vista/7/8/8.1/10
процессор,1 ghz
оперативная память,1 gb
видео карта,"256mb video memory, capable of opengl 2.0+ support"
,
windows_min_Swords & Bones 3,windows_min_Swords & Bones 3
операционная система,"xp, vista, windows 7, windows 8.1, windows 10, 11"
процессор,1.6 ghz
оперативная память,128 mb
видео карта,1 gb di
,
windows_min_Alice Running Adventures,windows_min_Alice Running Adventures,windows_req_Alice Running Adventures,windows_req_Alice Running Adventures
операционная система,windows 10/11,операционная система,windows 10/11
процессор,intel core i5-650 |; amd phenom ii x4 965,процессор,intel core i5-2300 |; amd fx-6300
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650 / amd radeon hd hd 6950,видео карта,nvidia geforce gtx 660 / amd radeon hd 7970
,,,
windows_min_Avenger (C64/CPC/Spectrum),windows_min_Avenger (C64/CPC/Spectrum)
оперативная память,100 mb
,
windows_min_Komodo 3K Arena,windows_min_Komodo 3K Arena
операционная система,windows 7
процессор,i5
оперативная память,8 gb
видео карта,nvidia
directx,version 11
диск,200 mb
,
windows_min_Extreme Car Drift Simulator,windows_min_Extreme Car Drift Simulator,windows_req_Extreme Car Drift Simulator,windows_req_Extreme Car Drift Simulator
операционная система,windows 8,операционная система,windows 10 x64
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 670 / radeon hd 7950,видео карта,geforce gtx 970 or geforce gtx 1060 / radeon r9 290x or radeon rx 480
,,,
windows_min_Lawbringer,windows_min_Lawbringer,windows_req_Lawbringer,windows_req_Lawbringer
операционная система,windows 7 sp1,операционная система,windows 7 sp1
процессор,dual core 2.4 ghz,процессор,dual core 3.0 ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,1gb vram,видео карта,2gb vram
directx,version 10,directx,version 10
,,,
windows_min_Omega Survivors,windows_min_Omega Survivors,windows_req_Omega Survivors,windows_req_Omega Survivors
операционная система,windows 7 (sp1+) and windows 10,операционная система,windows 7 (sp1+) and windows 10
процессор,"x86, x64 architecture with sse2 instruction set support.",процессор,"x86, x64 architecture with sse2 instruction set support."
видео карта,"dx10, dx11, dx12 capable.",видео карта,"dx10, dx11, dx12 capable."
,,,
