windows_min_Ball 2D: Soccer Online,windows_min_Ball 2D: Soccer Online
windows_min_JUST a Game,windows_min_JUST a Game,windows_req_JUST a Game,windows_req_JUST a Game
операционная система,"windows 7, 8, 8.1, 10 / 32-bit",операционная система,"windows 7, 8, 8.1, 10 /"
процессор,1.8 ghz dual-core 32-bit cp,процессор,2.4 ghz dual-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,directx11 compatible gpu with 1gb video,видео карта,directx11 compatible gpu with 2 gb video
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Modern Combat 5,windows_min_Modern Combat 5,windows_req_Modern Combat 5,windows_req_Modern Combat 5
операционная система,windows 7 sp1,операционная система,windows 10
процессор,"intel(r) core(tm)2 duo cpu e7500 @ 2.93ghz (2 cpus), ~2.9ghz",процессор,"intel(r) core(tm) i5-4460 cpu @ 3.20ghz (4 cpus), ~3.2ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 220,видео карта,nvidia geforce gt 730
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_War Robots,windows_min_War Robots,windows_req_War Robots,windows_req_War Robots
операционная система,windows 7,операционная система,windows 10
процессор,2.5 ghz,процессор,3.2 ghz
оперативная память,2 gb,оперативная память,8 gb
видео карта,"intel hd graphics 4000 or video card with dx11 support, 2gb vram",видео карта,nvidia gtx 960
directx,version 10,directx,version 11
диск,1500 mb,диск,2 gb
,,,
windows_min_Breach of Contract Online,windows_min_Breach of Contract Online,windows_req_Breach of Contract Online,windows_req_Breach of Contract Online
операционная система,"windows vista, 7/8/10",операционная система,mac os x 10.8 and above
оперативная память,2 gb,оперативная память,2 gb
directx,version 11,directx,version 11
,,,
windows_min_Rail Adventures,windows_min_Rail Adventures
операционная система,windows 7/8/10
процессор,intel core i5-2300 2.8 ghz/amd
оперативная память,8 gb
видео карта,nvidia gtx 550 ti 2gb / amd radeon hd 7870 2gb
,
windows_min_Block Blowout,windows_min_Block Blowout,windows_req_Block Blowout,windows_req_Block Blowout
операционная система,"windows xp service pack 2 (sp2), vista, 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,1.0 ghz,процессор,1.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,vcard with directx 9.0 support,видео карта,vcard with directx 9.0 support
,,,
windows_min_Roach Killer,windows_min_Roach Killer,windows_req_Roach Killer,windows_req_Roach Killer
операционная система,"windows 7,windows 10",операционная система,"windows 7,windows 10"
процессор,intel i5 4590,процессор,intel i7 6700
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1070
,,,
windows_min_Requiem: Avenging Angel,windows_min_Requiem: Avenging Angel,windows_req_Requiem: Avenging Angel,windows_req_Requiem: Avenging Angel
операционная система,windows: vista / 7 / 8 / 10,операционная система,windows: vista / 7 / 8 / 10
процессор,1.8 ghz,процессор,1.8 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,3d graphics card compatible with directx 7,видео карта,3d graphics card compatible with directx 9
,,,
windows_min_Robbery Bob: Man of Steal,windows_min_Robbery Bob: Man of Steal
операционная система,windows 7
процессор,2.0 ghz dual core .
оперативная память,1 gb
видео карта,opengl-compatible graphics card (512mb)
диск,200 mb
,
windows_min_Deathbloom: Chapter 1,windows_min_Deathbloom: Chapter 1,windows_req_Deathbloom: Chapter 1,windows_req_Deathbloom: Chapter 1
операционная система,"windows 7, 8, 10 ()",операционная система,windows 10 ()
процессор,"intel core 2 quad, intel core 2 duo e8500",процессор,intel core i7-7700 2.80 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 10 graphics card with 1024mb video,видео карта,geforce gtx 1050 ti
directx,version 10,directx,version 12
,,,
windows_min_Age of Survival,windows_min_Age of Survival,windows_req_Age of Survival,windows_req_Age of Survival
операционная система,windows 7,операционная система,—
процессор,intel: i3 2.4ghz or higher,процессор,"intel i5 2500, i7 2600, 2700"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 460gtx / amd radeon hd5850,видео карта,gtx 670
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
