windows_min_Hat Trick Header,windows_min_Hat Trick Header
операционная система,"windows 8.1 x64, windows 10 x64"
процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290 equivalent
directx,version 11
,
windows_min_Epic Battle Simulator 2,windows_min_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2
windows_min_Dungeon Hero,windows_min_Dungeon Hero,windows_req_Dungeon Hero,windows_req_Dungeon Hero,macos_min_Dungeon Hero,macos_min_Dungeon Hero,macos_req_Dungeon Hero,macos_req_Dungeon Hero,linux_min_Dungeon Hero,linux_min_Dungeon Hero,linux_req_Dungeon Hero,linux_req_Dungeon Hero
операционная система,"windows xp, 32/ versions are supported",операционная система,—,операционная система,intel-based mac os x 10.7,операционная система,—,операционная система,ubuntu 16.04,операционная система,—
процессор,cpu with sse2 instruction set,процессор,—,процессор,cpu with sse2 instruction set,процессор,—,процессор,cpu with sse2 instruction set,процессор,—
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,"directx 9, shader model 2.0 (geforce 6, radeon 9500, intel gma 900)",видео карта,directx 11 capable,видео карта,"video card supporting shader model 2.0 (geforce 6, radeon 9500, intel gma x3000 )",видео карта,directx 11 capable,видео карта,"video card supporting shader model 2.0 (geforce 6, radeon 9500, intel gma x3000 )",видео карта,directx 11 capable
directx,version 9.0c,directx,version 11,диск,700 mb,диск,—,диск,700 mb,диск,—
,,,,,,,,,,,
windows_min_BorderZone,windows_min_BorderZone,windows_req_BorderZone,windows_req_BorderZone
операционная система,windows xp/7/8/10,операционная система,windows xp/7/8
процессор,700 mhz,процессор,1200 mhz or higher
оперативная память,256 mb,оперативная память,1 gb
видео карта,direct3d compatible with 32 mb (gf 2mx or higher),видео карта,direct3d compatible (gf4 or higher)
диск,2 gb,диск,3 gb
звуковая карта,direct sound compatible,звуковая карта,direct sound compatible
,,,
windows_min_Captain Lycop : Invasion of the Heters,windows_min_Captain Lycop : Invasion of the Heters,windows_req_Captain Lycop : Invasion of the Heters,windows_req_Captain Lycop : Invasion of the Heters
операционная система,ubuntu 12.04,операционная система,ubuntu 16.04
процессор,pentium dual core 2.0ghz,процессор,core i3 2.4 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce 530m,видео карта,nvidia geforce 630m
,,,
windows_min_Magnetta,windows_min_Magnetta
операционная система,"windows xp,vista,7,8,10"
процессор,2 ghz
оперативная память,500 mb
видео карта,"256 mb video memory, shader model 3.0+"
directx,version 10
,
windows_min_Bomber 95,windows_min_Bomber 95,windows_req_Bomber 95,windows_req_Bomber 95
операционная система,windows 7/8/10 or higher,операционная система,windows 7/8/10 or higher
процессор,"quad-core intel or amd, 2.5 ghz or faster.",процессор,"quad-core intel or amd, 2.5 ghz or faster."
оперативная память,2 gb,оперативная память,6 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.,видео карта,nvidia geforce gtx 750 ti
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Rollossus,windows_min_Rollossus
операционная система,windows 10 32-bit
процессор,intel core i7-4785t @ 2.20ghz
оперативная память,4 gb
видео карта,nvidia geforce 2gb gpu
directx,version 12
,
windows_min_Nightmare Grotto,windows_min_Nightmare Grotto
операционная система,"windows™ 7 sp1, windows™ 8.1 or windows™ 10"
процессор,"intel™ core™ i5-4590 or amd fx™ 8350, equivalent"
оперативная память,4 gb
видео карта,"nvidia geforce gtx970, or amd radeon r9 290"
диск,1400 mb
,
windows_min_Normality,windows_min_Normality
операционная система,"windows xp, vista, 7, 8"
процессор,1.8 ghz
оперативная память,512 mb
,
windows_min_Super Hardcore,windows_min_Super Hardcore
операционная система,windows xp
процессор,dual-core 1.2ghz
оперативная память,1 gb
видео карта,gpu that supports shader model 3 and depth textures
directx,version 9.0
диск,60 mb
,
windows_min_Redemption,windows_min_Redemption,windows_req_Redemption,windows_req_Redemption
операционная система,windows 7,операционная система,windows 7
процессор,"intel core i3 or amd athlon ii x4 with at least 2,5 ghz",процессор,"intel core i5 or amd phenom ii x4 with at least 2,7 ghz"
оперативная память,2 gb,оперативная память,8 gb
видео карта,"geforce gts 260, radeon hd4870 - at least 1gb gpu memory",видео карта,"geforce gtx 750, radeon hd 6950 - at least 2gb gpu memory"
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
,,,
windows_min_GalaxIverse,windows_min_GalaxIverse
операционная система,windows xp/vista/7/8/10
процессор,1.0ghz
оперативная память,100 mb
видео карта,opengl 2.1+
,
windows_min_Emitters - Drone Invasions,windows_min_Emitters - Drone Invasions,windows_req_Emitters - Drone Invasions,windows_req_Emitters - Drone Invasions
операционная система,ubuntu 16 (64bits),операционная система,ubuntu 16 (64bits)
оперативная память,2 mb,оперативная память,4 mb
диск,8 mb,диск,8 mb
дополнительно,you can test the demo version and tweak some graphic settings,дополнительно,—
процессор,you can test the demo version and tweak some graphic settings,процессор,you can test the demo version and tweak some graphic settings
видео карта,you can test the demo version and tweak some graphic settings,видео карта,you can test the demo version and tweak some graphic settings
,,,
