звуковая карта,directx compatible soundcard,звуковая карта,directx compatible soundcard
,,,
windows_min_RESIDENT EVIL RESISTANCE,windows_min_RESIDENT EVIL RESISTANCE,windows_req_RESIDENT EVIL RESISTANCE,windows_req_RESIDENT EVIL RESISTANCE
операционная система,"windows 7, 8.1, 10",операционная система,windows 10
процессор,intel core™ i5-4460 or amd fx™-6300,процессор,intel core™ i7-3770 or amd fx™-9590
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,45 gb,диск,45 gb
,,,
windows_min_Sundered®: Eldritch Edition,windows_min_Sundered®: Eldritch Edition,macos_min_Sundered®: Eldritch Edition,macos_min_Sundered®: Eldritch Edition,linux_min_Sundered®: Eldritch Edition,linux_min_Sundered®: Eldritch Edition
операционная система,microsoft windows 7 (),операционная система,os x yosemite,операционная система,ubuntu 14.04
процессор,1.8 ghz,процессор,2.4 ghz intel core i5,процессор,1.8 ghz dual-core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,directx 10-compatible graphics card with at least 256mb of video memory,видео карта,intel iris 1536,видео карта,directx 10-compatible graphics card with at least 256mb of video memory
directx,version 10,диск,3 gb,диск,3 gb
,,,,,
windows_min_Mark of the Ninja: Remastered,windows_min_Mark of the Ninja: Remastered,macos_min_Mark of the Ninja: Remastered,macos_min_Mark of the Ninja: Remastered,linux_min_Mark of the Ninja: Remastered,linux_min_Mark of the Ninja: Remastered
операционная система,windows 7,операционная система,"10.11 osx,",операционная система,ubuntu 16.04+
процессор,intel core 2 duo 2.4ghz (e6600),процессор,intel core 2 duo 2.4ghz,процессор,intel core 2 duo 2.4ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gt720 or amd radeon r7770 (1 gb),видео карта,radeon 6750m +,видео карта,radeon 6750m +
directx,version 11,диск,8 gb,диск,8 gb
,,,,,
windows_min_SUCCUBUS,windows_min_SUCCUBUS,windows_req_SUCCUBUS,windows_req_SUCCUBUS
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10
процессор,"i5-6500, ryzen 5 1600",процессор,"i5-8600, ryzen 5 3400g"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"gtx 1050, rx 460 ( with at least 4gb of memory)",видео карта,"rtx 2060, rx 5700 (with at least 6gb of memory)"
directx,version 11,directx,version 11
диск,70 gb,диск,70 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Wuppo: Definitive Edition,windows_min_Wuppo: Definitive Edition,windows_req_Wuppo: Definitive Edition,windows_req_Wuppo: Definitive Edition
операционная система,windows xp or higher,операционная система,windows 7 or higher
процессор,1.2 ghz,процессор,2.0 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,512mb video memory,видео карта,1 gb video memory
directx,version 9.0,directx,version 11
,,,
windows_min_Dig or Die,windows_min_Dig or Die
операционная система,"windows xp, vista, 7, 8, 10"
процессор,"intel 2.4 ghz, amd fx-8350"
оперативная память,1 gb
видео карта,"256mb video memory, capable of shader model 2.0"
directx,version 9.0
диск,500 mb
,
windows_min_20XX,windows_min_20XX,windows_req_20XX,windows_req_20XX
операционная система,windows xp,операционная система,—
процессор,toaster (2009+),процессор,two toaster s (2011+)
оперативная память,1024 mb,оперативная память,—
видео карта,any card made during or after 2009,видео карта,something made in the last five years
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,—
,,,
windows_min_Medal of Honor™,windows_min_Medal of Honor™
операционная система,"windows xp, vista, windows 7"
процессор,pentium d 3.0ghz / core 2 duo 2.0ghz / athlon x2
оперативная память,2gb
,
windows_min_KINGDOMS,windows_min_KINGDOMS
операционная система,"windows 7, 8, 10"
процессор,2 ghz dual-core cpu
оперативная память,8 gb
видео карта,gtx 670 2gb / amd r9 280 better
directx,version 11
диск,4 gb
,
windows_min_This Land Is My Land,windows_min_This Land Is My Land,windows_req_This Land Is My Land,windows_req_This Land Is My Land
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 2.8ghz or amd equivalent,процессор,intel core i7 or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 950 or amd equivalent,видео карта,geforce gtx 1080 or amd equivalent
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Firefighting Simulator - The Squad,windows_min_Firefighting Simulator - The Squad,windows_req_Firefighting Simulator - The Squad,windows_req_Firefighting Simulator - The Squad
операционная система,windows 10,операционная система,windows 10
процессор,"intel core i5-4440 with 3,1 ghz or amd fx-8150 with 3,6 ghz or higher",процессор,"intel core i7-3820 with 3,6 ghz or amd fx-8350 with 4,0 ghz or higher"
оперативная память,8 gb,оперативная память,16 gb
