windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition
windows_min_DARQ: Complete Edition,windows_min_DARQ: Complete Edition,windows_req_DARQ: Complete Edition,windows_req_DARQ: Complete Edition
операционная система,windows 7 / 8 / 10s,операционная система,windows 7 / 8 / 10s
процессор,intel core i3-530,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 260 / ati radeon hd 4870,видео карта,nvidia geforce gtx 660 / ati radeon hd 7850
диск,3 gb,диск,3 gb
,,,
windows_min_LEGO® Batman™: The Videogame,windows_min_LEGO® Batman™: The Videogame
операционная система,windows vista/xp
процессор,intel p3 1.5 ghz or amd athlon™ xp
оперативная память,"256 mb, 512 mb required for windows vista"
,
windows_min_Life is Feudal: MMO,windows_min_Life is Feudal: MMO,windows_req_Life is Feudal: MMO,windows_req_Life is Feudal: MMO
операционная система,"- windows 7 (sp1), windows 8.1, windows 10",операционная система,"- windows 7 (sp1), windows 8.1, windows 10"
процессор,"intel - core i5 2.5 ghz, amd - phenom ii x4 2.5 ghz",процессор,intel - core i7 3.0 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia - geforce gtx 660, amd - radeon™ hd 6970",видео карта,"nvidia - geforce gtx 980, amd - radeon™ rx 480"
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_LEGO® The Hobbit™,windows_min_LEGO® The Hobbit™,windows_req_LEGO® The Hobbit™,windows_req_LEGO® The Hobbit™
операционная система,10.9.5,операционная система,10.10.1 +
процессор,1.8 ghz,процессор,2.4 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256mb vram*,видео карта,512mb vram*
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Dinosaur Hunt,windows_min_Dinosaur Hunt,windows_req_Dinosaur Hunt,windows_req_Dinosaur Hunt
операционная система,osx 10.9 or higher,операционная система,—
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz",процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb",видео карта,—
directx,version 9.0c,directx,version 11
диск,5 gb,диск,—
звуковая карта,integrated,звуковая карта,—
,,,
windows_min_Brigador: Up-Armored Edition,windows_min_Brigador: Up-Armored Edition,macos_min_Brigador: Up-Armored Edition,macos_min_Brigador: Up-Armored Edition,linux_min_Brigador: Up-Armored Edition,linux_min_Brigador: Up-Armored Edition
операционная система,windows vista .,операционная система,intel mac osx 10.7.4 .,операционная система,debian 10 or ubuntu 20.04
процессор,2.6 ghz or faster (dual core cpu with passmark score of 2900 or more),процессор,2.6 ghz or faster,процессор,2.6 ghz or faster (dual core cpu with passmark score of 2900 or more)
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,amd radeon 5770 / nvidia gtx 460,видео карта,intel hd 5000,видео карта,amd radeon 5770 / nvidia gtx 460
диск,1 gb,диск,1 gb,диск,1 gb
,,,,,
windows_min_Strange Brigade,windows_min_Strange Brigade,windows_req_Strange Brigade,windows_req_Strange Brigade
операционная система,windows 7 windows 10,операционная система,windows 7 windows 10
процессор,amd ryzen 3 2200g or intel cpu core i3-2100,процессор,amd ryzen 5 1500x or intel cpu core i7-3770
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 7870 (2gb) or nvidia geforce 750 ti (2gb),видео карта,amd radeon rx570 or nvidia gpu geforce gtx 1070
,,,
windows_min_Rogue Legacy 2,windows_min_Rogue Legacy 2,windows_req_Rogue Legacy 2,windows_req_Rogue Legacy 2
операционная система,windows 7,операционная система,windows 10
процессор,2.0 ghz,процессор,3.0 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia gtx 680, amd r9 280x",видео карта,"nvidia gtx 680, amd r9 280x"
directx,version 9.0c,directx,version 10
,,,
windows_min_One Finger Death Punch 2,windows_min_One Finger Death Punch 2,windows_req_One Finger Death Punch 2,windows_req_One Finger Death Punch 2
операционная система,windows 7 -,операционная система,windows 10 -
процессор,intel dual-core 2 ghz,процессор,core i5-750 2.7ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Attack on Titan / A.O.T. Wings of Freedom,windows_min_Attack on Titan / A.O.T. Wings of Freedom,windows_req_Attack on Titan / A.O.T. Wings of Freedom,windows_req_Attack on Titan / A.O.T. Wings of Freedom
операционная система,"windows 7, windows 8.1, windows 10 (64bit)",операционная система,"windows 7, windows 8.1, windows 10 (64bit)"
процессор,core i7 870 2.93ghz over,процессор,core i7 2600 3.40ghz over
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450,видео карта,nvidia geforce gtx 760
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Killer is Dead - Nightmare Edition,windows_min_Killer is Dead - Nightmare Edition,windows_req_Killer is Dead - Nightmare Edition,windows_req_Killer is Dead - Nightmare Edition
операционная система,windows vista,операционная система,"windows 7 professional, windows 8, windows 8.1"
процессор,intel core 2 quad 2.3 ghz or amd phenom x4 2.3 ghz or above,процессор,intel/amd quad core 2.3 ghz or above
оперативная память,4 gb,оперативная память,8 gb
видео карта,gpu that supports shader model 3.0,видео карта,nvidia geforce gts 250 or amd radeon hd 2900
directx,version 10,directx,version 11
,,,
windows_min_Neon White,windows_min_Neon White,windows_req_Neon White,windows_req_Neon White
операционная система,windows 10,операционная система,windows 10
процессор,"intel core 2 duo e6750, 2.66 ghz | amd phenom ii x3 720, 2.8 ghz (w/ at least 3-threads)",процессор,"intel core i3-2100, 3.1 ghz | amd phenom ii x4 965, 4.3 ghz (w/ at least 3-threads)"
оперативная память,6 gb,оперативная память,6 gb
видео карта,"nvidia geforce gts 450, 1 gb | amd radeon hd 5750, 1 gb",видео карта,"nvidia geforce gtx 750 ti, 2 gb | amd radeon hd 7850, 2 gb"
,,,
windows_min_Deliver Us The Moon,windows_min_Deliver Us The Moon,windows_req_Deliver Us The Moon,windows_req_Deliver Us The Moon
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,"dual core, 2.5 ghz",процессор,"quad core, 3 ghz or faster"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 2gb vram,видео карта,nvidia geforce gtx 970
directx,version 11,directx,version 11
,,,
windows_min_Minimum,windows_min_Minimum,windows_req_Minimum,windows_req_Minimum
операционная система,windows 7 32-bit sp1,операционная система,windows 7 sp1
процессор,2.0ghz,процессор,2.0ghz multi-core
оперативная память,2 gb,оперативная память,8 gb
видео карта,dx10 compatible,видео карта,1gb vram dx10 compatible
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1500 mb,диск,1500 mb
звуковая карта,windows-based sound card,звуковая карта,windows-based sound card
,,,
windows_min_Back 4 Blood,windows_min_Back 4 Blood,windows_req_Back 4 Blood,windows_req_Back 4 Blood
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-6600 (3.3 ghz) or amd ryzen 5 2600 (3.4 ghz),процессор,intel core i5-8400 (2.8 ghz) or amd ryzen 7 1800x (3.6 ghz)
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 1050 ti or amd radeon rx 570,видео карта,nvidia geforce gtx 970 or amd radeon rx 590
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Ghost of a Tale,windows_min_Ghost of a Tale,windows_req_Ghost of a Tale,windows_req_Ghost of a Tale
операционная система,windows 7 64bit,операционная система,windows 8.1 64bit
процессор,intel i5 - 2.5ghz,процессор,intel i7 - 3.4ghz
оперативная память,3 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 (2gb) or amd radeon r9 270,видео карта,nvidia geforce gtx 770 (3gb) or amd radeon r9 285
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,motherboard integrated sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_LEGO® STAR WARS™: The Force Awakens,windows_min_LEGO® STAR WARS™: The Force Awakens,windows_req_LEGO® STAR WARS™: The Force Awakens,windows_req_LEGO® STAR WARS™: The Force Awakens
операционная система,macos 10.10.5,операционная система,macos 10.11.5
процессор,1.8ghz intel,процессор,2.4ghz intel
оперативная память,4 gb,оперативная память,8 gb
видео карта,"intel hd 5000, amd 4850 (512mb), nvidia 130 (512mb)/6xx series",видео карта,"intel iris pro, amd r9 3xx series, nvidia 7xx series (1gb+)"
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,18 gb,диск,18 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Guardians of Orion (Phase 2),windows_min_Guardians of Orion (Phase 2),windows_req_Guardians of Orion (Phase 2),windows_req_Guardians of Orion (Phase 2)
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-4370 |; amd fx-6130,процессор,intel core i7 6700 or amd ryzen 5 3500x
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or amd radeon hd 7870 2 gb,видео карта,nvidia geforce gtx 1070 or amd rx vega-56
directx,version 11,directx,version 11
,,,
windows_min_Deus Ex: The Fall,windows_min_Deus Ex: The Fall,windows_req_Deus Ex: The Fall,windows_req_Deus Ex: The Fall
