windows_min_Warplanes: WW2 Dogfight,windows_min_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight
windows_min_Endless Sky,windows_min_Endless Sky
оперативная память,1200 mb
видео карта,opengl 3.3
,
windows_min_Teeworlds,windows_min_Teeworlds
операционная система,microsoft windows xp
процессор,1.4ghz or faster
оперативная память,512 mb
,
windows_min_Time Clickers,windows_min_Time Clickers
операционная система,osx 10.6 +
оперативная память,512 mb
directx,version 9.0
,
"windows_min_Pirates, Vikings, and Knights II","windows_min_Pirates, Vikings, and Knights II","windows_req_Pirates, Vikings, and Knights II","windows_req_Pirates, Vikings, and Knights II","macos_min_Pirates, Vikings, and Knights II","macos_min_Pirates, Vikings, and Knights II","macos_req_Pirates, Vikings, and Knights II","macos_req_Pirates, Vikings, and Knights II","linux_min_Pirates, Vikings, and Knights II","linux_min_Pirates, Vikings, and Knights II","linux_req_Pirates, Vikings, and Knights II","linux_req_Pirates, Vikings, and Knights II"
операционная система,windows 7 (32/)/vista/xp,операционная система,windows 7 (32/),операционная система,os x version leopard 10.5.8 and above,операционная система,—,операционная система,ubuntu 12.04,операционная система,—
процессор,1.7 ghz,процессор,"pentium 4 (3.0ghz, )",процессор,1.7 ghz,процессор,—,процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,512 mb,оперативная память,1 gb,оперативная память,1 gb,оперативная память,—,оперативная память,1 gb,оперативная память,—
directx,version 8.1,directx,version 9.0c,видео карта,"nvidia geforce 8 or higher, ati x1600 or higher, intel hd 3000 or higher",видео карта,—,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение,сеть,—
диск,10 gb,диск,10 gb,диск,10 gb,диск,—,диск,10 gb,диск,—
дополнительно,"mouse, keyboard",дополнительно,"mouse, keyboard",дополнительно,"mouse, keyboard",дополнительно,—,звуковая карта,openal compatible sound card,звуковая карта,—
,,,,,,,,,,,
windows_min_Zombie Panic! Source,windows_min_Zombie Panic! Source,windows_req_Zombie Panic! Source,windows_req_Zombie Panic! Source
операционная система,latest ubuntu lts or higher,операционная система,latest ubuntu lts or higher
процессор,1.7 ghz,процессор,2.4 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,opengl compatible with shader model 2,видео карта,opengl compatible with shader model 2
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
,,,
windows_min_Armajet,windows_min_Armajet,windows_req_Armajet,windows_req_Armajet
операционная система,high sierra,операционная система,high sierra
процессор,2 ghz,процессор,3 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,integrated graphics,видео карта,dedicated graphics
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_MilMo,windows_min_MilMo,windows_req_MilMo,windows_req_MilMo
операционная система,high sierra 10.13+,операционная система,high sierra 10.13+
процессор,x64 architecture,процессор,x64 architecture
оперативная память,4 gb,оперативная память,4 gb
видео карта,metal capable intel and amd gpus,видео карта,metal capable intel and amd gpus
directx,version 10,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,2 gb
,,,
windows_min_Bite the Bullet,windows_min_Bite the Bullet,windows_req_Bite the Bullet,windows_req_Bite the Bullet
операционная система,"windows 7 sp1+, 8, 10",операционная система,windows 10
процессор,dual core 2 ghz cpu,процессор,dual core intel i5 and above
оперативная память,4 mb,оперативная память,4 mb
видео карта,1 gb video memory,видео карта,1 gb video memory
directx,version 10,directx,version 10
,,,
windows_min_Totally Unbalanced,windows_min_Totally Unbalanced,windows_req_Totally Unbalanced,windows_req_Totally Unbalanced
операционная система,osx 10.8+,операционная система,—
процессор,any intel dual core,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,gpu that supports metal or opengl 4.3,видео карта,—
directx,version 10,directx,version 11
,,,
windows_min_POLYGON,windows_min_POLYGON,windows_req_POLYGON,windows_req_POLYGON
операционная система,windows 7 sp1 (),операционная система,windows 7/ 8 / 10 ()
процессор,"intel core i3, 2.4ghz",процессор,"intel core i5, 2.8ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 460 / amd radeon hd 6850,видео карта,nvidia geforce gtx 970 / amd r9 390
directx,version 9.0,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Bombergrounds: Reborn,windows_min_Bombergrounds: Reborn
операционная система,high sierra 10.13+
процессор,"apple silicon, x64 architecture with sse2"
оперативная память,2 gb
видео карта,metal capable intel and amd gpus
directx,version 10
сеть,широкополосное подключение
диск,1 gb
,
windows_min_Shark Simulator,windows_min_Shark Simulator,windows_req_Shark Simulator,windows_req_Shark Simulator
операционная система,windows xp sp2+,операционная система,windows 10
процессор,2.0 ghz dual core,процессор,2.0 ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,dx9 (shader model 3.0) 512 mb vram,видео карта,dx11 with feature level 9.3 capabilities 2gb vram
directx,version 9.0c,directx,version 11
диск,500 mb,диск,500 mb
,,,
windows_min_The Ritual on Weylyn Island,windows_min_The Ritual on Weylyn Island
операционная система,osx
процессор,2.7 ghz i5
оперативная память,4 gb
видео карта,amd radeon hd 6770m 512 mb
,
windows_min_Fort Zombie,windows_min_Fort Zombie
операционная система,windows xp sp2/vista/7
процессор,intel core 2 duo 6600
оперативная память,2 gb
видео карта,direct x 9.0c sm2 compliant graphics card with 512mb of
directx,version 9.0c
диск,1 gb
,
windows_min_Morphite,windows_min_Morphite,macos_min_Morphite,macos_min_Morphite,linux_min_Morphite,linux_min_Morphite
операционная система,windows xp,операционная система,mac os x 10.6,операционная система,"ubuntu 10.10, steamos"
процессор,sse2 instruction set support,процессор,sse2 instruction set support,процессор,sse2 instruction set support.
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,dx9 (shader model 3.0) capabilities,видео карта,dx9 (shader model 3.0) capabilities,видео карта,dx9 (shader model 3.0) capabilities
,,,,,
windows_min_Porcelain Panic,windows_min_Porcelain Panic
операционная система,"xp, vista, 7, 8, 8.1"
процессор,2ghz
оперативная память,1024 mb
видео карта,256mb
directx,version 9.0
,
windows_min_SMASH BOY Ver.KZ,windows_min_SMASH BOY Ver.KZ
операционная система,xp
процессор,core i3 3.2ghz
оперативная память,4 gb
directx,version 9.0
,
windows_min_Cornerstone: The Song of Tyrim,windows_min_Cornerstone: The Song of Tyrim,macos_min_Cornerstone: The Song of Tyrim,macos_min_Cornerstone: The Song of Tyrim,linux_min_Cornerstone: The Song of Tyrim,linux_min_Cornerstone: The Song of Tyrim
операционная система,windows xp sp2,операционная система,mac os x 10.8+,операционная система,ubuntu 12.04+
процессор,dual core 2.0ghz,процессор,dual core 2.0ghz,процессор,dual core 2.0ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,512 mb,видео карта,512 mb,видео карта,512 mb
directx,version 9.0,диск,3 gb,диск,3 gb
,,,,,
windows_min_Silver Island,windows_min_Silver Island,windows_req_Silver Island,windows_req_Silver Island
операционная система,windows xp,операционная система,windows 7 or higher
процессор,dual core 2.6 ghz,процессор,2.3 ghz intel quad core or higher
оперативная память,8 mb,оперативная память,—
directx,version 9.0,directx,version 9.0
диск,100 mb,диск,100 mb
,,,
windows_min_Devious Dungeon 2,windows_min_Devious Dungeon 2
операционная система,windows 7
процессор,core2duo
видео карта,anything
звуковая карта,anything
,
windows_min_Operation Chromite 1950 VR,windows_min_Operation Chromite 1950 VR
операционная система,windows 7 sp1
процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290
directx,version 11
диск,2 gb
vr support,steamvr or oculus pc. standing or room scale
,
windows_min_HORGIHUGH (),windows_min_HORGIHUGH (),windows_req_HORGIHUGH (),windows_req_HORGIHUGH ()
операционная система,"windows 10, 8.1, 8, 7, xp, 2000",операционная система,"windows 10, 8.1, 8, 7, xp, 2000"
процессор,core 2 duo,процессор,core 2 duo
оперативная память,512 mb,оперативная память,1 gb
видео карта,graphics card with 32mb video,видео карта,graphics card with 32mb video
диск,83 mb,диск,100 mb
,,,
windows_min_Storm Area 51: September 20th 2019,windows_min_Storm Area 51: September 20th 2019
операционная система,windows 7 and up
процессор,dual-core 1.6ghz cpu
оперативная память,4096 mb
видео карта,5xx series nvida or 5xxx series amd card
directx,version 11
диск,3500 mb
,
windows_min_PowerUp Elevation,windows_min_PowerUp Elevation
операционная система,windows xp / windows vista / windows 7 / windows 8 / windows 10
процессор,any 64 or 32 bit
оперативная память,1 gb
видео карта,directx or opengl compatible video card
,
windows_min_2260 VR,windows_min_2260 VR,windows_req_2260 VR,windows_req_2260 VR
операционная система,windows 7 -,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7 6700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd,видео карта,nvidia gtx 1080 / amd
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,—
диск,5 gb,диск,5 gb
vr support,steamvr,vr support,—
,,,
windows_min_SOMOS,windows_min_SOMOS,windows_req_SOMOS,windows_req_SOMOS,macos_min_SOMOS,macos_min_SOMOS,macos_req_SOMOS,macos_req_SOMOS,linux_min_SOMOS,linux_min_SOMOS,linux_req_SOMOS,linux_req_SOMOS
операционная система,windows 7,операционная система,windows 7,операционная система,macos 10.11+,операционная система,macos 10.11+,операционная система,"ubuntu 12.04+, steamos+",операционная система,"ubuntu 12.04+, steamos+"
процессор,intel core 2 duo 2ghz+,процессор,intel core i5 2300,процессор,sse2 instruction set support,процессор,sse2 instruction set support,процессор,sse2 instruction set support,процессор,sse2 instruction set support
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx10 compatible graphics card,видео карта,directx10 compatible graphics card,видео карта,directx10 compatible graphics card,видео карта,directx10 compatible graphics card,видео карта,directx10 compatible graphics card,видео карта,directx10 compatible graphics card
directx,version 9.0,directx,version 9.0,диск,50 mb,диск,50 mb,диск,50 mb,диск,50 mb
,,,,,,,,,,,
windows_min_Furry Chronicles,windows_min_Furry Chronicles,macos_min_Furry Chronicles,macos_min_Furry Chronicles,linux_min_Furry Chronicles,linux_min_Furry Chronicles
операционная система,"windows 7, windows 8, windows 10",операционная система,os x 10.8,операционная система,ubuntu 14.04 lts
процессор,"intel core i3, 2.0 ghz",процессор,"intel core i3, 2.0 ghz",процессор,"intel core i3, 2.0 ghz"
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,integrated intel graphics,видео карта,integrated intel graphics,видео карта,integrated intel graphics
directx,version 9.0c,диск,1 gb,диск,2 gb
диск,1 gb,звуковая карта,integrated audio,звуковая карта,integrated audio
,,,,,
windows_min_Independence War™ Deluxe Edition,windows_min_Independence War™ Deluxe Edition,windows_req_Independence War™ Deluxe Edition,windows_req_Independence War™ Deluxe Edition
операционная система,windows xp or vista,операционная система,windows xp or vista
процессор,1 ghz,процессор,1.4 ghz
оперативная память,256 mb,оперативная память,512 mb
видео карта,3d graphics card compatible with directx 7,видео карта,3d graphics card compatible with directx 9
directx,version 7.0,directx,version 9.0
,,,
windows_min_Binaries,windows_min_Binaries,macos_min_Binaries,macos_min_Binaries,linux_min_Binaries,linux_min_Binaries
операционная система,windows 7/8/10,операционная система,os x yosemite,операционная система,ubuntu 16.04 lts
процессор,2.0 ghz dual core,процессор,2.00 ghz intel core 2 duo,процессор,2.0 ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 8800,диск,500 mb,видео карта,geforce 8800
