windows_min_EVAN QUEST 2,windows_min_EVAN QUEST 2,windows_req_EVAN QUEST 2,windows_req_EVAN QUEST 2
windows_min_Midnight Terror - The Beginning,windows_min_Midnight Terror - The Beginning,windows_req_Midnight Terror - The Beginning,windows_req_Midnight Terror - The Beginning
операционная система,windows 10 s,операционная система,windows 10 s
процессор,i5 7gen,процессор,i7 10gen
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1650 4gb,видео карта,gtx 1650 4gb
,,,
windows_min_Neon Racer,windows_min_Neon Racer,windows_req_Neon Racer,windows_req_Neon Racer
операционная система,windows 10,операционная система,windows 10
процессор,i3,процессор,i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 560,видео карта,gtx 560
,,,
windows_min_Astral Slider,windows_min_Astral Slider
,
windows_min_SCP: Abhorrent,windows_min_SCP: Abhorrent,windows_req_SCP: Abhorrent,windows_req_SCP: Abhorrent
операционная система,"windows xp, vista, 7, 8, 10, 11",операционная система,"windows 10, 11"
процессор,"intel pentium e2160 / amd c-50 1ghz, 1 core",процессор,"intel core i5 3ghz, 4 cores"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650,видео карта,nvidia geforce gt 9600 / amd radeon 6250hd
directx,version 10,directx,version 12
,,,
windows_min_Alchemist Arena,windows_min_Alchemist Arena,windows_req_Alchemist Arena,windows_req_Alchemist Arena
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i3-3220 / amd fx-6100,процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce gtx 650 / amd radeon,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Zombie Crush Driver,windows_min_Zombie Crush Driver
операционная система,"windows 7, 8, 10, 11"
процессор,2.3 ghz dual core
оперативная память,2 gb
видео карта,nvidia en9600gt 512mb
,
windows_min_Swords Fantasy: Battlefield,windows_min_Swords Fantasy: Battlefield,windows_req_Swords Fantasy: Battlefield,windows_req_Swords Fantasy: Battlefield
операционная система,windows 7/8/8.1/10 (),операционная система,windows 7/8/8.1/10 ()
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 760,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_PRANGA,windows_min_PRANGA,windows_req_PRANGA,windows_req_PRANGA
операционная система,"32-bit windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-4430 / amd fx-6300
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb
directx,version 11,directx,version 11
,,,
windows_min_Elteria Hunter,windows_min_Elteria Hunter,windows_req_Elteria Hunter,windows_req_Elteria Hunter
операционная система,mac os 10.13,операционная система,—
процессор,intel core i3-4340,процессор,—
оперативная память,8 gb,оперативная память,8 gb
видео карта,compatible opengl / vram 1gb,видео карта,—
directx,version 11,directx,—
диск,4 gb,диск,—
,,,
windows_min_The Red Hood,windows_min_The Red Hood
операционная система,win10 or more
процессор,2.0 ghz or more
оперативная память,2 gb
видео карта,1 gb or more
диск,300 mb
,
windows_min_Battery-out,windows_min_Battery-out
,
windows_min_Tree Simulator 2023,windows_min_Tree Simulator 2023
операционная система,"windows 7, 10 or 11"
процессор,intel i3
оперативная память,2 gb
видео карта,gtx 560
directx,version 11
диск,3 gb
,
windows_min_Hidden Post-Apocalyptic Top-Down 3D,windows_min_Hidden Post-Apocalyptic Top-Down 3D,macos_min_Hidden Post-Apocalyptic Top-Down 3D,macos_min_Hidden Post-Apocalyptic Top-Down 3D,linux_min_Hidden Post-Apocalyptic Top-Down 3D,linux_min_Hidden Post-Apocalyptic Top-Down 3D
операционная система,windows 7/8/10,операционная система,mac os x 10.12+,операционная система,ubuntu 16.04+
процессор,3ghz duo core,процессор,intel core i5,процессор,intel core 2 duo / amd phenom ii
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 450 or higher with 1gb memory,видео карта,nvidia geforce 450 or higher with 1gb,видео карта,nvidia geforce 450 or higher with 1gb
directx,version 9.0,диск,8 gb,диск,8 gb
,,,,,
windows_min_Among Walls,windows_min_Among Walls,windows_req_Among Walls,windows_req_Among Walls
операционная система,windows 7 service pack 1 (win 8 or 8.1 is not officially supported),операционная система,windows 10
процессор,2 ghz dual-core cpu,процессор,"intel i7-3770, amd fx 8350 4.0ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx11 compatible gpu with 1 gb video,видео карта,directx11 compatible gpu with 1gb video
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Abyss Memory Fallen Angel and the Path of Magic,windows_min_Abyss Memory Fallen Angel and the Path of Magic
операционная система,windows10
процессор,intel celeron cpu g1620
оперативная память,4 gb
видео карта,geforce gtx 650 ti
диск,4 gb
,
windows_min_The Ultimate Shot,windows_min_The Ultimate Shot,windows_req_The Ultimate Shot,windows_req_The Ultimate Shot
операционная система,windows 7,операционная система,windows 10
процессор,intel dual core,процессор,intel dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,intel hd graphics
,,,
windows_min_Spelldash,windows_min_Spelldash,windows_req_Spelldash,windows_req_Spelldash
операционная система,windows 10,операционная система,windows 10
процессор,2.4ghz dual core or higher,процессор,2.4ghz dual core or higher
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,geforce gtx 460
directx,version 9.0,directx,version 11
диск,500 mb,диск,500 mb
,,,
windows_min_Heart attack,windows_min_Heart attack,windows_req_Heart attack,windows_req_Heart attack
операционная система,windows 10 s,операционная система,windows 10 s
процессор,intel core i5-2500k@3.3ghz or amd fx 6300@3.5ghz,процессор,intel core i7-4770k@3.5ghz or ryzen 5 1500x@3.5ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 (2 gb) or amd radeon r9 290 (4 gb),видео карта,nvidia geforce gtx 1060 (6 gb) or amd radeon rx 580 (8 gb)
directx,version 10,directx,version 11
