windows_min_Contort Effect,windows_min_Contort Effect,windows_req_Contort Effect,windows_req_Contort Effect
видео карта,nvidia geforce gtx 650 / radeon r7 370,видео карта,nvidia geforce gtx 750 / radeon r9 280
directx,version 11,directx,version 11
,,,
windows_min_Rogue Port - Blue Nightmare,windows_min_Rogue Port - Blue Nightmare,windows_req_Rogue Port - Blue Nightmare,windows_req_Rogue Port - Blue Nightmare
операционная система,microsoft windows xp / vista / 7 (32-bit/),операционная система,microsoft windows xp / vista / 7 (32-bit/)
процессор,intel pentium 4 2.0 ghz equivalent or faster,процессор,intel pentium 4 2.0 ghz equivalent or faster
видео карта,1024 x 768 pixels or higher desktop resolution,видео карта,1024 x 768 pixels or higher desktop resolution
,,,
windows_min_Cobalt WASD,windows_min_Cobalt WASD
операционная система,"windows 7, 8 or 10"
процессор,"1,5 ghz or faster"
оперативная память,2 gb
видео карта,1gb vram
,
windows_min_Aqua Moto Racing Utopia,windows_min_Aqua Moto Racing Utopia,windows_req_Aqua Moto Racing Utopia,windows_req_Aqua Moto Racing Utopia
операционная система,windows 7 64bit,операционная система,windows 7 64bit
процессор,amd dual-core 2ghz or intel dual-core 2ghz,процессор,amd quad-core 2ghz or intel quad-core 2ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"atleast 1gb vram, shader model 5",видео карта,"2gb vram, shader model 5"
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Call of Duty®: Advanced Warfare - United Kingdom Exoskeleton Pack,windows_min_Call of Duty®: Advanced Warfare - United Kingdom Exoskeleton Pack
операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i3-530 @ 2.93 ghz / amd phenom™ ii x4 810 @ 2.60 ghz
оперативная память,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeon™ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звуковая карта,directx compatible
,
windows_min_DOA6 Happy Wedding Costume Vol.2 - Ayane,windows_min_DOA6 Happy Wedding Costume Vol.2 - Ayane,windows_req_DOA6 Happy Wedding Costume Vol.2 - Ayane,windows_req_DOA6 Happy Wedding Costume Vol.2 - Ayane
операционная система,windows 10 (64bit),операционная система,windows 10 (64bit)
процессор,intel core i5-4690 or over,процессор,intel core i7 8700 or over
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 770,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_Street Fighter X Tekken: TK Booster Pack 8,windows_min_Street Fighter X Tekken: TK Booster Pack 8,windows_req_Street Fighter X Tekken: TK Booster Pack 8,windows_req_Street Fighter X Tekken: TK Booster Pack 8
,,,
windows_min_Sacred 3: Z4ngr13f Weapon Spirit,windows_min_Sacred 3: Z4ngr13f Weapon Spirit,windows_req_Sacred 3: Z4ngr13f Weapon Spirit,windows_req_Sacred 3: Z4ngr13f Weapon Spirit
операционная система,windows vista sp2 / 7 / 8,операционная система,windows vista sp2 / 7 / 8
процессор,intel pentium d945 (dual core 3400 mhz)/ amd athlon 64 x2 6000+ (dual core 3000 mhz),процессор,intel core i5-4430 (quad core 3000 mhz) / amd phenom 9500 (quad core 2200 mhz)
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 610 (1024mb) / ati radeon 4770 (512mb),видео карта,nvidia geforce gt 640 (2048mb) / ati radeon hd 5570 (1024mb)
диск,25 gb,диск,25 gb
,,,
windows_min_Realm Royale,windows_min_Realm Royale
операционная система,windows 7
процессор,"intel(r) core(tm) i5-2320 cpu @ 3.00 ghz (4 cpus), ~3.0ghz"
оперативная память,6 gb
видео карта,nvidia geforce gtx 555
directx,version 11
диск,5 gb
,
windows_min_Arc Savior,windows_min_Arc Savior,windows_req_Arc Savior,windows_req_Arc Savior
операционная система,windows 7 / 8.1 / 10,операционная система,windows 7 / 8.1 / 10
процессор,core i3-4370,процессор,core i7-4790k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960 / amd 280x,видео карта,nvidia geforce gtx 1060 / rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Survarium - Explorer Pack,windows_min_Survarium - Explorer Pack,windows_req_Survarium - Explorer Pack,windows_req_Survarium - Explorer Pack
операционная система,"windows 7 (service pack 1), windows 8.1 ()",операционная система,windows 10 ()
процессор,intel core i3 / amd phenom ii x4 / amd fx / amd ryzen,процессор,intel core i3 / amd phenom ii x4 / amd fx / amd ryzen
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce: gtx 650 / gt 1030 or radeon r7 250x,видео карта,nvidia geforce: gtx 960 / gtx 1050-ti or amd radeon: r9 280x / rx 460
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,16 gb,диск,16 gb
,,,
windows_min_Sniper Elite 4 - Cold Warfare Winter Expansion Pack,windows_min_Sniper Elite 4 - Cold Warfare Winter Expansion Pack,windows_req_Sniper Elite 4 - Cold Warfare Winter Expansion Pack,windows_req_Sniper Elite 4 - Cold Warfare Winter Expansion Pack
операционная система,windows 7 windows 8.1 or windows 10,операционная система,windows 7 windows 8.1 or windows 10
процессор,intel cpu core i3-2100 or amd equivalent,процессор,intel cpu core i7-3770 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
,,,
windows_min_The Surge: A Walk in the Park DLC,windows_min_The Surge: A Walk in the Park DLC,windows_req_The Surge: A Walk in the Park DLC,windows_req_The Surge: A Walk in the Park DLC
операционная система,windows 7/8/10 (),операционная система,windows 7/8/10 ()
процессор,"amd fx-8320 (3,5 ghz) / intel i5-4690k (3,5 ghz)",процессор,"amd fx-8370 (4,0 ghz) / intel core i7-3820 (3,6 ghz)"
оперативная память,8 gb,оперативная память,16 gb
видео карта,"1 gb, amd radeon r7 360 / nvidia geforce gtx 560 ti",видео карта,"4 gb, amd radeon rx 480 / nvidia geforce gtx 970"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
