windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters,windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters
операционная система,windows 8/8.1 (32bit/64bit),операционная система,windows 8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативная память,2 gb,оперативная память,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Police Stories,windows_min_Police Stories,macos_min_Police Stories,macos_min_Police Stories,linux_min_Police Stories,linux_min_Police Stories
операционная система,windows vista / windows 7 / windows 8.1,операционная система,mac os 10.7+,операционная система,"ubuntu 16.04 lts, x64 only"
процессор,intel pentium 2.9 ghz,процессор,intel pentium 2.9 ghz,процессор,"intel pentium 2.9 ghz, x64 only"
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,512 mb directx 9 compatible video card with shader model 3.0 support,видео карта,512 mb directx 9 compatible video card with shader model 3.0 support,видео карта,512 mb
directx,version 9.0,диск,400 mb,диск,400 mb
,,,,,
windows_min_Total Tank Simulator,windows_min_Total Tank Simulator,windows_req_Total Tank Simulator,windows_req_Total Tank Simulator
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-7600k,процессор,intel core i5-8600k
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia 960,видео карта,nvidia 1060
directx,version 11,directx,version 11
,,,
windows_min_Cave Story+,windows_min_Cave Story+,windows_req_Cave Story+,windows_req_Cave Story+,macos_min_Cave Story+,macos_min_Cave Story+,macos_req_Cave Story+,macos_req_Cave Story+,linux_min_Cave Story+,linux_min_Cave Story+,linux_req_Cave Story+,linux_req_Cave Story+
операционная система,windows xp,операционная система,windows 7,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционная система,—,операционная система,ubuntu 10.04 and newer,операционная система,ubuntu 10.04 and newer
