windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
видео карта,nvidia geforce gtx650 or amd equivalent,видео карта,nvidia geforce gtx970 or amd equivalent,видео карта,nvidia geforce gtx650 or amd equivalent,видео карта,nvidia geforce gtx970 or amd equivalent,видео карта,nvidia geforce gtx650 or amd equivalent,видео карта,nvidia geforce gtx970 or amd equivalent
directx,version 11,directx,version 11,диск,6 gb,диск,6 gb,диск,6 gb,диск,6 gb
,,,,,,,,,,,
windows_min_LEGO® Jurassic World,windows_min_LEGO® Jurassic World,windows_req_LEGO® Jurassic World,windows_req_LEGO® Jurassic World
операционная система,10.9.5,операционная система,10.10.3
процессор,1.8 ghz,процессор,2.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"amd radeon 4670, nvidia gt120 or intel hd4000 with 256mb vram",видео карта,"amd radeon 6970, nvidia geforce 650m or intel iris pro with 1gb vram"
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
windows_min_Hot Lava,windows_min_Hot Lava,windows_req_Hot Lava,windows_req_Hot Lava
операционная система,windows 7,операционная система,windows 10
оперативная память,4 gb,оперативная память,8 gb
directx,version 11,directx,version 11
,,,
