windows_min_BIT.TRIP RUNNER,windows_min_BIT.TRIP RUNNER
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1070
,,,
windows_min_HELLGATE: London,windows_min_HELLGATE: London,windows_req_HELLGATE: London,windows_req_HELLGATE: London
операционная система,windows xp,операционная система,"windows 7, 9, 10"
процессор,2 ghz,процессор,2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 6800+, ati radeon r300+",видео карта,"nvidia geforce 9800+, ati radeon hd 5000+"
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Redeemer: Enhanced Edition,windows_min_Redeemer: Enhanced Edition
операционная система,"win7 sp1, windows 8.1, windows 10"
процессор,intel(r) core(tm) i3-6300 cpu
оперативная память,4 gb
видео карта,amd radeon r9 200 series
directx,version 11
диск,7 gb
,
windows_min_Forward to the Sky,windows_min_Forward to the Sky,macos_min_Forward to the Sky,macos_min_Forward to the Sky,linux_min_Forward to the Sky,linux_min_Forward to the Sky
операционная система,windows xp+,операционная система,mac os x 10.6+,операционная система,ubuntu 12.04 lts
процессор,2.0 ghz dual core,процессор,"1,4 ghz intel i5, 2.0 ghz dual core",процессор,2.0 ghz dual core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,dx9 (shader model 2.0) capabilities,видео карта,intel hd graphics 4000,видео карта,"shader model 3.0, 256 mb vram"
,,,,,
windows_min_Superfighters Deluxe,windows_min_Superfighters Deluxe,windows_req_Superfighters Deluxe,windows_req_Superfighters Deluxe
операционная система,windows vista service pack 2,операционная система,windows 10
процессор,"intel dual core 2.2+ ghz (), 4 cores if you plan to host an online game",процессор,intel icore 5 2.4 ghz+ ()
оперативная память,2 gb,оперативная память,2 gb
видео карта,512 mb graphics card supporting directx 9.0c shader model 2.0,видео карта,—
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_ARMA: Cold War Assault,windows_min_ARMA: Cold War Assault,windows_req_ARMA: Cold War Assault,windows_req_ARMA: Cold War Assault
операционная система,windows xp or windows vista or windows 7,операционная система,windows xp or windows vista or windows 7
процессор,intel pentium ii 500 mhz or amd athlon 600 mhz,процессор,intel dual-core 2.4ghz or amd dual-core athlon 2.5ghz
оперативная память,128mb,оперативная память,1gb
видео карта,directx 8.1 compatible 3d graphics card with 16mb,видео карта,nvidia geforce 8600gt or ati radeon 3650 or faster with 256mb vram
directx,directx 8.1,directx,directx 9.0c
диск,800mb free space,диск,1 gb free space
,,,
windows_min_Hard Truck Apocalypse / Ex Machina,windows_min_Hard Truck Apocalypse / Ex Machina,windows_req_Hard Truck Apocalypse / Ex Machina,windows_req_Hard Truck Apocalypse / Ex Machina
операционная система,"xp, 7, 8, 10",операционная система,"xp, 7, 8, 10"
процессор,pentium 4 / athlon xp 2 ghz,процессор,pentium 4 / athlon xp 3 ghz
оперативная память,512 mb,оперативная память,1 gb
видео карта,directx compatible 128 mb,видео карта,directx compatible 256 mb
,,,
windows_min_War Thunder,windows_min_War Thunder,windows_req_War Thunder,windows_req_War Thunder,macos_min_War Thunder,macos_min_War Thunder,macos_req_War Thunder,macos_req_War Thunder,linux_min_War Thunder,linux_min_War Thunder,linux_req_War Thunder,linux_req_War Thunder
операционная система,windows 7 sp1/8/10,операционная система,windows 10 (64bit),операционная система,catalina 10.15,операционная система,catalina 10.15,операционная система,most modern 64bit linux distributions,операционная система,ubuntu 20.04 64bit
процессор,dual-core 2.2 ghz,процессор,intel core i5 or ryzen 5 3600,процессор,intel core i5 (xeon s not supported),процессор,intel core i7 (xeon s not supported),процессор,dual-core 2.4 ghz,процессор,intel core i7
оперативная память,4 gb,оперативная память,16 gb,оперативная память,6 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,16 gb
видео карта,directx 10.1 level video card: intel hd graphics 5100 / amd radeon 77xx / nvidia geforce gtx 660. the minimum supported resolution for the game is 720p.,видео карта,"directx 11 level video card or higher and drivers: nvidia geforce 1060 and higher, radeon rx 570 and higher",видео карта,"intel iris pro 5200 (mac), or analog from amd/nvidia for mac. minimum supported resolution for the game is 720p with metal support",видео карта,radeon vega ii or higher,видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months; the minimum supported resolution for the game is 720p),видео карта,nvidia 1060 with latest proprietary drivers (not older than 6 months) / radeon rx 570 with latest proprietary drivers (not older than 6 months)
directx,version 11,directx,version 12,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,37 gb,диск,35 gb,диск,37 gb,диск,35 gb
,,,,,,,,,,,
windows_min_Watch Dogs®: Legion,windows_min_Watch Dogs®: Legion,windows_req_Watch Dogs®: Legion,windows_req_Watch Dogs®: Legion
операционная система,windows 10 ( versions),операционная система,windows 10 ( versions)
процессор,intel core i5-4460 or amd ryzen 5 1400 290x,процессор,intel core i7-4790 or amd ryzen 5 1600
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 970, nvidia geforce gtx 1650, or amd radeon r9 290x",видео карта,"nvidia geforce gtx 1060, nvidia geforce gtx 1660 s, or amd radeon rx 480"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_AXYOS,windows_min_AXYOS,windows_req_AXYOS,windows_req_AXYOS
операционная система,windows xp sp3 (32-bit),операционная система,"windows 7, 8, 10 (32 or )"
процессор,3.0 ghz (2 core),процессор,3.33 ghz (4 core)
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 260 (radeon hd 4850),видео карта,geforce gtx 660 (radeon hd 6850)
directx,version 9.0,directx,version 11
диск,2 gb,диск,2 gb
дополнительно,hdmi for best display quality,дополнительно,hdmi for best display quality
,,,
windows_min_STRIDER™ / ®,windows_min_STRIDER™ / ®
операционная система,"windows vista sp2 x64, windows 7 x64, windows 8 x64"
процессор,"intel core 2 quad q9550, 2.83ghz / amd phenom ii x3 720, 2.8ghz"
оперативная память,4 gb
видео карта,ati radeon hd 5770 / geforce gtx 460
directx,version 11
сеть,широкополосное подключение
диск,3700 mb
звуковая карта,directx 9.0c compatible
,
windows_min_CardLife: Creative Survival,windows_min_CardLife: Creative Survival,windows_req_CardLife: Creative Survival,windows_req_CardLife: Creative Survival
операционная система,"windows 7, or above",операционная система,"windows 7, or above"
процессор,intel(r) core (tm) i5 or amd equivalent,процессор,intel(r) core (tm) i7 or amd equivalent
оперативная память,6 gb,оперативная память,12 gb
видео карта,nvidia geforce 660 gtx,видео карта,nvidia geforce 1060 gtx 6gb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Aliens versus Predator Classic 2000,windows_min_Aliens versus Predator Classic 2000
операционная система,"windows xp, windows vista, windows 7"
процессор,pentium ii 400 mmx
оперативная память,128mb
видео карта,directx compatible graphics card
directx,directx 9.0c
диск,500mb
звуковая карта,directx compatible sound card
,
windows_min_Red Faction,windows_min_Red Faction
операционная система,windows 2000/xp
directx,directx 8
процессор,pentium ii 400 mhz
оперативная память,64 mb
видео карта,3d graphics accelerator card (8mb)
,
windows_min_Star Control®: Origins,windows_min_Star Control®: Origins,windows_req_Star Control®: Origins,windows_req_Star Control®: Origins
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10
процессор,dual core intel or amd,процессор,quad-core intel or amd
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel integrated 520,видео карта,video card with 2gb of video memory
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,26 gb,диск,26 gb
,,,
windows_min_Street Fighter X Tekken,windows_min_Street Fighter X Tekken,windows_req_Street Fighter X Tekken,windows_req_Street Fighter X Tekken
операционная система,windows xp,операционная система,"windows vista, 7 (windows 10 not supported)"
процессор,intel dual core 1.8ghz (or higher) or amd athlon ii x2 (or higher),процессор,intel core2 duo 2.60ghz (or higher) or amd phenom ii x2 (or higher)
оперативная память,1gb (or higher),оперативная память,2gb
диск,10gb of free space,диск,10gb of free space
видео карта,nvidia gf6600 (or higher) or ati x1600 (or higher) with 256mb of,видео карта,nvidia gf8800 (or higher) or ati x1950 (or higher) with 512mb of
directx,9.0c,directx,9.0c
звуковая карта,"directsound compatible, directx 9.0c (or higher) compatible",звуковая карта,"directsound compatible, directx 9.0c (or higher) compatible"
,,,
windows_min_Ben and Ed - Blood Party,windows_min_Ben and Ed - Blood Party,windows_req_Ben and Ed - Blood Party,windows_req_Ben and Ed - Blood Party
операционная система,"windows 7, 32-bit",операционная система,"windows 7, 32-bit"
процессор,intel cpu core i3,процессор,intel cpu core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 460,видео карта,nvidia gpu geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Incredible Adventures of Van Helsing II,windows_min_The Incredible Adventures of Van Helsing II,windows_req_The Incredible Adventures of Van Helsing II,windows_req_The Incredible Adventures of Van Helsing II
операционная система,osx 10.6 (snow leopard),операционная система,osx 10.6 (snow leopard)
процессор,dual core cpu 2.0 ghz,процессор,quad core cpu 2.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,"nvidia 330m, intel hd4000 or amd hd4670",видео карта,nvidia 285m or nvidia 640m or amd hd4870
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Dungeon Siege III,windows_min_Dungeon Siege III,windows_req_Dungeon Siege III,windows_req_Dungeon Siege III
,,,
windows_min_Crazy Taxi,windows_min_Crazy Taxi,windows_req_Crazy Taxi,windows_req_Crazy Taxi
операционная система,windows xp,операционная система,windows 7
процессор,3.0 ghz intel pentium 4,процессор,2.0 ghz intel core 2 duo
оперативная память,2gb,оперативная память,2gb or more
видео карта,"directx 9.0c compatible, nvidia geforce 7300 series, ati radeon™ x1600 video card with 256mb",видео карта,"directx 9.0c/shader3.0 compatible, nvidia geforce 8800 series or higher, ati radeon™ x1900 video card with 512mb"
directx,directx 9.0c,directx,directx 9.0c
диск,240mb hard drive space,диск,4gb hard drive space
,,,
windows_min_Down To One,windows_min_Down To One,windows_req_Down To One,windows_req_Down To One
операционная система,windows 7,операционная система,windows 8.1
процессор,2.4 ghz intel dual core or 1st gen ryzen,процессор,3 ghz intel quad core
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx460 / ati radeon hd 5850,видео карта,ati radeon hd 7970 / nvidia geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,6 gb
звуковая карта,direct-x compatible sound card,звуковая карта,direct-x compatible sound card
,,,
windows_min_Ghost 1.0,windows_min_Ghost 1.0
операционная система,windows xp
процессор,2ghz or faster processer
оперативная память,2 gb
видео карта,512mb vram (nvidia geforce) there can be problems with intel graphic cards
directx,version 8.0
диск,250 mb
,
