процессор,2.2 ghz dual core,процессор,2.2 ghz dual core,процессор,2.2 ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+",видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+",видео карта,"nvidia gtx 510+, radeon hd5900+, or intel hd4000+"
directx,version 10,диск,200 mb,диск,200 mb
,,,,,
windows_min_Chaos,windows_min_Chaos,windows_req_Chaos,windows_req_Chaos
операционная система,"windows 7, 8, 10",операционная система,windows 10
процессор,intel core i5-6400 / amd ryzen 5 1400,процессор,intel cpu core i7 7700 / amd ryzen 7 1700x
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 950 / amd radeon r7 370 2gb graphics memory minimum,видео карта,nvidia gtx 1060 / amd rx580
directx,version 10,directx,version 12
диск,5 gb,диск,5 gb
звуковая карта,windows compatible sound card,звуковая карта,windows compatible soundcard
,,,
windows_min_Florensia,windows_min_Florensia,windows_req_Florensia,windows_req_Florensia
операционная система,windows xp or higher,операционная система,windows xp or higher
процессор,pentium 4 1.3ghz,процессор,"pentium 4 2,4 ghz"
оперативная память,512 mb,оперативная память,1 gb
видео карта,a graphic card thats supports at least directx 9,видео карта,a graphic card thats supports at least directx 9
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_CPRC: Extant Hunters,windows_min_CPRC: Extant Hunters,windows_req_CPRC: Extant Hunters,windows_req_CPRC: Extant Hunters
операционная система,windows 7+,операционная система,windows 10
процессор,"intel i3 (fifth generation+), amd a8-3800",процессор,"intel i5 (sixth generation+), amd ryzen 5"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"intel hd 5500+, or radeon hd 6550d+ integrated graphics",видео карта,nvidia geforce gtx 960 or comparable card with 2gb+ vram
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,8 gb,диск,8 gb
звуковая карта,onboard or discrete sound card capable of stereo output,звуковая карта,onboard or discrete sound card capable of 5.1 surround sound output
,,,
windows_min_Pirates of corsairs,windows_min_Pirates of corsairs,windows_req_Pirates of corsairs,windows_req_Pirates of corsairs
операционная система,windows xp/windows vista/windows 7/8/10,операционная система,windows xp/windows vista/windows 7/8/10
процессор,(cpu): 1.0ghz,процессор,(cpu): 1.0ghz
оперативная память,256 mb,оперативная память,256 mb
видео карта,graphics cards: geforce 6200,видео карта,graphics cards: geforce 6200
,,,
windows_min_Alien Hallway,windows_min_Alien Hallway
операционная система,windows 7/vista/xp
процессор,1.6 ghz
оперативная память,1gb
диск,100mb of free space
видео карта,128 mb directx 9.0c compatible video card with pixelshader 2.0
directx,9.0c
звуковая карта,directx 9.0c compatible sound card
,
windows_min_Surge,windows_min_Surge,windows_req_Surge,windows_req_Surge
операционная система,windows 7,операционная система,windows 7
процессор,intel core i5,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 480 or amd r9 290,видео карта,nvidia gtx 480 or amd r9 290
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_WW2 Zombie Range VR,windows_min_WW2 Zombie Range VR,windows_req_WW2 Zombie Range VR,windows_req_WW2 Zombie Range VR
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-4590 (amd fx 8350),процессор,intel core i7-7700 (amd ryzen 7 1800x)
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 970 (amd radeon r9 290),видео карта,geforce gtx 1060 (radeon rx 580)
directx,version 10,directx,version 11
,,,
windows_min_Rise of the Third Power,windows_min_Rise of the Third Power,windows_req_Rise of the Third Power,windows_req_Rise of the Third Power,macos_min_Rise of the Third Power,macos_min_Rise of the Third Power,macos_req_Rise of the Third Power,macos_req_Rise of the Third Power,linux_min_Rise of the Third Power,linux_min_Rise of the Third Power,linux_req_Rise of the Third Power,linux_req_Rise of the Third Power
операционная система,windows 7 or higher,операционная система,windows 7 or higher,операционная система,"macos 10.10 ""yosemite"" or higher",операционная система,"macos 10.12 ""sierra"" or higher",операционная система,any os released 2013 (e.g. ubuntu 13.04+),операционная система,any os released 2014 (e.g. ubuntu 14.10+)
процессор,intel i3-530 or amd phenom ii x2,процессор,"intel i3-6100, amd a10 7850k",процессор,intel i3-530 or amd phenom ii x2,процессор,"intel i3-6100, amd a10 7850k",процессор,intel i3-530 or amd phenom ii x2,процессор,"intel i3-6100, amd a10 7850k"
оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb,оперативная память,3 gb,оперативная память,4 gb
видео карта,"nvidia geforce gtx 660, amd radeon hd 7870, dx10+ gpu",видео карта,"nvidia geforce gtx 760, amd radeon hd 7950, dx10+ gpu",видео карта,"nvidia geforce gtx 660, amd radeon hd 7870, dx10+ gpu",видео карта,"nvidia geforce gtx 760, amd radeon hd 7950, dx10+ gpu",видео карта,"nvidia geforce gtx 660, amd radeon hd 7870, dx10+ gpu",видео карта,"nvidia geforce gtx 760, amd radeon hd 7950, dx10+ gpu"
directx,version 10,directx,version 10,диск,3 gb,диск,3 gb,диск,3 gb,диск,3 gb
,,,,,,,,,,,
windows_min_Overloop,windows_min_Overloop,macos_min_Overloop,macos_min_Overloop,linux_min_Overloop,linux_min_Overloop
операционная система,windows vista,операционная система,mac os 10.6 +,операционная система,ubuntu 12.04 lts
процессор,intel core™ duo or faster,процессор,intel core™ duo or faster,процессор,intel core™ duo or faster
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,intel hd graphics,видео карта,intel hd graphics
,,,,,
windows_min_Daemonic Runner,windows_min_Daemonic Runner,windows_req_Daemonic Runner,windows_req_Daemonic Runner
операционная система,windows xp 32bit,операционная система,"windows 7, windows 8, windows 10 64bit"
процессор,cpu 1.5 ghz,процессор,cpu 3 ghz 4+ cores
оперативная память,512 mb,оперативная память,1024 mb
видео карта,any,видео карта,any
,,,
windows_min_Weird West,windows_min_Weird West,windows_req_Weird West,windows_req_Weird West
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-2380 / amd fx-6100 (6 * 3300),процессор,intel core i7-6950x (10 * 3000) / amd ryzen 7 2700 (8 * 3200)
оперативная память,6 gb,оперативная память,12 gb
видео карта,geforce gtx 650 ti (1024 mb) / radeon hd 7770 (1024 mb),видео карта,geforce gtx 1050 (2048 vram)/radeon rx 460 (4096 mb)
,,,
windows_min_Crafting Block World,windows_min_Crafting Block World
операционная система,windows vista / windows 7 / windows 8
процессор,1.7+ ghz
оперативная память,1 gb
видео карта,radeon hd5450 ; 256 mb or higher
,
windows_min_Shiny,windows_min_Shiny
операционная система,windows 7 / 8.1 / 10
процессор,intel core i3
оперативная память,4 gb
видео карта,"geforce gtx 550, directx 11 compatible"
directx,version 11
диск,5000 mb
,
windows_min_Dawn of Fear,windows_min_Dawn of Fear,windows_req_Dawn of Fear,windows_req_Dawn of Fear
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 650,видео карта,nvidia geforce gtx 960
directx,version 11,directx,version 11
,,,
windows_min_The Chronicles of Robin Hood - The King of Thieves,windows_min_The Chronicles of Robin Hood - The King of Thieves,windows_req_The Chronicles of Robin Hood - The King of Thieves,windows_req_The Chronicles of Robin Hood - The King of Thieves
операционная система,windows xp/vista/7/8/10,операционная система,windows 7 / 8 / 10
процессор,1.0ghz cpu,процессор,1.2ghz cpu
оперативная память,256 mb,оперативная память,256 mb
видео карта,128mb,видео карта,256mb
directx,version 9.0,directx,—
,,,
windows_min_Battle of cubes,windows_min_Battle of cubes
операционная система,windows vista or higher
процессор,dual core cpu
оперативная память,1 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
,
windows_min_Big Buck Hunter Arcade,windows_min_Big Buck Hunter Arcade,windows_req_Big Buck Hunter Arcade,windows_req_Big Buck Hunter Arcade
операционная система,window 7,операционная система,windows 10
процессор,intel core i3-6100 3.7ghz,процессор,intel core i7-2600 cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 530 graphics,видео карта,nvidia geforce gtx 660
directx,version 10,directx,version 11
,,,
windows_min_Lost Sea,windows_min_Lost Sea,windows_req_Lost Sea,windows_req_Lost Sea
операционная система,ubuntu 12,операционная система,ubuntu 12
процессор,dual core,процессор,quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 460,видео карта,geforce 650
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_AVA: Dog Tag,windows_min_AVA: Dog Tag,windows_req_AVA: Dog Tag,windows_req_AVA: Dog Tag
операционная система,windows 7/8.1/10 64bit,операционная система,windows 7/8.1/10 64bit
процессор,core2 duo 2.4ghz / amd athlon 64 x2 2.66ghz,процессор,intel cpu core i5 or higher
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce 9800gt / radeon hd6750,видео карта,nvidia gtx 770 / amd radeon hd r9280x
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_FALL,windows_min_FALL,windows_req_FALL,windows_req_FALL
операционная система,"xp,7,8,10",операционная система,"xp,7,8,10"
процессор,intel core2 duo,процессор,intel corei7
оперативная память,100 mb,оперативная память,500 mb
видео карта,geforce 980gt,видео карта,geforce 600 series
directx,version 9.0c,directx,—
диск,100 mb,диск,200 mb
,,,
windows_min_CRSED: F.O.A.D.,windows_min_CRSED: F.O.A.D.,windows_req_CRSED: F.O.A.D.,windows_req_CRSED: F.O.A.D.
операционная система,windows 7 64bit /8 64bit /10 64bit,операционная система,windows 7 64bit /8 64bit /10 64bit
процессор,intel core i3,процессор,intel core i7
оперативная память,10 gb,оперативная память,10 gb
видео карта,"nvidia geforce 560, amd radeon 77xx",видео карта,"nvidia geforce 1060, amd radeon rx480"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,8 gb
,,,
windows_min_D.R.I.L.L.,windows_min_D.R.I.L.L.,windows_req_D.R.I.L.L.,windows_req_D.R.I.L.L.
операционная система,10,операционная система,10
процессор,i5,процессор,i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce 1060 gtx,видео карта,geforce 1070 gtx
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Eddy ~Eddy Violet~,windows_min_Eddy ~Eddy Violet~,windows_req_Eddy ~Eddy Violet~,windows_req_Eddy ~Eddy Violet~
операционная система,windows xp,операционная система,windows 10
процессор,inter(r)celeron(r),процессор,intel i7
оперативная память,512 mb,оперативная память,2048 mb
видео карта,sis,видео карта,nvidia geforce gtx 960m
диск,300 mb,диск,600 mb
,,,
windows_min_Atomic Adam: Episode 1,windows_min_Atomic Adam: Episode 1,windows_req_Atomic Adam: Episode 1,windows_req_Atomic Adam: Episode 1
операционная система,windows xp,операционная система,windows 7
процессор,2.0ghz,процессор,3.0ghz or higher
оперативная память,4 gb,оперативная память,8 mb
видео карта,direct x 9.0c compatible graphics card,видео карта,direct x 9.0c compatible graphics card
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Korpus: Buried over the Black Soil,windows_min_Korpus: Buried over the Black Soil
операционная система,windows 7
процессор,intel i3 @ 2.00 ghz
оперативная память,2 gb
видео карта,nvidia geforce gt 730
,
windows_min_Lord of the Dark Castle,windows_min_Lord of the Dark Castle,windows_req_Lord of the Dark Castle,windows_req_Lord of the Dark Castle,macos_min_Lord of the Dark Castle,macos_min_Lord of the Dark Castle,macos_req_Lord of the Dark Castle,macos_req_Lord of the Dark Castle,linux_min_Lord of the Dark Castle,linux_min_Lord of the Dark Castle,linux_req_Lord of the Dark Castle,linux_req_Lord of the Dark Castle
операционная система,xp/ vista / windows 7 / windows 8,операционная система,windows 7,операционная система,mac os x 10.5,операционная система,mac os x 10.7,операционная система,ubuntu 14,операционная система,ubuntu 14
оперативная память,2 gb,оперативная память,4 gb,оперативная память,1 gb,оперативная память,4 gb,оперативная память,200 mb,оперативная память,200 mb
диск,350 mb,диск,350 mb,диск,350 mb,диск,350 mb,дополнительно,java runtime (jre or openjdk) is needed to run the game. steam achievements currently not supported on linux.,дополнительно,java runtime (jre or openjdk) is needed to run the game. steam achievements currently not supported on linux.
дополнительно,jre is bundled with the game. steam achievements only supported for systems.,дополнительно,jre is bundled with the game. steam achievements only supported for systems.,дополнительно,java runtime (jre) needs to be installed. steam achievements currently not supported on mac.,дополнительно,java runtime (jre) needs to be installed. steam achievements currently not supported on mac.,,,,
,,,,,,,,,,,
windows_min_Filthy Lucre,windows_min_Filthy Lucre,windows_req_Filthy Lucre,windows_req_Filthy Lucre
операционная система,windows 7,операционная система,windows 10
процессор,i5-4440,процессор,i7 4790 3.6ghz
оперативная память,8 gb,оперативная память,16 gb
