диск,1 gb,диск,1 gb
,,,
windows_min_Wildcat Gun Machine,windows_min_Wildcat Gun Machine,windows_req_Wildcat Gun Machine,windows_req_Wildcat Gun Machine
операционная система,"windows 8.1, 10 or 11 64bit",операционная система,windows 10 or 11 64bit
процессор,"intel core™ i5-6xxx, amd fx™-6300",процессор,"intel core™ i7-5xxx, amd fx™-8370,"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 750 or amd radeon™ r7 265,видео карта,"nvidia geforce gtx 970, amd radeon™ rx 480 with 8gb vram"
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Earth Analog,windows_min_Earth Analog
операционная система,windows 10
процессор,"intel or amd, 2ghz"
оперативная память,1 gb
видео карта,nvidia geforce 1060 / amd radeon rx 580
диск,500 mb
,
windows_min_Cell HD: emergence,windows_min_Cell HD: emergence,windows_req_Cell HD: emergence,windows_req_Cell HD: emergence
операционная система,windows xp,операционная система,any
процессор,dual core,процессор,quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,graphics card compatible with xna hidef profile (roughly directx 10),видео карта,graphics card compatible with xna hidef profile (roughly directx 10)
directx,version 10,directx,version 10
диск,500 mb,диск,500 mb
,,,
windows_min_Into the Belly of the Beast,windows_min_Into the Belly of the Beast,windows_req_Into the Belly of the Beast,windows_req_Into the Belly of the Beast
операционная система,mac os x 10.9,операционная система,mac os x el capitan (bzw. aktuelles os x)
процессор,"dualcore 2,5 ghz",процессор,"quadcore 3,5 ghz"
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 675mx 2gb,видео карта,gtx 780m 4gb
directx,version 9.0,directx,version 11
,,,
windows_min_Vzerthos: The Heir of Thunder,windows_min_Vzerthos: The Heir of Thunder,windows_req_Vzerthos: The Heir of Thunder,windows_req_Vzerthos: The Heir of Thunder
операционная система,windows 7,операционная система,"windows 7, windows 10"
процессор,intel atom n2800 ( 1.86 ghz dual core ),процессор,amd athlon ii x4 635 ( 2.9 ghz quad core )
оперативная память,512 mb,оперативная память,1 gb
видео карта,intel gma 3600 graphics (integrated),видео карта,nvidia geforce gt 240 ( 1gb )
directx,version 9.0c,directx,version 9.0c
диск,256 mb,диск,256 mb
,,,
windows_min_Skeletal Dance Party,windows_min_Skeletal Dance Party,macos_min_Skeletal Dance Party,macos_min_Skeletal Dance Party,linux_min_Skeletal Dance Party,linux_min_Skeletal Dance Party
операционная система,windows 7,операционная система,mac os x 10.9+,операционная система,ubuntu 12.04
процессор,2 ghz dual core,процессор,2 ghz dual core,процессор,2 ghz dual core
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,opengl 3.2+
directx,version 9.0,диск,512 mb,диск,512 mb
диск,512 mb,дополнительно,if you are unsure if you can run the game please try the demo linked on skeletaldance.party,дополнительно,if you are unsure if you can run the game please try the demo linked on skeletaldance.party
,,,,,
windows_min_The Necromancer's Castle,windows_min_The Necromancer's Castle,windows_req_The Necromancer's Castle,windows_req_The Necromancer's Castle
операционная система,windows 7,операционная система,windows 7
процессор,dual core 2.4 ghz,процессор,quad core 2.4 ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia geforce gt 635,видео карта,nvidia geforce gtx 460
directx,version 10,directx,version 10
,,,
windows_min_Switch 'N' Shoot,windows_min_Switch 'N' Shoot,macos_min_Switch 'N' Shoot,macos_min_Switch 'N' Shoot,linux_min_Switch 'N' Shoot,linux_min_Switch 'N' Shoot
операционная система,windows xp sp2,операционная система,mac os x 10.8,операционная система,ubuntu 12.04 / steamos
