windows_min_Mass Effect 3,windows_min_Mass Effect 3,windows_req_Mass Effect 3,windows_req_Mass Effect 3
видео карта,nvidia geforce gtx 660 2gb or amd radeon hd 7850 2gb,видео карта,nvidia geforce gtx 1060 6gb or amd radeon rx 480 8gb
directx,version 11,directx,version 11
,,,
windows_min_Dead Space™ 3,windows_min_Dead Space™ 3
операционная система,"for (sp3), vista (sp1) or windows 7"
процессор,2.8 ghz
оперативная память,1 gb
видео карта,"nvidia geforce 6800 (7300, 7600 gs, and 8500 are below minimum system requirements), ati x1600 pro (x1300, x1300 pro and hd2400 are below minimum system requirements), 256mb video card and shader model 3.0 required"
directx,version 9.0c
сеть,широкополосное подключение
диск,10 gb
,
windows_min_A Way Out,windows_min_A Way Out,windows_req_A Way Out,windows_req_A Way Out
операционная система,"windows 7, 8.1 or windows 10",операционная система,"windows 7, 8.1 or windows 10"
процессор,"intel core i3-2100t @ 2.5ghz/amd fx 6100,",процессор,intel core i5 3570k; amd ryzen 3 1300x
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 650ti 2gb, amd radeon hd 7750 2gb",видео карта,nvidia gtx 960; amd r9 290
,,,
windows_min_Need for Speed™ Most Wanted,windows_min_Need for Speed™ Most Wanted,windows_req_Need for Speed™ Most Wanted,windows_req_Need for Speed™ Most Wanted
операционная система,windows vista (service pack 2 and all available windows updates) 32-bit,операционная система,windows 7 (service pack 1 and all available windows updates)
процессор,2 ghz dual core (core 2 duo 2.4 ghz or althon x2 2.7 ghz),процессор,quad-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10.1 compatible with 512 mb (ati radeon 3000, 4000, 5000 or 6000 series, with ati radeon 3870 or higher performance)",видео карта,directx 11 compatible with 1024 mb (nvidia geforce gtx 560 or ati radeon 6950)
диск,20 gb,диск,20 gb
,,,
windows_min_SAMURAI SHODOWN NEOGEO COLLECTION,windows_min_SAMURAI SHODOWN NEOGEO COLLECTION,windows_req_SAMURAI SHODOWN NEOGEO COLLECTION,windows_req_SAMURAI SHODOWN NEOGEO COLLECTION
операционная система,windows 10,операционная система,windows 10
процессор,intel i5 @ 2.5ghz or amd equivalent.,процессор,intel i5 @ 2.7ghz or amd equivalent.
оперативная память,8 gb,оперативная память,16 gb
видео карта,"ati radeon rx 560 2gb, nvidia geforce gtx 900",видео карта,"ati radeon r9 280, nvidia geforce gtx 1050 series"
directx,version 11,directx,version 11
диск,11 gb,диск,11 gb
звуковая карта,directx compatible soundcard or onboard chipset,звуковая карта,directx compatible soundcard or onboard chipset
,,,
windows_min_Need for Speed™ Payback,windows_min_Need for Speed™ Payback,windows_req_Need for Speed™ Payback,windows_req_Need for Speed™ Payback
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 6300 @ 3.8ghz or amd fx 8150 @ 3.6ghz with 4 hardware threads,процессор,intel i5 4690k @ 3.5ghz or amd fx 8350 @ 4.0ghz with 4 hardware threads
оперативная память,6 gb,оперативная память,8 gb
