windows_min_Cowboy,windows_min_Cowboy
операционная система,windows 7/8/8.1/10
процессор,intel 2.4ghz
оперативная память,2048 mb
видео карта,directx 9.0c and shader model 3.0at least 512mb
диск,756 mb
,
windows_min_I was rebuilt,windows_min_I was rebuilt,windows_req_I was rebuilt,windows_req_I was rebuilt
операционная система,ubuntu 14,операционная система,ubuntu 18
процессор,intel i3,процессор,intel i7
оперативная память,100 mb,оперативная память,200 mb
видео карта,opengl - capable graphics card,видео карта,opengl - capable graphics card
directx,version 9.0,directx,version 11
диск,35 mb,диск,50 mb
,,,
windows_min_Trivia Vault: Mini Mixed Trivia 4,windows_min_Trivia Vault: Mini Mixed Trivia 4
операционная система,win 7 32-bit or higher
процессор,2.0 ghz or higher
оперативная память,500 mb
видео карта,500 megs vram
directx,version 9.0
,
windows_min_Armored Evolution,windows_min_Armored Evolution
операционная система,mac os x 10.8+
процессор,2ghz or faster
оперативная память,2 gb
видео карта,intel hd 3000
сеть,широкополосное подключение
диск,2 gb
,
windows_min_Funky Karts,windows_min_Funky Karts
операционная система,windows 10
процессор,dual core
оперативная память,128 mb
directx,version 11
,
windows_min_9Dragons : Kung Fu Arena,windows_min_9Dragons : Kung Fu Arena,windows_req_9Dragons : Kung Fu Arena,windows_req_9Dragons : Kung Fu Arena
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 2.4ghz,процессор,intel i5 3.4ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 650,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_1993 Space Machine,windows_min_1993 Space Machine,windows_req_1993 Space Machine,windows_req_1993 Space Machine
операционная система,mountain lion,операционная система,mountain lion
процессор,inte core 2 duo,процессор,inte core 2 duo
оперативная память,3 gb,оперативная память,6 gb
видео карта,ati radeon hd 2400 xt 128 mb,видео карта,ati radeon hd 2400 xt 128 mb
directx,version 9.0,directx,version 9.0
диск,200 mb,диск,200 mb
звуковая карта,sound blaster live,звуковая карта,sound blaster live
,,,
windows_min_CYCOM: Cybernet Combat,windows_min_CYCOM: Cybernet Combat,windows_req_CYCOM: Cybernet Combat,windows_req_CYCOM: Cybernet Combat
операционная система,windows 7,операционная система,windows 10
процессор,i5-4760k or i7-3820qm,процессор,i5-6600k or i7-6700hq
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx 970 or rx 470,видео карта,gtx 1060 or rx 480
directx,version 11,directx,version 11
,,,
windows_min_Rynn's Adventure: Trouble in the Enchanted Forest,windows_min_Rynn's Adventure: Trouble in the Enchanted Forest
операционная система,os x 10.7 (lion)
процессор,2.4ghz intel core 2 duo
оперативная память,2 gb
видео карта,nvidia geforce 320m
directx,version 9.0c
,
windows_min_Make Me LAG,windows_min_Make Me LAG
операционная система,windows 7
процессор,1.87 ghz
оперативная память,1 gb
видео карта,ati mobility radeon hd 5145
,
windows_min_Stolen Rage,windows_min_Stolen Rage,windows_req_Stolen Rage,windows_req_Stolen Rage
операционная система,winxp/win7/win10,операционная система,winxp/win7/win10
