windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law
directx,version 11
сеть,широкополосное подключение
диск,1 gb
,
windows_min_Smelter,windows_min_Smelter
операционна€ система,windows
процессор,i5 2.5ghz
оперативна€ пам€ть,4 gb
,
windows_min_Mega Man X4 Sound Collection,windows_min_Mega Man X4 Sound Collection,windows_req_Mega Man X4 Sound Collection,windows_req_Mega Man X4 Sound Collection
операционна€ система,windows 7 (64bit),операционна€ система,windows10 (64bit)
процессор,intel coreЩ i3 550 3.2ghz or amd equivalent,процессор,intel coreЩ i5 3570 3.4ghz or amd equivalent
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 660 or ati radeonЩ hd 7850,видео карта,nvidia geforce gtx 760
directx,version 10,directx,version 11
диск,341 mb,диск,7000 mb
storage (high-quality audio),additional 444 mb,storage (high-quality audio),Ч
звукова€ карта,directsound (directx 10.0c ),звукова€ карта,directsound (directx 10.0c )
,,,
"windows_min_Kung Fu Panda: Jombie Monkey, Jombie Shifu, Jombie Crane","windows_min_Kung Fu Panda: Jombie Monkey, Jombie Shifu, Jombie Crane","windows_req_Kung Fu Panda: Jombie Monkey, Jombie Shifu, Jombie Crane","windows_req_Kung Fu Panda: Jombie Monkey, Jombie Shifu, Jombie Crane"
операционна€ система,"windows xp sp3, windows vista sp1, windows 7",операционна€ система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,512 mb video card using shader model 3 or higher (performance equivalent to amd radeon 4350 or nvidia geforce 7900),видео карта,1 gb video card using shader model 3 or higher (performance equivalent to nvidia 9800 )
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Heliborne - US Marine Corps Camouflage Pack,windows_min_Heliborne - US Marine Corps Camouflage Pack,windows_req_Heliborne - US Marine Corps Camouflage Pack,windows_req_Heliborne - US Marine Corps Camouflage Pack,macos_min_Heliborne - US Marine Corps Camouflage Pack,macos_min_Heliborne - US Marine Corps Camouflage Pack,macos_req_Heliborne - US Marine Corps Camouflage Pack,macos_req_Heliborne - US Marine Corps Camouflage Pack,linux_min_Heliborne - US Marine Corps Camouflage Pack,linux_min_Heliborne - US Marine Corps Camouflage Pack,linux_req_Heliborne - US Marine Corps Camouflage Pack,linux_req_Heliborne - US Marine Corps Camouflage Pack
операционна€ система,windows 7,операционна€ система,Ч,операционна€ система,mountain lion 10.8.5,операционна€ система,el capitan 10.11.6,операционна€ система,ubuntu 12.04+ / steamos+,операционна€ система,ubuntu 16.04+ / steamos+
процессор,2.3 ghz,процессор,Ч,процессор,2.3 ghz,процессор,Ч,процессор,2.3 ghz,процессор,Ч
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
,,,,,,,,,,,
windows_min_HyperParasite,windows_min_HyperParasite,windows_req_HyperParasite,windows_req_HyperParasite
операционна€ система,windows 7/8.1/10 x64,операционна€ система,windows 7/8.1/10 x64
процессор,intel core i5-760 (4 * 2800) / amd athlon ii x4 645 am3 (4 * 3100),процессор,intel core i5-4670k (4 * 3400) / amd fx-6350 (6 * 3900)
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,geforce gtx 460 (1024 mb) / radeon hd 6850 (1024 mb),видео карта,geforce gtx 660 (2048 mb) / radeon hd 7970 (3072 mb)
,,,
windows_min_Russian Prisoner VS Nazi Zombies,windows_min_Russian Prisoner VS Nazi Zombies
операционна€ система,windows xp\vista\7\8\10
процессор,intel dual-core 2ghz or amd dual-core 2ghz
оперативна€ пам€ть,2 gb
видео карта,"nvidia geforce 400 series or amd radeon hd 6000 series, 1gb video card (minimum shader model 2.0)"
диск,1 gb
,
windows_min_Midnight Ghost Hunt,windows_min_Midnight Ghost Hunt,windows_req_Midnight Ghost Hunt,windows_req_Midnight Ghost Hunt
операционна€ система,windows 7,операционна€ система,Ч
процессор,intel i3-4130 or amd ryzen 3,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,nvidia geforce gtx 1060 / radeon rx 580 with at least 4gb vram,видео карта,Ч
directx,version 11,directx,Ч
сеть,широкополосное подключение,сеть,Ч
диск,25 gb,диск,Ч
,,,
windows_min_Zero Strain,windows_min_Zero Strain,windows_req_Zero Strain,windows_req_Zero Strain
операционна€ система,windows 7/8/10 ( only),операционна€ система,windows 10 ( only)
процессор,intel core i3 6100 3.7 ghz or amd ryzen 3 1200 3.1 ghz,процессор,intel core i5 6500 3.2 ghz or amd ryzen 5 1500x 3.5 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 750 ti or amd radeon r7 360 (vram 2gb),видео карта,nvidia geforce gtx 1050 ti or amd radeon rx 570 (vram 4gb)
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Closers: Free Starter Pack,windows_min_Closers: Free Starter Pack,windows_req_Closers: Free Starter Pack,windows_req_Closers: Free Starter Pack
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Frontier Outskirts VR,windows_min_The Frontier Outskirts VR,windows_req_The Frontier Outskirts VR,windows_req_The Frontier Outskirts VR
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel dual core 2.8 ghz,процессор,intel core i7 3.07 ghz
оперативна€ пам€ть,16 gb,оперативна€ пам€ть,24 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1080
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Hotel Transylvania 3: Monsters Overboard,windows_min_Hotel Transylvania 3: Monsters Overboard,windows_req_Hotel Transylvania 3: Monsters Overboard,windows_req_Hotel Transylvania 3: Monsters Overboard
операционна€ система,windows 7 or higher,операционна€ система,windows 7 or higher
процессор,intel core i3-3220 or amd equivalent,процессор,intel core i5-3570k or amd equivalent
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,intel hd graphics 4000 or nvidia geforce gt640,видео карта,nvidia geforce gtx750 ti
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
