windows_min_Epic Skater 2,windows_min_Epic Skater 2,windows_req_Epic Skater 2,windows_req_Epic Skater 2
операционная система,windows vista,операционная система,windows 8.1
процессор,2.4 ghz intel i3,процессор,2.4 ghz intel i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gt 460 or amd radeon hd 5550 w/ 1024 mb,видео карта,nvidia gtx 660 ti or amd radeon hd 7870 w/ 1024 mb
диск,500 mb,диск,1 gb
,,,
windows_min_Rum Ram,windows_min_Rum Ram,windows_req_Rum Ram,windows_req_Rum Ram
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i7-2820qm,процессор,intel core i5-7400
оперативная память,2 gb,оперативная память,6 gb
видео карта,nvidia geforce gt555m,видео карта,geforce gtx1050
диск,300 mb,диск,300 mb
,,,
windows_min_Tech Support 2077,windows_min_Tech Support 2077
операционная система,windows 10
процессор,intel core i5-4590 (amd fx 8350)
оперативная память,16 gb
видео карта,geforce gtx 970 (amd radeon r9 290)
,
windows_min_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_min_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_req_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51,windows_req_ESCAPE FROM VOYNA: ALIENS FROM ARENA 51
операционная система,"windows vista ,7, 8, windows 10",операционная система,"windows vista ,7, 8, windows 10"
процессор,pentium 4 1 ghz (),процессор,pentium 4 2.66 ghz ()
оперативная память,5 gb,оперативная память,8 gb
видео карта,ati or nvidia card 512 mb,видео карта,"nvidia gtx 970 4gb, amd radeon r9 290 4gb"
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
звуковая карта,directx 9.0 compatible sound card,звуковая карта,directx 9.0 compatible sound card
,,,
windows_min_ACE COMBAT™ 7: SKIES UNKNOWN - ADFX-01 Morgan Set,windows_min_ACE COMBAT™ 7: SKIES UNKNOWN - ADFX-01 Morgan Set,windows_req_ACE COMBAT™ 7: SKIES UNKNOWN - ADFX-01 Morgan Set,windows_req_ACE COMBAT™ 7: SKIES UNKNOWN - ADFX-01 Morgan Set
операционная система,windows 7 / 8 / 8.1 / 10 ( os required),операционная система,windows 7 / 8 / 8.1 / 10 ( os required)
процессор,intel core i3-7100,процессор,intel core i5-7500
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti(2gb),видео карта,nvidia geforce gtx 1060 (3gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Infested Nation,windows_min_Infested Nation,windows_req_Infested Nation,windows_req_Infested Nation
операционная система,microsoft windows 7 / 8.1 / 10,операционная система,microsoft windows 7 / 8.1 / 10
процессор,1.2 ghz of faster,процессор,1.4 ghz of faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 8 compatible graphics card with 512mb video memory,видео карта,directx 8 compatible graphics card with 512mb video memory
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_One Piece Burning Blood - Wanted Pack 2,windows_min_One Piece Burning Blood - Wanted Pack 2,windows_req_One Piece Burning Blood - Wanted Pack 2,windows_req_One Piece Burning Blood - Wanted Pack 2
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3-4170 @ 3.70ghz,процессор,intel core i5-4690k @3.50ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia@ geforce@ gtx 460,видео карта,nvidia@ geforce@ gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
,,,
windows_min_Dying Light - Left 4 Dead 2 Weapon Pack,windows_min_Dying Light - Left 4 Dead 2 Weapon Pack,windows_req_Dying Light - Left 4 Dead 2 Weapon Pack,windows_req_Dying Light - Left 4 Dead 2 Weapon Pack
операционная система,windows 7 / windows 8 / windows 8.1,операционная система,windows 7 / windows 8 / windows 8.1
процессор,intel core™ i5-2500 @3.3 ghz / amd fx-8320 @3.5 ghz,процессор,intel core™ i5-4670k @3.4 ghz / amd fx-8350 @4.0 ghz
оперативная память,4 gb ddr3,оперативная память,8 gb ddr3
диск,40 gb free space,диск,40 gb free space
видео карта,nvidia geforce gtx 560 / amd radeon™ hd 6870 (1gb vram),видео карта,nvidia geforce gtx 780 / amd radeon™ r9 290 (2gb vram)
directx,version 11,directx,version 11
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Dragon Nest Europe,windows_min_Dragon Nest Europe,windows_req_Dragon Nest Europe,windows_req_Dragon Nest Europe
операционная система,windows xp,операционная система,window 7(64bit)
процессор,intel(r) core(tm) duo cpu e8400 or higher (or core 2 quad or higher),процессор,intel(r) pentium core i3 530 or higher (or i5 or higher)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gegorce 9500 gt,видео карта,nvidia gegorce gtx 250
directx,version 9.0c,directx,version 9.0c
,,,
"windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Add ""DEAD OR ALIVE 3 Music""","windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Add ""DEAD OR ALIVE 3 Music""","windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Add ""DEAD OR ALIVE 3 Music""","windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Add ""DEAD OR ALIVE 3 Music"""
операционная система,windows vista/7/8/8.1 (32bit/64bit),операционная система,windows vista/7/8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативная память,2 gb,оперативная память,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directx 9.0c over,звуковая карта,directx 9.0c over
,,,
windows_min_Captain Bones,windows_min_Captain Bones,windows_req_Captain Bones,windows_req_Captain Bones
операционная система,requires a and operating system,операционная система,requires a and operating system
процессор,quad core 3.2 ghz,процессор,quad core 3.40 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 or equal amd video card,видео карта,nvidia geforce gtx 970 or equal amd video card
directx,version 11,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Soldiers Of Freedom,windows_min_Soldiers Of Freedom
операционная система,windows 7
процессор,intel core i5-4590 ( )
оперативная память,8 gb
видео карта,geforce gtx 970 ( )
диск,3600 mb
,
windows_min_Closers: Premium Starter Pack,windows_min_Closers: Premium Starter Pack,windows_req_Closers: Premium Starter Pack,windows_req_Closers: Premium Starter Pack
операционная система,windows 7,операционная система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Persona 5 Costume DLC,windows_min_Persona 5 Costume DLC
операционная система,windows 7 service pack 1
процессор,intel i5 5th gen @ 2.7ghz or amd a10 7th gen @ 3.0ghz
оперативная память,4 gb
видео карта,nvidia gtx 750 ti or amd r7 265
directx,version 11
диск,18 gb
,
