windows_min_City 13,windows_min_City 13
операционная система,microsoft windows 7/8/8.1/10
процессор,intel core i3-3200
оперативная память,2 gb
видео карта,gt730
диск,100 mb
,
windows_min_League of Angels-Heaven's Fury,windows_min_League of Angels-Heaven's Fury
операционная система,windows7 32bit
процессор,intel(r) core(tm) i3-4160 cpu@3.60ghz
оперативная память,2 gb
видео карта,1024mb
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_SCP: Escape Together,windows_min_SCP: Escape Together,windows_req_SCP: Escape Together,windows_req_SCP: Escape Together
операционная система,windows 10,операционная система,—
процессор,intel i5-6600k,процессор,—
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970,видео карта,—
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,—
,,,
windows_min_Surviv.io - 2D Battle Royale,windows_min_Surviv.io - 2D Battle Royale,windows_req_Surviv.io - 2D Battle Royale,windows_req_Surviv.io - 2D Battle Royale
операционная система,macos 10.10,операционная система,macos 10.10
процессор,intel,процессор,intel
оперативная память,1 gb,оперативная память,2 gb
видео карта,integrated graphics,видео карта,dedicated graphics
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Hidden Deep,windows_min_Hidden Deep
операционная система,"ms windows 7, 8, 10"
процессор,intel core2duo e7400
оперативная память,4 gb
видео карта,intel hd graphics 3000
directx,version 9.0c
,
windows_min_Omno: Prologue,windows_min_Omno: Prologue
операционная система,"windows 7, windows 8 or windows 10"
процессор,intel or amd dual core cpu
оперативная память,4 gb
видео карта,directx 10 feature level amd or nvidia card with 1 gb vram
directx,version 10
,
windows_min_Rad Rocket,windows_min_Rad Rocket,windows_req_Rad Rocket,windows_req_Rad Rocket
операционная система,windows 7,операционная система,windows 7/8/10
процессор,intel celeron n4000 / amd a4-5300 apu,процессор,quad core
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 620 / radeon vega 8 / nvidia gtx 650,видео карта,amd rx 480 / nvidia gtx 1050
directx,version 11,directx,version 11
диск,7 gb,диск,7 gb
,,,
windows_min_Override 2: Super Mech League,windows_min_Override 2: Super Mech League
операционная система,windows 7/8.1/10
процессор,intel core i5-760 2.8 ghz / amd athlon x4 740 3.2 ghz
оперативная память,8 gb
видео карта,nvidia geforce gtx 660 (2 gb vram) / amd radeon hd 7870 (2 gb vram)
directx,version 11
,
windows_min_Block Arena,windows_min_Block Arena,windows_req_Block Arena,windows_req_Block Arena
операционная система,windows 7,операционная система,windows 10
процессор,dual core 2.0 ghz,процессор,intel core i5
оперативная память,2048 mb,оперативная память,4096 mb
видео карта,intel hd 520,видео карта,geforce gtx 660
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_War Mongrels,windows_min_War Mongrels,windows_req_War Mongrels,windows_req_War Mongrels
операционная система,windows 7 (service pack 1) / windows 8 / windows 8.1 / windows 10 / ( only),операционная система,windows 7 (service pack 1) / windows 8 / windows 8.1 / windows 10 / ( only)
процессор,amd ryzen 5 1600 or intel core i5-7400.,процессор,amd ryzen 5 2600 or intel core i7-4790.
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 950 or amd radeon r9 270. at least 2gb of dedicated vram.,видео карта,nvidia geforce gtx 1650 or amd radeon rx 470. at least 4gb of dedicated vram.
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,35 gb,диск,35 gb
,,,
windows_min_The Last Sunshine: Rekindled,windows_min_The Last Sunshine: Rekindled,windows_req_The Last Sunshine: Rekindled,windows_req_The Last Sunshine: Rekindled
операционная система,windows 10,операционная система,windows 10
процессор,quad core,процессор,quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx670,видео карта,nvidia geforce gtx670
directx,version 9.0,directx,version 9.0
диск,4 gb,диск,4 gb
,,,
windows_min_Propagation VR,windows_min_Propagation VR,windows_req_Propagation VR,windows_req_Propagation VR
операционная система,windows 10 (s),операционная система,windows 10 (s)
процессор,intel core i5-7300hq equivalent,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060 equivalent,видео карта,nvidia gtx 1070
,,,
windows_min_Contraband Police: Prologue,windows_min_Contraband Police: Prologue,windows_req_Contraband Police: Prologue,windows_req_Contraband Police: Prologue
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 750,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_SCP: Labrat,windows_min_SCP: Labrat,windows_req_SCP: Labrat,windows_req_SCP: Labrat
операционная система,windows 7 / 8.1 / 10,операционная система,windows 7 / 8.1 / 10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i5-4590 / amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_HYPERVIOLENT,windows_min_HYPERVIOLENT,windows_req_HYPERVIOLENT,windows_req_HYPERVIOLENT
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-7400,процессор,intel i7-7700
оперативная память,8 gb,оперативная память,16 mb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1660
directx,version 9.0,directx,version 9.0
диск,2500 mb,диск,2500 mb
,,,
windows_min_Cube Worlds Survival,windows_min_Cube Worlds Survival,windows_req_Cube Worlds Survival,windows_req_Cube Worlds Survival
операционная система,"windows 8.1, windows 10",операционная система,"windows 8.1, windows 10"
процессор,"amd fx 6300 @ 3.8 ghz, ryzen 3 - 1200, intel core i5 2400 @ 3.1 ghz",процессор,"amd fx-8350 @ 4.0 ghz, ryzen 5 - 1400, intel core i7-3770 @ 3.5 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"amd radeon r9 285, nvidia geforce gtx 660",видео карта,"amd radeon r9 290, nvidia geforce gtx 970"
directx,version 10,directx,version 11
,,,
windows_min_JUSTICE SUCKS: Tactical Vacuum Action,windows_min_JUSTICE SUCKS: Tactical Vacuum Action,windows_req_JUSTICE SUCKS: Tactical Vacuum Action,windows_req_JUSTICE SUCKS: Tactical Vacuum Action
операционная система,windows 7,операционная система,windows 7
процессор,2.8ghz cpu quad core,процессор,3.2ghz cpu quad core
видео карта,geforce gtx 860,видео карта,geforce gtx 960
,,,
windows_min_Action Taimanin,windows_min_Action Taimanin,windows_req_Action Taimanin,windows_req_Action Taimanin
операционная система,mac os x 10.6,операционная система,—
процессор,2.6 ghz,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,directx 11 compatible,видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Anuchard,windows_min_Anuchard,windows_req_Anuchard,windows_req_Anuchard
операционная система,mac os x 10.5,операционная система,mac os x 10.5
процессор,2.33 ghz or faster,процессор,2.33 ghz or faster
оперативная память,2 gb,оперативная память,2 gb
видео карта,512 mb display memory,видео карта,512 mb display memory
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Blind Fate: Edo no Yami,windows_min_Blind Fate: Edo no Yami,windows_req_Blind Fate: Edo no Yami,windows_req_Blind Fate: Edo no Yami
операционная система,windows 10 x64,операционная система,windows 10 x64
процессор,intel core i5-9600,процессор,intel core i5-9600k / amd fx-6350 (6 * 3900)
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 870 (2048 mb),видео карта,geforce gtx 970 (4096 mb)
directx,version 11,directx,version 11
,,,
windows_min_Gemini,windows_min_Gemini
операционная система,windows 7
процессор,intel celeron @2.80ghz
оперативная память,2000 mb
видео карта,"integrated gpu, 128mb"
,
windows_min_NECROSIS : RECONFIGURATED,windows_min_NECROSIS : RECONFIGURATED,windows_req_NECROSIS : RECONFIGURATED,windows_req_NECROSIS : RECONFIGURATED
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3 3220,процессор,intel core i5 7400
оперативная память,6 gb,оперативная память,8 gb
видео карта,directx 11 gpu with at least 2gb vram.,видео карта,nvidia geforce gtx 1060 6gb // amd rx 580 4gb
directx,version 11,directx,version 11
диск,13 gb,диск,13 gb
,,,
windows_min_Fractal Fury,windows_min_Fractal Fury,windows_req_Fractal Fury,windows_req_Fractal Fury
операционная система,windows 10 (s only),операционная система,windows 10 (s only)
процессор,4 cores,процессор,intel i5-3570
оперативная память,4 mb,оперативная память,8 mb
видео карта,2 gb vram,видео карта,"2-4 gb, geforce gtx 670"
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Simple FPS Aim Trainer,windows_min_Simple FPS Aim Trainer
операционная система,windows 7
процессор,2.5ghz
оперативная память,4 gb
