оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd 630 / nvidia geforce gt 630 / amd radeon hd 5750,видео карта,nvidia geforce gtx 950 / amd radeon rx 460,видео карта,intel hd 630 / nvidia geforce gt 640m / amd radeon hd 5750,видео карта,intel iris pro 5200 / nvidia gtx 775m / amd radeon pro 455,видео карта,intel hd 630 / nvidia geforce gt 630 / amd radeon hd 5750,видео карта,nvidia geforce gtx 950 / amd radeon rx 460
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,3 gb,диск,2 gb,диск,3 gb,диск,2 gb,диск,3 gb
,,,,,,,,,,,
windows_min_Survival Games,windows_min_Survival Games,windows_req_Survival Games,windows_req_Survival Games
операционная система,windows vista/windows 7/windows 8,операционная система,windows 10
процессор,intel core 2 duo 2.53 ghz,процессор,intel i5 2.8ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics / geforce gts 450,видео карта,nvidia geforce gtx 960
directx,version 9.0c,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Heim,windows_min_Heim,windows_req_Heim,windows_req_Heim
операционная система,windows 7,операционная система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,directx 11 or directx 12 compatible graphics card
directx,version 9.0,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Drug Dealer Simulator: Free Sample,windows_min_Drug Dealer Simulator: Free Sample
операционная система,"windows 7 32-bit,"
процессор,i5-2500 3.30 ghz
оперативная память,8 gb
видео карта,nvidia geforce 780 gtx or amd radeon radeon r7 260x series card or higher
,
windows_min_Dreamscaper: Prologue,windows_min_Dreamscaper: Prologue,windows_req_Dreamscaper: Prologue,windows_req_Dreamscaper: Prologue
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gt 640,видео карта,geforce gtx 970
directx,version 10,directx,version 10
диск,3 gb,диск,3 gb
,,,
windows_min_Shadow Warrior (Classic),windows_min_Shadow Warrior (Classic)
операционная система,osx 10.10.3
процессор,intel core duo 2
,
windows_min_Extinction,windows_min_Extinction,windows_req_Extinction,windows_req_Extinction
операционная система,windows 7/8.1/10,операционная система,windows 7/8.1/10
процессор,intel core i5-760 2.8 ghz / amd athlon x4 740 3.2 ghz,процессор,intel core i7-4771 3.5 ghz / amd fx-9370 4.4 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 (2 gb vram) / amd radeon hd 7870 (2 gb vram),видео карта,nvidia geforce gtx 970 (4 gb vram) / amd radeon rx 470 (4 gb vram)
directx,version 11,directx,version 11
,,,
windows_min_Watching Grass Grow In VR - The Game,windows_min_Watching Grass Grow In VR - The Game
операционная система,windows 7 sp1
процессор,intel i5-4590
оперативная память,8 gb
видео карта,nvidia gtx 970 / amd 290
,
windows_min_Police Patrol,windows_min_Police Patrol
операционная система,windows xp / windows vista / windows 7 / windows 8 / windows 10
процессор,any 64 or 32 bit
оперативная память,2 gb
видео карта,directx or opengl compatible video card
,
windows_min_PRO DRIFT RELOADED 2020,windows_min_PRO DRIFT RELOADED 2020,windows_req_PRO DRIFT RELOADED 2020,windows_req_PRO DRIFT RELOADED 2020
операционная система,"7,8,8.1,10",операционная система,10/8.1
процессор,intel core i3-4130,процессор,intel core i5 3470
оперативная память,2 gb,оперативная память,8 mb
видео карта,nvidia gtx 660 2gb / amd hd7870 2gb,видео карта,nvidia gtx 970 (or above)
directx,version 9.0,directx,version 11
диск,600 mb,диск,1 gb
,,,
windows_min_PowBall Renaissance,windows_min_PowBall Renaissance
операционная система,"windows xp, visa, 7, 8, 10"
процессор,1ghz
оперативная память,512 mb
видео карта,any
directx,version 9.0
диск,12 mb
звуковая карта,any
,
windows_min_Beware of Trains,windows_min_Beware of Trains,windows_req_Beware of Trains,windows_req_Beware of Trains
операционная система,windows 7,операционная система,windows 10
процессор,intel i3+,процессор,intel i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 1gb vram,видео карта,nvidia geforce gtx 970 2gb vram
directx,version 11,directx,version 11
,,,
windows_min_All Day Dying: Redux Edition,windows_min_All Day Dying: Redux Edition,windows_req_All Day Dying: Redux Edition,windows_req_All Day Dying: Redux Edition
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,intel core i5-2400,процессор,intel core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 760,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_AdventureQuest 3D,windows_min_AdventureQuest 3D,windows_req_AdventureQuest 3D,windows_req_AdventureQuest 3D
операционная система,mac os x 10.8+,операционная система,mac os x 10.8+
процессор,dual core 1.8ghz or single core 3.0ghz,процессор,dual core 2.66ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,512 mb,видео карта,1 gb
directx,version 9.0,directx,—
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Stick Em Up,windows_min_Stick Em Up,windows_req_Stick Em Up,windows_req_Stick Em Up
операционная система,windows 7,операционная система,windows 10
процессор,modern multi core cpu,процессор,ryzen 5 1600 or intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,modern dedicated graphics card,видео карта,gtx 1050 or amd equivalent
directx,version 9.0,directx,version 12
,,,
windows_min_Royal Crown,windows_min_Royal Crown,windows_req_Royal Crown,windows_req_Royal Crown
операционная система,window 7,операционная система,window 7
процессор,pentium4 2.0ghz+,процессор,intel i3+
оперативная память,2 mb,оперативная память,—
видео карта,video memory 512mb+,видео карта,nvidia geforce gtts 450+
directx,version 9.0,directx,version 9.0c
,,,
windows_min_Living Dead,windows_min_Living Dead,windows_req_Living Dead,windows_req_Living Dead
операционная система,windows 7 and above,операционная система,windows 10
процессор,intel i3 dual core,процессор,intel i7 quad core
оперативная память,4 gb,оперативная память,8 gb
