windows_min_CS:GO,windows_min_CS:GO,macos_min_CS:GO,macos_min_CS:GO,linux_min_CS:GO,linux_min_CS:GO
оперативная память,8 gb,оперативная память,4000 mb,оперативная память,4000 mb
видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb,видео карта,opengl 3 compatible gpu with 1gb video,видео карта,opengl 3 compatible gpu with 1gb video
directx,version 10,диск,20000 mb,диск,20000 mb
диск,60 gb,,,,
,,,,,
windows_min_Left 4 Dead 2,windows_min_Left 4 Dead 2,windows_req_Left 4 Dead 2,windows_req_Left 4 Dead 2,macos_min_Left 4 Dead 2,macos_min_Left 4 Dead 2,macos_req_Left 4 Dead 2,macos_req_Left 4 Dead 2,linux_min_Left 4 Dead 2,linux_min_Left 4 Dead 2,linux_req_Left 4 Dead 2,linux_req_Left 4 Dead 2
операционная система,windows 7 32/ / vista 32/64 / xp,операционная система,windows 7 32/ / vista 32/64 / xp,операционная система,macos 10.7,операционная система,—,операционная система,ubuntu 12.04,операционная система,—
процессор,pentium 4 3.0ghz,процессор,intel core 2 duo 2.4ghz,процессор,"dual core intel, 2ghz",процессор,—,процессор,dual core from intel or amd at 2.8 ghz,процессор,—
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,"video card with 128 mb, shader model 2.0. ati x800, nvidia 6600",видео карта,"video card shader model 3.0. nvidia 7600, ati x1600",видео карта,ati radeon 2400 or higher / nvidia 8600m or higher / intel hd graphics 3000,видео карта,—,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1",видео карта,—
directx,version 9.0c,directx,version 9.0c,диск,13 gb,диск,—,диск,13 gb,диск,—
диск,13 gb,диск,13 gb,дополнительно,"not supported: os x 10.5.x, ati x1600 or x1900 graphics, nvidia geforce 7 graphics or intel graphics less than intel hd 3000.",дополнительно,—,звуковая карта,openal compatible sound card,звуковая карта,—
,,,,,,,,,,,
windows_min_Valheim,windows_min_Valheim,windows_req_Valheim,windows_req_Valheim,macos_min_Valheim,macos_min_Valheim,macos_req_Valheim,macos_req_Valheim,linux_min_Valheim,linux_min_Valheim,linux_req_Valheim,linux_req_Valheim
