windows_min_Chromatic,windows_min_Chromatic
процессор,i3-2310m,процессор,i7-7700k
оперативная память,4 gb,оперативная память,16 gb
видео карта,gt 520m,видео карта,gtx 1070
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_,windows_min_
операционная система,—
процессор,—
оперативная память,2048 mb
видео карта,—
,
windows_min_BARK,windows_min_BARK,windows_req_BARK,windows_req_BARK
операционная система,windows 7 operating system,операционная система,windows 10 operating system
процессор,intel core i3-4170 or amd fx-8120,процессор,intel core i3-4170 or amd fx-8300 or higher
оперативная память,2 gb,оперативная память,4 gb
видео карта,dx11 compatible geforce gtx 460 1gb or amd hd 6850 1gb,видео карта,dx11 compatible geforce 760 or amd hd 8800 or higher with 4gb of
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
звуковая карта,dx11 compatible,звуковая карта,dx11 compatible
,,,
windows_min_MOMENTUM,windows_min_MOMENTUM
операционная система,windows 7+
процессор,1 ghz
оперативная память,2 gb
видео карта,any
,
windows_min_The Rhythm of the Knight,windows_min_The Rhythm of the Knight,windows_req_The Rhythm of the Knight,windows_req_The Rhythm of the Knight
операционная система,windows 10,операционная система,—
процессор,intel core i5-4590 / amd fx 8350 equivalent,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"nvidia geforce gtx 1080, amd radeon r9 290 equivalent",видео карта,"nvidia geforce gtx 1060, amd radeon rx 480 equivalent"
,,,
windows_min_SpearFrog,windows_min_SpearFrog
операционная система,microsoft windows (32-bit/)
процессор,intel dual-core 2.4 ghz
оперативная память,612 mb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,200 mb
,
windows_min_Touhou Crisis,windows_min_Touhou Crisis
операционная система,ubuntu 18.04
процессор,x64 s
оперативная память,2 gb
видео карта,"opengl 3.2+, vulkan capable gpus"
directx,version 10
диск,200 mb
звуковая карта,"yes, bring one"
,
windows_min_Vendetta: Mafia Wars,windows_min_Vendetta: Mafia Wars,windows_req_Vendetta: Mafia Wars,windows_req_Vendetta: Mafia Wars
операционная система,windows 8.1 or windows 10,операционная система,windows 8.1 or windows 10
процессор,intel core i3-2100t or amd fx 6100,процессор,intel core i5 3570k or amd ryzen 3 1300x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 or amd r7 260x,видео карта,nvidia geforce gtx 980 or amd r9 290x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Night Escaper,windows_min_Night Escaper,windows_req_Night Escaper,windows_req_Night Escaper
операционная система,window7/8/10/11,операционная система,window10/11
процессор,i5,процессор,i5
видео карта,nvidiagt1030,видео карта,nvidia gtx960
,,,
windows_min_Ultimate Starfighter,windows_min_Ultimate Starfighter
операционная система,windows 10
процессор,2.0ghz
оперативная память,1 mb
видео карта,2 gb
directx,version 10
диск,1 gb
,
windows_min_Touken Ranbu Warriors,windows_min_Touken Ranbu Warriors,windows_req_Touken Ranbu Warriors,windows_req_Touken Ranbu Warriors
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i5-4460,процессор,intel core i7-4770 / amd ryzen 5 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / amd radeon r7 370,видео карта,nvidia geforce gtx 1060 / amd radeon rx 480
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,25 gb
,,,
windows_min_Pumpkin head,windows_min_Pumpkin head
операционная система,"windows7,8,10,11"
оперативная память,4 gb
,
windows_min_Dreadful Hours,windows_min_Dreadful Hours
операционная система,windows 7
процессор,amd ryzen 3 1200 or intel equivalent
оперативная память,8 gb
видео карта,amd rx 470 or nvidia equivalent
directx,version 10
,
windows_min_Aces Under the Moonlight™,windows_min_Aces Under the Moonlight™
операционная система,windows 10 or 11
процессор,2.5ghz
оперативная память,4 gb
directx,version 11
,
windows_min_Heaven Snakes [Beta],windows_min_Heaven Snakes [Beta],windows_req_Heaven Snakes [Beta],windows_req_Heaven Snakes [Beta]
операционная система,windows 8 or higher,операционная система,windows 10 or higher
процессор,intel core i5-750 or amd equivalent,процессор,intel core i5-9 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 560 2gb or amd equivalent,видео карта,nvidia gtx 1050 2gb or amd equivalent
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,500 mb,диск,1 gb
,,,
windows_min_SPACE MOLMAE,windows_min_SPACE MOLMAE,windows_req_SPACE MOLMAE,windows_req_SPACE MOLMAE
операционная система,requires a 32-bit and operating system,операционная система,requires a and operating system
процессор,intel i3,процессор,the more cores the better
оперативная память,4 mb,оперативная память,8 mb
видео карта,512 mb vram,видео карта,the more vram the better
,,,
windows_min_Cheese Game,windows_min_Cheese Game
операционная система,"windows 7 (sp1+), windows 10 and windows 11"
процессор,"x86, x64 architecture with sse2 instruction set support."
оперативная память,200 mb
видео карта,"dx10, dx11, dx12 capable."
,
windows_min_Albert Innovation,windows_min_Albert Innovation
операционная система,windows 7 and upward
процессор,i3 and upward
оперативная память,8 gb
видео карта,660 gtx and upward
directx,version 11
,
windows_min_Arcadia,windows_min_Arcadia
оперативная память,40 mb
,
windows_min_Skylost,windows_min_Skylost
,
windows_min_Offenders,windows_min_Offenders,windows_req_Offenders,windows_req_Offenders
операционная система,windows 10 s,операционная система,windows 10 s
процессор,i5-3470 intel or amd equivalent,процессор,i7-4790k intel or amd equivalent
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 or amd radeon hd 7770,видео карта,nvidia gtx 1060 or amd radeon r9 390
directx,version 11,directx,version 11
,,,
windows_min_Godspell Defender,windows_min_Godspell Defender,windows_req_Godspell Defender,windows_req_Godspell Defender
операционная система,windows 10 -,операционная система,windows 10 -
процессор,core i5-6600 3.3ghz,процессор,intel core i7-8700k 3.7ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1650
,,,
windows_min_Tom's Adventure,windows_min_Tom's Adventure
операционная система,windows 7
процессор,2.0 ghz
оперативная память,2 gb
видео карта,512 mb vram
directx,version 10
,
