windows_min_Dead Cells: Rise of the Giant,windows_min_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,"core i3 2,4",процессор,"core i5 2,8"
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 4000,видео карта,"nvidia gtx 660, amd radeon hd 7870"
directx,version 10,directx,version 10
,,,
windows_min_Drug Dealer Simulator Demo,windows_min_Drug Dealer Simulator Demo
операционная система,"windows 7 32-bit,"
процессор,i5-2500 3.30 ghz
оперативная память,8 gb
видео карта,nvidia geforce 780 gtx or amd radeon radeon r7 260x series card or higher
,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC4 Jinchuriki Costume Pack 1,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC4 Jinchuriki Costume Pack 1,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC4 Jinchuriki Costume Pack 1,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC4 Jinchuriki Costume Pack 1
операционная система,windows xp or higher with latest service pack,операционная система,windows 7 or higher with latest service pack
процессор,2.3 ghz dual core or amd,процессор,"intel i3-530, 2.93ghz / amd phenom ii x4 940, 3.0ghz"
оперативная память,1 mb,оперативная память,4 mb
видео карта,512 mb video cards pixel shader 4.0 (geforce 8xxx-ati hd2xxx),видео карта,"1024 mb video card, pixel shader 4.0, directx10 gpu"
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Navy Field 2 : Conqueror of the Ocean,windows_min_Navy Field 2 : Conqueror of the Ocean,windows_req_Navy Field 2 : Conqueror of the Ocean,windows_req_Navy Field 2 : Conqueror of the Ocean
операционная система,"windows xp, vista, 7, or 8",операционная система,"windows xp, vista, 7, or 8"
оперативная память,4 gb,оперативная память,8 gb
видео карта,onboard,видео карта,discrete
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Trine Demo,windows_min_Trine Demo
,
windows_min_Call of Duty®: Black Ops III - Gorod Krovi Zombies Map,windows_min_Call of Duty®: Black Ops III - Gorod Krovi Zombies Map
операционная система,10.13.6 (high sierra)
процессор,intel core™ i5 (4 cores) @ 2.3 ghz
оперативная память,8 gb
видео карта,ati radeon™ m295x @ 2gb
directx,version 11
диск,150 gb
звуковая карта,directx compatible
сеть,широкополосное подключение
,
windows_min_The Godfather,windows_min_The Godfather
операционная система,windows xp
процессор,1.4 ghz or faster intel pentium 4 or amd athlon
оперативная память,256 mb or more
видео карта,directx 9.0c compatible video card (ati radeon 8500 ; nvidia geforce 3 [excluding geforce 4 mx])
диск,at least 5 gb of free space
,
windows_min_Dungeon Fighter Online: Play More Pack,windows_min_Dungeon Fighter Online: Play More Pack,windows_req_Dungeon Fighter Online: Play More Pack,windows_req_Dungeon Fighter Online: Play More Pack
операционная система,microsoft windows 7 32bit,операционная система,microsoft windows 7 64bit and higher
процессор,intel core 2 duo e7500,процессор,intel core 2 duo e7500 or higher
оперативная память,2 gb,оперативная память,4 gb
видео карта,vram 512mb,видео карта,vram 512mb or higher
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,18 gb,диск,18 gb
,,,
windows_min_Fog Of War - Complete Edition,windows_min_Fog Of War - Complete Edition,windows_req_Fog Of War - Complete Edition,windows_req_Fog Of War - Complete Edition
операционная система,windows 7/8/10 32-bit,операционная система,windows 7/8/10
процессор,"two-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,2048 mb,оперативная память,8192 mb
видео карта,nvidia geforce 9600 gt or amd radeon 4850 hd series card or higher,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Rayman® Legends Demo,windows_min_Rayman® Legends Demo,windows_req_Rayman® Legends Demo,windows_req_Rayman® Legends Demo
операционная система,windows xp sp3 or windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions),операционная система,windows xp sp3 or windows vista sp2 or windows 7 sp1 or windows 8 (both 32/64bit versions)
процессор,intel pentium iv @ 3.0 ghz or amd athlon64 3000 + @ 1.8 ghz,процессор,intel core 2 duo e4400 @ 2.0 ghz or amd athlon64 x2 3800+ @ 2 ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,nvidia geforce 6800gt or amd radeon x1950 pro (256mb vram with shader model 3.0 or higher),видео карта,"nvidia geforce 9600gt or higher, amd radeon hd3850 or higher (512mb vram with shader model 4.0)"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1275 mb,диск,1275 mb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_DC Universe Online™ - Episode 28: Age of Justice,windows_min_DC Universe Online™ - Episode 28: Age of Justice
операционная система,windows xp 32-bit
процессор,p4 3.0ghz or amd equivalent
оперативная память,1gb
диск,30 gb of free hard drive space
видео карта,nvidia 7800gtx+ or ati 1950+ video card
,
windows_min_Saints Row: The Third - Nyte Blayde Pack,windows_min_Saints Row: The Third - Nyte Blayde Pack,windows_req_Saints Row: The Third - Nyte Blayde Pack,windows_req_Saints Row: The Third - Nyte Blayde Pack
операционная система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster",операционная система,"ubuntu 14.04.3 lts, ubuntu 15.04, linux mint 17.1, steam os brewmaster"
процессор,intel core i5-4570t (2.9 ghz) or amd athlon ii x2 270 (3.8 ghz),процессор,intel core i5-4670k (3.4 ghz) or amd athlon x4 860k (3.7 ghz)
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,320mb video gpu w/ shader model 3.0 support. nvidia geforce 8800 series . ati radeon™ hd3800 series,видео карта,1gb video gpu w/ shader model 4.0 support. nvidia geforce gtx 400 series . ati radeon™ hd5000 series
directx,9.0c,directx,directx 11
диск,10gb,диск,10 gb
звуковая карта,100% directx 9.0c compliant sound card onboard sound,звуковая карта,100% directx 9.0c compliant sound card onboard sound
co-op play,nvidia geforce 8800 cards require 640mb of video. ati radeon™ hd3800 cards require 1gb of video,co-op play,—
gpu,geforce gt 630 (1024 mb) or radeon hd 6850 (1024 mb),gpu,geforce gtx 760 (2048 mb) or radeon hd 7950 (2048 mb)
,,,
