windows_min_The Haunted: Hells Reach,windows_min_The Haunted: Hells Reach
операционная система,"windows xp, windows vista or windows 7"
процессор,intel pentium core 2 duo 2.4 ghz or amd athlon x2 2.8ghz
оперативная память,2 gb
видео карта,"shader model 3.0 graphics card with 256mb of memory (nvidia geforce 7900gs, ati radeon 2000 series or higher)"
directx,9
диск,4gb of free hard drive space
,
windows_min_Stellar Impact,windows_min_Stellar Impact
операционная система,windows xp / vista™ / windows 7
процессор,dual core 2.33ghz
оперативная память,2 gb
диск,275 mb
видео карта,512 mb gpu memory
,
windows_min_Collapse,windows_min_Collapse,windows_req_Collapse,windows_req_Collapse
операционная система,xp/vista/7/8,операционная система,xp/vista/7/8
процессор,"pentium 4 2 ghz/athlon 64 2800+,",процессор,core 2 duo 2.5 ghz/athlon 64 x2 3000
оперативная память,512 mb,оперативная память,1 gb
видео карта,directx compatible 128 mb,видео карта,directx compatible 256 mb
,,,
windows_min_360 No Scope Arena,windows_min_360 No Scope Arena
операционная система,windows 10 -
процессор,intel core 2 duo e4400 2.0ghz or amd athlon ii x2 450
оперативная память,4 gb
видео карта,geforce gt 640
directx,version 11
диск,880 mb
,
windows_min_Mutant Football League,windows_min_Mutant Football League,windows_req_Mutant Football League,windows_req_Mutant Football League
операционная система,windows 7,операционная система,windows 10
процессор,intel core2quad 2.67 ghz or amd phenom ii x4 965,процессор,intel i5-4590
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_QuiVr,windows_min_QuiVr,windows_req_QuiVr,windows_req_QuiVr
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 3.3 ghz,процессор,intel i7-4770 3.4 ghz
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 980
directx,version 11,directx,version 11
,,,
windows_min_Neon Chrome,windows_min_Neon Chrome,macos_min_Neon Chrome,macos_min_Neon Chrome,linux_min_Neon Chrome,linux_min_Neon Chrome
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,os x 10.8+ recommended,операционная система,ubuntu 16.04 or steamos
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+
directx,version 9.0c,диск,200 mb,диск,500 mb
,,,,,
windows_min_Dandy Ace,windows_min_Dandy Ace,windows_req_Dandy Ace,windows_req_Dandy Ace
операционная система,10.13.6+,операционная система,10.13.6+
процессор,dual core 2.4ghz,процессор,intel i5+
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 5000,видео карта,nvidia gtx 460 / radeon hd 7800
directx,version 9.0,directx,version 9.0
диск,3 gb,диск,3 gb
,,,
windows_min_Tunche,windows_min_Tunche
операционная система,windows 7
процессор,"intel core2 duo e8400, 3.0ghz or amd athlon 64 x2 6000+, 3.0ghz or higher"
оперативная память,4 gb
видео карта,geforce 9600 gt or amd hd 3870 512mb or higher
диск,5 gb
,
windows_min_BRAIN / OUT,windows_min_BRAIN / OUT,windows_req_BRAIN / OUT,windows_req_BRAIN / OUT
операционная система,osx 10.9.5 - 10.11.6,операционная система,osx 10.9.5 - 10.11.6
процессор,2.0 ghz,процессор,dual core 3.0 ghz
оперативная память,512 mb,оперативная память,—
видео карта,"128mb video memory, capable of opengl 3.0+ support (2.1 with arb extensions acceptable",видео карта,"256mb video memory, capable of opengl 3.0+ support (2.1 with arb extensions acceptable"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Element4l,windows_min_Element4l
операционная система,10.6
процессор,intel cpu
оперативная память,2 gb
видео карта,nvidia or ati - intel: shader model 2 capable
directx,9.0c
,
windows_min_OCEAN CITY RACING,windows_min_OCEAN CITY RACING,windows_req_OCEAN CITY RACING,windows_req_OCEAN CITY RACING
операционная система,windows 10/8/7/vista/xp pc (32 or ),операционная система,windows 10/8/7/vista/xp pc (32 or )
процессор,intel or amd new generation dual core 2.0ghz cpu,процессор,intel i5 or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 8800 or ati 3850,видео карта,nvidia geforce gtx 460 or ati radeon hd 6850
directx,version 9.0c,directx,version 9.0c
диск,5 gb,диск,5 gb
,,,
windows_min_PAGUI,windows_min_PAGUI,windows_req_PAGUI,windows_req_PAGUI
операционная система,windows 7 / 8 / 10 (),операционная система,windows 7 / 8 / 10 ()
процессор,intel core i3,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1050
directx,version 10,directx,version 10
,,,
windows_min_Super Win the Game,windows_min_Super Win the Game,windows_req_Super Win the Game,windows_req_Super Win the Game,macos_min_Super Win the Game,macos_min_Super Win the Game,macos_req_Super Win the Game,macos_req_Super Win the Game,linux_min_Super Win the Game,linux_min_Super Win the Game,linux_req_Super Win the Game,linux_req_Super Win the Game
операционная система,windows xp sp2,операционная система,—,операционная система,os x 10.6 snow leopard,операционная система,—,операционная система,ubuntu 12.04 lts,операционная система,—
процессор,1.2 ghz or faster,процессор,—,процессор,1.2 ghz or faster,процессор,—,процессор,1.2 ghz or faster,процессор,—
оперативная память,128 mb,оперативная память,—,оперативная память,128 mb,оперативная память,—,оперативная память,128 mb,оперативная память,—
видео карта,geforce 8 series,видео карта,dedicated graphics card,видео карта,geforce 8 series,видео карта,dedicated graphics card,видео карта,geforce 8 series,видео карта,dedicated graphics card
directx,version 9.0c,directx,—,диск,100 mb,диск,—,диск,100 mb,диск,—
диск,100 mb,диск,—,дополнительно,—,дополнительно,gamepad recommended,дополнительно,—,дополнительно,gamepad recommended
