windows_min_Aqua Kitty - Milk Mine Defender,windows_min_Aqua Kitty - Milk Mine Defender
операционная система,windows xp / vista / 7 / 8
процессор,1.2ghz
оперативная память,1 gb
видео карта,directx 9.0c-compatible graphics card with 128 mb vram
directx,version 9.0c
диск,140 mb
звуковая карта,directx 9.0c
,
windows_min_Super Mustache,windows_min_Super Mustache
операционная система,windows xp sp2
процессор,2.0 ghz equivalent or faster
оперативная память,128 mb
видео карта,256 mb
диск,70 mb
,
windows_min_Raiden III Digital Edition,windows_min_Raiden III Digital Edition,windows_req_Raiden III Digital Edition,windows_req_Raiden III Digital Edition
операционная система,windows xp (32 bit),операционная система,windows 7 ()
процессор,intel celeron 2.0 ghz,процессор,intel core i3
оперативная память,512 mb,оперативная память,4 gb
видео карта,"nvidia geforce fx series, ati radeon 9000 series",видео карта,nvidia geforce 8600 / amd radeon hd3700
directx,version 9.0c,directx,version 9.0c
диск,700 mb,диск,700 mb
,,,
windows_min_Deathstate: Abyssal Edition,windows_min_Deathstate: Abyssal Edition,windows_req_Deathstate: Abyssal Edition,windows_req_Deathstate: Abyssal Edition
операционная система,10.8,операционная система,10.9
процессор,core 2 duo,процессор,2.4 ghz dual core 2.0 (or higher)
оперативная память,4 gb,оперативная память,8 gb
видео карта,discrete video card,видео карта,"ati radeon hd-series 4650 and higher, nvidia geforce 2xx-series and up."
диск,500 mb,диск,500 mb
,,,
windows_min_Super Chibi Knight,windows_min_Super Chibi Knight
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, ."
процессор,"intel (2.5 ghz, single core)"
оперативная память,2 gb
видео карта,direct x9.0c compatible card
диск,100 mb
,
windows_min_Necronator: Dead Wrong,windows_min_Necronator: Dead Wrong,windows_req_Necronator: Dead Wrong,windows_req_Necronator: Dead Wrong
операционная система,windows 7,операционная система,windows 7
процессор,2.4 ghz or faster,процессор,2.8 ghz or faster
оперативная память,1 gb,оперативная память,2 gb
видео карта,"512 mb vram, support pixel shader version 2.x or above",видео карта,"1 gb vram, support pixel shader version 2.x or above"
directx,version 10,directx,version 10
диск,1 gb,диск,1 gb
,,,
windows_min_Putrefaction 2: Void Walker,windows_min_Putrefaction 2: Void Walker
операционная система,windows 8 ()/windows 7 ()/vista
процессор,dual core
оперативная память,2 gb
видео карта,512mb video card with opengl support
directx,version 11
,
windows_min_Rain on Your Parade,windows_min_Rain on Your Parade,windows_req_Rain on Your Parade,windows_req_Rain on Your Parade,macos_min_Rain on Your Parade,macos_min_Rain on Your Parade,macos_req_Rain on Your Parade,macos_req_Rain on Your Parade,linux_min_Rain on Your Parade,linux_min_Rain on Your Parade,linux_req_Rain on Your Parade,linux_req_Rain on Your Parade
операционная система,win 10,операционная система,win 10,операционная система,"macbook pro, imac, mac mini, 64bit",операционная система,"macbook pro, imac, mac mini, 64bit",операционная система,"ubuntu 16.4 / 17, fedora linux (version 26) x86_64, archlinux x86_64, mint 18.2, archlinux x86_64",операционная система,"ubuntu 16.4 / 17, fedora linux (version 26) x86_64, archlinux x86_64, mint 18.2, archlinux x86_64"
процессор,intel i-3 dual core @ 2.0ghz,процессор,intel i-7 quad core,процессор,intel i-3 dual core @ 2.0ghz,процессор,intel i-7 quad core,процессор,intel i-3 dual core @ 2.0ghz,процессор,intel i-7 quad core
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,dedicated directx 11 compatible card,видео карта,dedicated directx 11 compatible card,видео карта,dedicated directx 11 compatible card,видео карта,dedicated directx 11 compatible card,видео карта,dedicated directx 11 compatible card,видео карта,dedicated directx 11 compatible card
directx,version 11,directx,version 11,диск,800 mb,диск,800 mb,диск,800 mb,диск,800 mb
диск,800 mb,диск,800 mb,звуковая карта,preferably,звуковая карта,yes,звуковая карта,preferably,звуковая карта,yes
,,,,,,,,,,,
windows_min_RICO,windows_min_RICO
операционная система,window 8.1
процессор,intel core i5-4590
оперативная память,4 gb
видео карта,geforce gtx 760 (2048 mb)
directx,version 10
,
windows_min_Siege of Centauri,windows_min_Siege of Centauri,windows_req_Siege of Centauri,windows_req_Siege of Centauri
операционная система,windows 10 / 8.1 / 7,операционная система,windows 10 / 8.1 / 7
процессор,quad-core intel / amd,процессор,intel core i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,2 gb gddr5 nvidia geforce 660 / amd r7 360,видео карта,4 gb gddr5 nvidia gtx 970 / amd r9 390
directx,version 11,directx,version 11
диск,8 gb,диск,8 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Conflict: Denied Ops,windows_min_Conflict: Denied Ops
операционная система,"microsoft windows xp, 2000 or vista (admin rights required)"
процессор,intel core 2 duo / athlon 64 x2 multi-core cpu
видео карта,256mb direct x 9.0c card with full shader 3.0 support (nvidia 7900gs )
directx,directx 9.0c
оперативная память,2 gb (required for 8-player multiplayer games)
