windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3
видео карта,"radeon hd 6870, 1 gb / geforce gtx 650 ti, 1 gb",видео карта,"radeon hd 7870, 2 gb / geforce gtx 660, 2 gb"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Solaroids,windows_min_Solaroids,macos_min_Solaroids,macos_min_Solaroids,linux_min_Solaroids,linux_min_Solaroids
операционна€ система,windows 7/8/10/vista,операционна€ система,os x snow leopard (10.6),операционна€ система,"glibc 2.15, 32/"
процессор,intel core 2 duo 1.8ghz,процессор,intel core 2 duo 1.8ghz,процессор,intel core 2 duo 1.8ghz
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,3 gb,оперативна€ пам€ть,3 gb
видео карта,directx 9.0c compatible (shader model 2.0),видео карта,opengl 2.1 compatible,видео карта,opengl 2.1 compatible
directx,version 9.0c,диск,140 mb,диск,150 mb
,,,,,
"windows_min_Geometry May - ""Thank you"" Art","windows_min_Geometry May - ""Thank you"" Art"
операционна€ система,windows 7
процессор,intel core 2 duo 2.1 ghz
оперативна€ пам€ть,512 mb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 256mb"
,
windows_min_The World Next Door - Prelude Comic,windows_min_The World Next Door - Prelude Comic,windows_req_The World Next Door - Prelude Comic,windows_req_The World Next Door - Prelude Comic
,,,
windows_min_Tom Clancy's Rainbow SixЃ Siege - Buck Ghost Recon WildlandsЃ Set,windows_min_Tom Clancy's Rainbow SixЃ Siege - Buck Ghost Recon WildlandsЃ Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Buck Ghost Recon WildlandsЃ Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Buck Ghost Recon WildlandsЃ Set
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870 (directx-11 compliant with 1gb of vram),видео карта,nvidia geforce gtx 670 (or gtx 760 / gtx 960) or amd radeon hd 7970 (or r9 280x [2gb vram] / r9 380 / fury x)
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,47 gb
звукова€ карта,directx 9.0c compatible sound card with latest drivers,звукова€ карта,directx 9.0c compatible sound card 5.1 with latest drivers
,,,
windows_min_Ethan: Meteor Hunter,windows_min_Ethan: Meteor Hunter
операционна€ система,"windows xp sp3, vista, 7, 8"
процессор,dual core 2 ghz
оперативна€ пам€ть,2 gb
видео карта,directx 9.0c-compatible graphic card with 256 mb of vram or more
directx,version 9.0c
диск,900 mb
,
windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Momiji,windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Momiji,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Momiji,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Momiji
операционна€ система,windows vista/7/8/8.1 (32bit/64bit),операционна€ система,windows vista/7/8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звукова€ карта,directx 9.0c over,звукова€ карта,directx 9.0c over
,,,
windows_min_ Sunwards,windows_min_ Sunwards,windows_req_ Sunwards,windows_req_ Sunwards
операционна€ система,macos 10.1+,операционна€ система,macos 10.1+
процессор,intel i3 +,процессор,intel i5+
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,intel graphic 530,видео карта,intel graphic 630
directx,version 11,directx,version 11
,,,
windows_min_Meteor 60 Seconds!,windows_min_Meteor 60 Seconds!
операционна€ система,"os x version leopard 10.5.8, snow leopard 10.6.3,"
процессор,intel mac 1.8 ghz
оперативна€ пам€ть,1 gb
видео карта,direct x 9.0c compatible video card
,
windows_min_They Can't Stop All Of Us,windows_min_They Can't Stop All Of Us,windows_req_They Can't Stop All Of Us,windows_req_They Can't Stop All Of Us
операционна€ система,windows 7 sp1+,операционна€ система,windows 10
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,4gb,видео карта,4gb
,,,
windows_min_Lethal League Blaze - Late Stage Illmatic outfit for Dice,windows_min_Lethal League Blaze - Late Stage Illmatic outfit for Dice
операционна€ система,os x 10.6.8
процессор,core 2 duo 2ghz+
оперативна€ пам€ть,4 gb
видео карта,1024 mb video memory
directx,version 11
,
windows_min_BattleRush,windows_min_BattleRush,windows_req_BattleRush,windows_req_BattleRush
операционна€ система,windows 7/8/10 32-bit,операционна€ система,windows 7/8/10 32/
процессор,"intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативна€ пам€ть,2048 mb,оперативна€ пам€ть,4096 mb
видео карта,nvidia geforce 9600 gt or amd radeon 4850 hd series card or higher,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher
directx,version 10,directx,version 11
,,,
windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Boaboa,windows_min_Monster Hunter World: Iceborne - MHW:I Monster Figure: Boaboa,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Boaboa,windows_req_Monster Hunter World: Iceborne - MHW:I Monster Figure: Boaboa
операционна€ система,"windows 7, 8, 8.1, 10",операционна€ система,"windows 7, 8, 8.1, 10"
процессор,intel coreЩ i5 4460 or coreЩ i3 9100f / amd fxЩ-6300 or ryzenЩ 3 3200g,процессор,intel coreЩ i7 3770 or coreЩ i3 8350 or coreЩ i3 9350f / amd ryzenЩ 5 1500x or ryzenЩ 5 3400g
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
