windows_min_Lamp Chronicle,windows_min_Lamp Chronicle,windows_req_Lamp Chronicle,windows_req_Lamp Chronicle
процессор,"intel core i5 4670t @2.3 ghz, amd fx 8370e @3.3 ghz",процессор,"intel core i5 2500 @3.3 ghz, amd fx 6120 @3.6 ghz"
оперативная память,3 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, nvidia geforce gtx 580m, amd radeon r7-265",видео карта,"nvidia geforce gtx 650 ti, nvidia geforce gt 750m, radeon hd5850"
диск,3 gb,диск,3 mb
звуковая карта,compatible with directx 11,звуковая карта,compatible with directx 11
,,,
windows_min_Object N,windows_min_Object N,windows_req_Object N,windows_req_Object N
операционная система,linux ubuntu 16.04,операционная система,linux ubuntu 20.04
процессор,2000 mhz,процессор,dual-core from intel or amd at 2.8 ghz
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,512 mb video card,видео карта,1024 mb video card
диск,2048 mb,диск,2048 mb
дополнительно,opengl 2.1; >glibc 2.23,дополнительно,opengl 2.1; >glibc 2.23
,,,
windows_min_The Sinking City,windows_min_The Sinking City,windows_req_The Sinking City,windows_req_The Sinking City
операционная система,win7/win8/win10 (),операционная система,windows 10 64bit
процессор,"intel core i3-4350 @3,6 ghz/amd phenom x6 @ 3 ghz",процессор,"intel core i7-3770 @ 3.5 ghz / amd fx-8350 @ 4.0 ghz, ryzen 5 - 1400"
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce 760 gtx, 2048 mb/ati r9 380x, 2048 mb",видео карта,nvidia geforce gtx 970 (4gb vram with shader model 5.0) / amd radeon r9 290
directx,version 11,directx,version 11
,,,
windows_min_V.O.D.K.A. Open World Survival Shooter,windows_min_V.O.D.K.A. Open World Survival Shooter
операционная система,"windows xp, 7, 8, 10"
процессор,2.0 ghz dual core
оперативная память,2 gb
видео карта,geforce gtx 460 or radeon hd 5850
диск,1 gb
,
windows_min_Forge Squad,windows_min_Forge Squad,windows_req_Forge Squad,windows_req_Forge Squad
операционная система,windows 7,операционная система,windows 10
процессор,2.6 ghz,процессор,—
оперативная память,3 gb,оперативная память,—
видео карта,intel hd graphics 5500,видео карта,—
directx,version 11,directx,—
диск,700 mb,диск,700 mb
,,,
windows_min_Oblivity - Find your perfect Sensitivity,windows_min_Oblivity - Find your perfect Sensitivity,windows_req_Oblivity - Find your perfect Sensitivity,windows_req_Oblivity - Find your perfect Sensitivity
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,6 gb
видео карта,gtx 560,видео карта,gtx 960
диск,600 mb,диск,1 gb
,,,
windows_min_Zardy's Maze,windows_min_Zardy's Maze
операционная система,os x
процессор,2.5 ghz
оперативная память,4 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
,
windows_min_Burst Squad,windows_min_Burst Squad,windows_req_Burst Squad,windows_req_Burst Squad
операционная система,"windows 7,8,10",операционная система,"windows 7,8,10"
процессор,intel i3 2.50 ghz,процессор,intel i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,gt730 2gb graphic card,видео карта,gtx 1050 4gb
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Kraken Smash: Volleyball,windows_min_Kraken Smash: Volleyball,windows_req_Kraken Smash: Volleyball,windows_req_Kraken Smash: Volleyball
операционная система,windows 7,операционная система,windows 10
процессор,1.7 ghz,процессор,1.7 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,256 mb or higher,видео карта,512 mb or higher
directx,version 9.0c,directx,version 12
диск,500 mb,диск,1 gb
,,,
windows_min_Game Of Mafia,windows_min_Game Of Mafia
операционная система,windows xp and newer
процессор,2.0 + ghz
оперативная память,1024 mb
видео карта,integrated graphics
диск,1 gb
,
windows_min_Duck Flight Simulator 2021,windows_min_Duck Flight Simulator 2021,windows_req_Duck Flight Simulator 2021,windows_req_Duck Flight Simulator 2021
операционная система,"windows 7, 10/8/10 ( os required)",операционная система,windows 10 64bit
процессор,intel i5 quad-core,процессор,intel(r) core(tm) i5-4460 cpu @ 3.20 ghz
,,,
windows_min_Miska's Cave,windows_min_Miska's Cave,macos_min_Miska's Cave,macos_min_Miska's Cave,linux_min_Miska's Cave,linux_min_Miska's Cave
операционная система,windows 7,операционная система,os x 10.7.5,операционная система,ubuntu 12.04
процессор,intel core 2 duo 2.1 ghz,процессор,intel core 2 duo 2.1 ghz,процессор,intel core 2 duo 2.1 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb"
directx,version 9.0,диск,150 mb,диск,150 mb
диск,150 mb,дополнительно,16:9 recommended,дополнительно,16:9 recommended
,,,,,
windows_min_EQUALINE,windows_min_EQUALINE
операционная система,windows 7
процессор,sse2 instruction set support
оперативная память,1 gb
directx,version 9.0
,
windows_min_Dude Simulator 4,windows_min_Dude Simulator 4
операционная система,"windows xp, 7, 8, 10"
процессор,dual core 2.4 ghz
оперативная память,1 gb
видео карта,geforce gtx 650
,
windows_min_Run Ralph Run,windows_min_Run Ralph Run
операционная система,windows 7
процессор,"intel x86 family, 2ghz"
оперативная память,1 gb
видео карта,opengl 2.0 supported graphics card
,
windows_min_Tanuki Justice,windows_min_Tanuki Justice,windows_req_Tanuki Justice,windows_req_Tanuki Justice
операционная система,"windows 7, 8, 8.1, 10 x64",операционная система,"windows 7, 8, 8.1, 10 x64"
процессор,intel pentium e2180 (2 * 2000),процессор,intel core i3-3240 (2 * 3400)
оперативная память,1 gb,оперативная память,1 gb
видео карта,geforce 7600 gt (256 mb),видео карта,geforce 8800 gts (512 mb)
,,,
windows_min_Climb Fall Human Guys,windows_min_Climb Fall Human Guys,windows_req_Climb Fall Human Guys,windows_req_Climb Fall Human Guys,macos_min_Climb Fall Human Guys,macos_min_Climb Fall Human Guys,macos_req_Climb Fall Human Guys,macos_req_Climb Fall Human Guys,linux_min_Climb Fall Human Guys,linux_min_Climb Fall Human Guys,linux_req_Climb Fall Human Guys,linux_req_Climb Fall Human Guys
операционная система,windows 7/8/10 - 64bits,операционная система,windows 7/8/10 - 64bits,операционная система,os x 10.9 and higher,операционная система,os x 10.9 and higher,операционная система,ubuntu 18.04,операционная система,ubuntu 18.04
процессор,"2nd generation core i3, amd a6, or higher",процессор,core i5,процессор,intel core2 duo e6750 (2 * 2660) |; amd athlon 64 x2 dual core 6000+ (2 * 3000),процессор,intel core2 quad q9300 (4 * 2500) |; amd a10-5800k apu (4*3800),процессор,intel core™ i3-3225 3.3ghz,процессор,intel core™ i5-6600k
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"nvidia 8800 gt, amd 5670, intel hd 3000",видео карта,sm4 1gb vram,видео карта,geforce gt 740 (2048 mb) |; radeon hd 5770 (1024 mb),видео карта,geforce gtx 460 (1024 mb) |; radeon hd 7770 (1024 mb),видео карта,"nvidia geforce gtx 680 (2gb), 2gb amd r9 285 (gcn 3rd gen and above)  (see notes for more details)",видео карта,nvidia 1070
directx,version 10,directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb
диск,500 mb,диск,500 mb,,,,,,,,
звуковая карта,directx 9.0c compatible sound card with latest drivers,звуковая карта,directx 9.0c compatible sound card with latest drivers,,,,,,,,
,,,,,,,,,,,
windows_min_Foglight Online,windows_min_Foglight Online,windows_req_Foglight Online,windows_req_Foglight Online
операционная система,"windows 7,8,10",операционная система,"windows 7,8,10"
процессор,dual-core 2.4 ghz,процессор,quad-core
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd equivalent,видео карта,nvidia gtx 1080 or amd equivalent
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Rome 2077: Space Wars,windows_min_Rome 2077: Space Wars,windows_req_Rome 2077: Space Wars,windows_req_Rome 2077: Space Wars
операционная система,windows 7 / 10,операционная система,windows 7 / 8 / 10
процессор,1.7 ghz,процессор,"2 ghz, x64 architecture with sse2 instruction set support"
оперативная память,1024 mb,оперативная память,2048 mb
диск,30 mb,диск,80 mb
,,,
windows_min_The Build And Race Hotrod Game,windows_min_The Build And Race Hotrod Game,windows_req_The Build And Race Hotrod Game,windows_req_The Build And Race Hotrod Game
операционная система,windows 7,операционная система,windows 10
процессор,intel 5,процессор,intel 7
оперативная память,16 mb,оперативная память,16 mb
видео карта,geforce 770,видео карта,geforce 770 sli
directx,version 10,directx,version 11
,,,
windows_min_Gladio and Glory,windows_min_Gladio and Glory
операционная система,macos high sierra
процессор,2.2 ghz intel core i7
оперативная память,2 gb
видео карта,any
directx,version 9.0
,
windows_min_Saints and Sinners,windows_min_Saints and Sinners,windows_req_Saints and Sinners,windows_req_Saints and Sinners
операционная система,windows 7 -,операционная система,windows 10 -
процессор,intel core i3,процессор,intel i7 or amd equivalent
оперативная память,2 gb,оперативная память,3 gb
видео карта,nvidia geforce gtx 550 ti,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Gorilla Tag,windows_min_Gorilla Tag
операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350
оперативная память,4 gb
видео карта,nvidia gtx 970 / amd radeon r9 290
сеть,широкополосное подключение
диск,140 mb
звуковая карта,n/a
,
windows_min_Hit n' Rush,windows_min_Hit n' Rush,windows_req_Hit n' Rush,windows_req_Hit n' Rush
операционная система,windows 10 x64,операционная система,windows 10 x64
процессор,core i3 2.4 ghz,процессор,i5-4690k/ ryzen 5 3600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 / amd radeon hd 8850 (vram 2gb),видео карта,rtx 1070 / rx 5600-xt
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,20 gb,диск,20 gb
,,,
windows_min_Warfield,windows_min_Warfield,windows_req_Warfield,windows_req_Warfield
операционная система,"windows 7,8,10",операционная система,"windows 7,8,10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,6 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 960 2gb, amd radeon r7 370 2gb",видео карта,gtx 1050
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Mission in Snowdriftland,windows_min_Mission in Snowdriftland,windows_req_Mission in Snowdriftland,windows_req_Mission in Snowdriftland
операционная система,windows 7,операционная система,windows 7 or windows 10
процессор,"dual-core, 2.0 ghz",процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce 8800 gt 512 mb, radeon hd 4870 512 mb",видео карта,—
directx,version 10,directx,—
диск,1 gb,диск,—
,,,
windows_min_Veneficium,windows_min_Veneficium
операционная система,windows 64bit
процессор,i5
оперативная память,4 gb
видео карта,1060 ti
directx,version 11
диск,4 gb
,
windows_min_Chicken Invaders Universe,windows_min_Chicken Invaders Universe
операционная система,windows 7/8/8.1/10
оперативная память,1 gb
directx,version 11
сеть,широкополосное подключение
,
windows_min_Dungeon of Eyden,windows_min_Dungeon of Eyden,windows_req_Dungeon of Eyden,windows_req_Dungeon of Eyden,macos_min_Dungeon of Eyden,macos_min_Dungeon of Eyden,macos_req_Dungeon of Eyden,macos_req_Dungeon of Eyden,linux_min_Dungeon of Eyden,linux_min_Dungeon of Eyden,linux_req_Dungeon of Eyden,linux_req_Dungeon of Eyden
операционная система,windows 7x64 / windows 8.1x64 / windows 10x64,операционная система,windows 10 (),операционная система,osx 10.9,операционная система,osx 10.9,операционная система,ubuntu 16.04 or higher (),операционная система,ubuntu 16.04 or higher ()
процессор,quad core 3.2 ghz,процессор,quad core 3.40 ghz,процессор,quad core 3.2 ghz,процессор,quad core 3.40 ghz,процессор,quad core 3.2 ghz,процессор,quad core 3.40 ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660,видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 660 or equal amd video card,видео карта,nvidia geforce gtx 970 or equal amd video card,видео карта,nvidia geforce gtx 660 or equal amd video card,видео карта,nvidia geforce gtx 970 or equal amd video card
,,,,,,,,,,,
windows_min_Let It Flow,windows_min_Let It Flow,windows_req_Let It Flow,windows_req_Let It Flow
операционная система,windows 7/8.1/10 ( versions),операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320,процессор,intel core i7-2400 / amd ryzen
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 960 2gb / amd radeon hd 7870 2gb,видео карта,geforce gtx 970 8gb / radeon rx vega 56 8gb
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_World of Tanks,windows_min_World of Tanks,windows_req_World of Tanks,windows_req_World of Tanks
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 / 10 –
процессор,a with at least two physical cores supporting sse2,процессор,intel core i5 (desktop)
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 8600, ati radeon hd 4550",видео карта,geforce gtx660 (2gb) / radeon hd 7850 (2gb)
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Legend of Karl,windows_min_The Legend of Karl
операционная система,"windows 7 sp1, 8, 10"
процессор,intel i3 2100+ or amd fx-4100+
оперативная память,2 gb
видео карта,nvidia gt 720+ or amd hd 5450+ or intel hd graphics 5000+
диск,1 gb
,
windows_min_Devil Inside Us: Roots of Evil,windows_min_Devil Inside Us: Roots of Evil,windows_req_Devil Inside Us: Roots of Evil,windows_req_Devil Inside Us: Roots of Evil
операционная система,windows 7 / 8 / 10s,операционная система,windows 7/8/10s
процессор,core i5,процессор,core i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce mx110,видео карта,nvidia geforce gtx 1050 ti
,,,
