windows_min_Immortal Redneck,windows_min_Immortal Redneck,windows_req_Immortal Redneck,windows_req_Immortal Redneck,macos_min_Immortal Redneck,macos_min_Immortal Redneck,macos_req_Immortal Redneck,macos_req_Immortal Redneck,linux_min_Immortal Redneck,linux_min_Immortal Redneck,linux_req_Immortal Redneck,linux_req_Immortal Redneck
операционная система,"windows 7, windows 8 or windows 10 64bit",операционная система,"windows 7, windows 8 or windows 10 64bit",операционная система,mac os x 10.8+,операционная система,—,операционная система,операционная система,операционная система,операционная система
процессор,intel i3 2nd-generation 2.5ghz,процессор,intel i3 4th-generation 3.5ghz,процессор,intel core i5,процессор,—,процессор,intel i3 2nd-generation 2.5ghz,процессор,intel i3 4th-generation 3.5ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx650 with 2gb vram,видео карта,nvidia geforce gtx760 with 2gb vram,видео карта,nvidia or ati gpu with 2gb vram,видео карта,—,видео карта,nvidia geforce gtx650 with 2gb vram,видео карта,nvidia geforce gtx760 with 2gb vram
directx,version 10,directx,version 10,диск,7 gb,диск,—,диск,7 gb,диск,7 gb
,,,,,,,,,,,
windows_min_Shank,windows_min_Shank
операционная система,os x 10.6.6
процессор,intel pentium 4 running at 1.7 ghz ; athlon 64 running at 1.7ghz with support for sse2 instructions
оперативная память,1.5 gb or more
видео карта,"ati radeon x1800 gto 256mb and the nvidia geforce 6800 ultra 256mb cards,"
directx,9.0
,
windows_min_The Typing of The Dead: Overkill,windows_min_The Typing of The Dead: Overkill,windows_req_The Typing of The Dead: Overkill,windows_req_The Typing of The Dead: Overkill
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,2.0 ghz dual core,процессор,2.0 ghz dual core
оперативная память,2 gb,оперативная память,2 gb
видео карта,"ati radeon hd 6450, nvidia geforce gt 220 or intel integrated graphics hd 3000",видео карта,"ati radeon hd 6450, nvidia geforce gt 220 or intel integrated graphics hd 3000"
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Mega Man X Legacy Collection,windows_min_Mega Man X Legacy Collection,windows_req_Mega Man X Legacy Collection,windows_req_Mega Man X Legacy Collection
операционная система,windows 7 (64bit),операционная система,"windows7, 8, 8.1, 10 (64bit)"
процессор,intel core™ i3 550 3.2ghz or amd equivalent,процессор,intel core™ i5 3570 3.4ghz or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 660 or ati radeon™ hd 7850,видео карта,nvidia geforce gtx 760
directx,version 10,directx,version 11
диск,7 gb,диск,7 gb
звуковая карта,directsound (directx 10.0c ),звуковая карта,directsound (directx 10.0c )
,,,
windows_min_Hunt Down The Freeman,windows_min_Hunt Down The Freeman,windows_req_Hunt Down The Freeman,windows_req_Hunt Down The Freeman
операционная система,windows 10/8/7/vista,операционная система,—
процессор,intel core™ 2 duo e6600 or amd phenom™ x3 8750,процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,1 gb dedicated video card,видео карта,2 gb dedicated video card
,,,
windows_min_Jotun: Valhalla Edition,windows_min_Jotun: Valhalla Edition,macos_min_Jotun: Valhalla Edition,macos_min_Jotun: Valhalla Edition,linux_min_Jotun: Valhalla Edition,linux_min_Jotun: Valhalla Edition
операционная система,microsoft windows 7,операционная система,os x yosemite,операционная система,ubuntu 14.04
процессор,1.8 ghz,процессор,2.4 ghz intel core i5,процессор,1.8 ghz dual-core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,directx 10-compatible graphics card with at least 256mb of video memory,видео карта,intel iris 1536,видео карта,directx 10-compatible graphics card with at least 256mb of video memory
directx,version 10,диск,8 gb,диск,8 gb
,,,,,
windows_min_DEAD RISING®,windows_min_DEAD RISING®,windows_req_DEAD RISING®,windows_req_DEAD RISING®
операционная система,windows 7/8/10 versions,операционная система,windows 7/8/10 versions
процессор,"intel core™ 2 duo 2.4 ghz, amd athlon™ x2 2.8 ghz",процессор,intel core i5 family or amd equivalent
оперативная память,2 gb,оперативная память,8 gb
видео карта,nvidia geforce 550ti/ amd 6770,видео карта,nvidia geforce gtx 560 / amd 7790
directx,version 11,directx,version 11
,,,
windows_min_The Initial,windows_min_The Initial,windows_req_The Initial,windows_req_The Initial
операционная система,macos 9 or higher,операционная система,macos 9 or higher
процессор,intel i3,процессор,intel i5
оперативная память,2 gb,оперативная память,2 gb
видео карта,gtx 740,видео карта,gtx 950
directx,version 9.0,directx,version 11
,,,
windows_min_HALF DEAD 2,windows_min_HALF DEAD 2,windows_req_HALF DEAD 2,windows_req_HALF DEAD 2
операционная система,windows 7 sp1 64bit,операционная система,windows 10 64bit
процессор,intel core i3,процессор,intel core i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / amd radeon rx 360 / laptop nvidia gtx 860m or mx150,видео карта,"nvidia geforce gtx 970, 1060/ equivalent amd radeon"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Immortal Life,windows_min_Immortal Life,windows_req_Immortal Life,windows_req_Immortal Life
операционная система,windows 7(sp1)/8/10,операционная система,windows 7(sp1)/8/10
